Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8],9 [0x6][0x14],10 [0x6][0x18],11 [0x6][0x1c],12 [0x3][0x26],13 [0x5][0x20],14 [0x5][0x22],15 [0x5][0x24]
0,"leather saddle",0,"leather saddles",0,0,1,0,0,"Leather Saddle",0,0,0,0,0,0,0
1,"Lominsan saddle",0,"Lominsan saddles",0,0,1,0,0,"Lominsan Saddle",65538,65541,65538,1,49049,49053,49051
2,"set of Lominsan half barding",0,"sets of Lominsan half barding",0,0,1,0,0,"Lominsan Half Barding",65542,65542,65542,1,49001,49002,49003
3,"set of Lominsan barding",0,"sets of Lominsan barding",0,0,1,0,0,"Lominsan Barding",131078,131078,131078,1,49004,49005,49006
4,"set of Lominsan crested barding",0,"sets of Lominsan crested barding",0,0,1,0,0,"Lominsan Crested Barding",196614,196614,196614,1,49007,49008,49009
5,"Gridanian saddle",0,"Gridanian saddles",0,0,1,0,0,"Gridanian Saddle",65538,131077,65538,2,49049,49056,49051
6,"set of Gridanian half barding",0,"sets of Gridanian half barding",0,0,1,0,0,"Gridanian Half Barding",65543,65543,65543,2,49010,49011,49012
7,"set of Gridanian barding",0,"sets of Gridanian barding",0,0,1,0,0,"Gridanian Barding",131079,131079,131079,2,49013,49014,49015
8,"set of Gridanian crested barding",0,"sets of Gridanian crested barding",0,0,1,0,0,"Gridanian Crested Barding",196615,196615,196615,2,49016,49017,49018
9,"Ul'dahn saddle",0,"Ul'dahn saddles",0,1,1,0,0,"Ul'dahn Saddle",65538,196613,65538,3,49049,49059,49051
10,"set of Ul'dahn half barding",0,"sets of Ul'dahn half barding",0,0,1,0,0,"Ul'dahn Half Barding",65544,65544,65544,3,49019,49020,49021
11,"set of Ul'dahn barding",0,"sets of Ul'dahn barding",0,0,1,0,0,"Ul'dahn Barding",131080,131080,131080,3,49022,49023,49024
12,"set of Ul'dahn crested barding",0,"sets of Ul'dahn crested barding",0,0,1,0,0,"Ul'dahn Crested Barding",196616,196616,196616,3,49025,49026,49027
13,"set of paladin barding",0,"sets of paladin barding",0,0,1,0,0,"Paladin Barding",65546,65546,65546,0,49028,49029,49030
14,"set of dragoon barding",0,"sets of dragoon barding",0,0,1,0,0,"Dragoon Barding",65547,65547,65547,0,49031,49032,49033
15,"set of white mage barding",0,"sets of white mage barding",0,0,1,0,0,"White Mage Barding",65549,65549,65549,0,49034,49035,49036
16,"set of Sleipnir barding",0,"sets of Sleipnir barding",0,0,1,0,0,"Sleipnir Barding",65550,65550,65550,0,49037,49038,49039
17,"set of behemoth barding",0,"sets of behemoth barding",0,0,1,0,0,"Behemoth Barding",65551,65551,65551,0,49040,49041,49042
18,"flyer shaffron",0,"flyer shaffrons",0,0,1,0,0,"Flyer Shaffron",65555,0,0,0,49043,0,0
19,"set of black mage barding",0,"sets of black mage barding",0,0,1,0,0,"Black Mage Barding",65548,65548,65548,0,49046,49047,49048
20,"set of sovereign barding",0,"sets of sovereign barding",0,0,1,0,0,"Sovereign Barding",65553,0,0,0,49061,0,0
21,"set of Starlight barding",0,"sets of Starlight barding",0,0,1,0,0,"Starlight Barding",65540,65540,65540,0,49064,49065,49066
22,"set of tidal barding",0,"sets of tidal barding",0,0,1,0,0,"Tidal Barding",65556,65556,65556,0,49067,49068,49069
23,"set of Barding of Light",0,"sets of Barding of Light",0,0,1,0,0,"Barding of Light",65557,65557,65557,0,49070,49071,49072
24,"set of egg barding",0,"sets of egg barding",0,0,1,0,0,"Egg Barding",65558,0,0,0,49073,0,0
25,"set of levin barding",0,"sets of levin barding",0,0,1,0,0,"Levin Barding",65560,65560,65560,0,49076,49077,49078
26,"set of plumed barding",0,"sets of plumed barding",0,0,1,0,0,"Plumed Barding",65559,0,0,0,49079,0,0
27,"set of eerie barding",0,"sets of eerie barding",0,0,1,0,0,"Eerie Barding",65561,65561,65561,0,49082,49083,49084
28,"set of ice barding",0,"sets of ice barding",0,0,1,0,0,"Ice Barding",65562,65562,65562,0,49085,49086,49087
29,"set of gambler barding",0,"sets of gambler barding",0,0,1,0,0,"Gambler Barding",65565,65565,65565,0,49091,49092,49093
30,"set of paramour barding",0,"sets of paramour barding",0,0,1,0,0,"Paramour Barding",65566,65566,65566,0,49088,49089,49090
31,"set of Ishgardian half barding",0,"sets of Ishgardian half barding",0,0,1,0,0,"Ishgardian Half Barding",65567,65567,65567,0,49094,49095,49096
32,"set of Ishgardian barding",0,"sets of Ishgardian barding",0,0,1,0,0,"Ishgardian Barding",131103,131103,131103,0,49097,49098,49099
33,"",0,"",0,0,0,0,0,"",0,0,0,0,0,0,0
34,"set of Expanse barding",0,"sets of Expanse barding",0,0,1,0,0,"Expanse Barding",65568,65568,65568,0,49103,49104,49105
35,"set of Hive barding",0,"sets of Hive barding",0,0,1,0,0,"Hive Barding",65569,65569,65569,0,49106,49107,49108
36,"set of noble barding",0,"sets of noble barding",0,0,1,0,0,"Noble Barding",65570,65570,65570,0,49109,49110,49111
37,"set of Orthodox barding",0,"sets of Orthodox barding",0,0,1,0,0,"Orthodox Barding",131106,131106,131106,0,49112,49113,49114
38,"set of highland barding",0,"sets of highland barding",0,0,1,0,0,"Highland Barding",65571,65571,65571,0,49115,49116,49117
39,"set of wild rose barding",0,"sets of wild rose barding",0,0,1,0,0,"Wild Rose Barding",65573,65573,65573,0,49118,49119,49120
