Index,0 [0x0][0x0],1 [0x7][0x4],2 [0x7][0x8]
0,"",0,0
1,"Missions aléatoires",61807,0
2,"Donjons",61801,60831
3,"Opérations de guilde",61803,60833
4,"Défis",61804,60834
5,"Raids",61802,60832
6,"JcJ",61806,60836
7,"Batailles de quête",61805,0
8,"ALÉA",61809,0
9,"Chasse aux trésors",61808,0
10,"Mandats",61811,0
11,"Grandes compagnies",61812,0
12,"Compagnon",61813,0
13,"Quêtes tribales",61814,0
14,"Bonus de réussites",61810,0
15,"Honneurs",61817,0
16,"Récolte",61815,0
17,"Artisanat",61816,0
18,"Servants",61818,0
