Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8],9 [0x3][0x14]
0,"",0,"",0,0,1,0,0,"",0
1,"",0,"",0,0,0,0,0,"",0
2,"",0,"",0,0,0,0,0,"",0
3,"",0,"",0,0,0,0,0,"",0
4,"",0,"",0,0,0,0,0,"",0
5,"",0,"",0,0,0,0,0,"",0
6,"",0,"",0,0,0,0,0,"",0
7,"",0,"",0,0,0,0,0,"",0
8,"",0,"",0,0,0,0,0,"",0
9,"",0,"",0,0,0,0,0,"",0
10,"",0,"",0,0,0,0,0,"",0
11,"",0,"",0,0,0,0,0,"",0
12,"",0,"",0,0,0,0,0,"",0
13,"",0,"",0,0,0,0,0,"",0
14,"",0,"",0,0,0,0,0,"",0
15,"",0,"",0,0,0,0,0,"",0
16,"",0,"",0,0,0,0,0,"",0
17,"",0,"",0,0,0,0,0,"",0
18,"Freibrief",0,"",0,0,1,0,0,"",0
19,"",0,"",0,0,1,0,0,"",0
20,"Hydaelyn",0,"",0,0,1,0,0,"",0
21,"Eorzea",0,"",0,0,1,0,0,"<switch:nach Eorzea/in Eorzea>",0
22,"La Noscea",0,"",0,0,1,0,0,"<switch:nach La Noscea/in La Noscea>",0
23,"Finsterwald",0,"",0,0,1,0,0,"<switch:zum Finsterwald/im Finsterwald>",0
24,"Thanalan",0,"",0,0,1,0,0,"<switch:nach Thanalan/in Thanalan>",0
25,"Coerthas",0,"",0,0,1,0,0,"<switch:nach Coerthas/in Coerthas>",0
26,"Mor Dhona",0,"",0,0,1,0,0,"<switch:nach Mor Dhona/in Mor Dhona>",0
27,"Limsa Lominsa",0,"",0,0,1,0,0,"<switch:nach Limsa Lominsa/in Limsa Lominsa>",0
28,"Obere Decks",0,"",0,0,1,0,0,"<switch:zu den Oberen Decks/in den Oberen Decks>",0
29,"Untere Decks",0,"",0,0,1,0,0,"<switch:zu den Unteren Decks/in den Unteren Decks>",0
30,"Zentrales La Noscea",0,"",0,0,1,0,0,"<switch:ins untere La Noscea/im unteren La Noscea>",0
31,"Unteres La Noscea",0,"",0,0,1,0,0,"<switch:ins untere La Noscea/im unteren La Noscea>",0
32,"Östliches La Noscea",0,"",0,0,1,0,0,"<switch:ins östliche La Noscea/im östlichen La Noscea>",0
33,"Westliches La Noscea",0,"",0,0,1,0,0,"<switch:ins westliche La Noscea/im westlichen La Noscea>",0
34,"Oberes La Noscea",0,"",0,0,1,0,0,"<switch:ins obere La Noscea/im oberen La Noscea>",0
35,"Sastasha-Höhle",0,"",0,0,1,0,0,"<switch:zur Sastasha-Höhle/in der Sastasha-Höhle/die Sastasha-Höhle>",0
36,"Brüllvolx' Langrast",0,"",0,0,1,0,0,"<switch:zu Brüllvolx' Langrast/an Brüllvolx' Langrast/Brüllvolx' Langrast>",0
37,"Palast des Wanderers",0,"",0,0,1,0,0,"<switch:zum Palast des Wanderers/im Palast des Wanderers/der Palast des Wanderers>",0
38,"",0,"",0,0,0,0,0,"",0
39,"Ul'dah",0,"",0,0,1,0,0,"<switch:nach Ul'dah/in Ul'dah>",0
40,"Nald-Kreuzgang",0,"",0,0,1,0,0,"<switch:zum Nald-Kreuzganz auf der Ebene der Händler/im Nald-Kreuzgang auf der Ebene der Händler>",0
41,"Thal-Kreuzgang",0,"",0,0,1,0,0,"<switch:zum Thal-Kreuzgang auf der Ebene der Händler/im Thal-Kreuzgang auf der Ebene der Händler>",0
42,"Westliches Thanalan",0,"",0,0,1,0,0,"<switch:ins westliche Thanalan/im westlichen Thanalan>",0
43,"Zentrales Thanalan",0,"",0,0,1,0,0,"<switch:ins zentrale Thanalan/im zentralen Thanalan>",0
44,"Östliches Thanalan",0,"",0,0,1,0,0,"<switch:ins östliche Thanalan/im östlichen Thanalan>",0
45,"Südliches Thanalan",0,"",0,0,1,0,0,"<switch:ins südliche Thanalan/im südlichen Thanalan>",0
46,"Nördliches Thanalan",0,"",0,0,1,0,0,"<switch:ins nördliche Thanalan/im nördlichen Thanalan>",0
47,"Sägerschrei",0,"",0,0,1,0,0,"<switch:zum Sägerschrei/im Sägerschrei/der Sägerschrei>",0
48,"Kupferglocken-Mine",0,"",0,0,1,0,0,"<switch:zur Kupferglocken-Mine/an der Kupferglocken-Mine/die Kupferglocken-Mine>",0
49,"Halatali",0,"",0,0,1,0,0,"<switch:nach Halatali/in Halatali>",0
