Index,0 [0x3][0x10],1 [0x3][0x24],2 [0x3][0x38],3 [0x3][0x4c],4 [0x3][0x60],5 [0x3][0x74],6 [0x3][0x88],7 [0x3][0x9c],8 [0x7][0x0],9 [0x7][0x14],10 [0x7][0x28],11 [0x7][0x3c],12 [0x7][0x50],13 [0x7][0x64],14 [0x7][0x78],15 [0x7][0x8c],16 [0x6][0x4],17 [0x6][0x18],18 [0x6][0x2c],19 [0x6][0x40],20 [0x6][0x54],21 [0x6][0x68],22 [0x6][0x7c],23 [0x6][0x90],24 [0x6][0x8],25 [0x6][0x1c],26 [0x6][0x30],27 [0x6][0x44],28 [0x6][0x58],29 [0x6][0x6c],30 [0x6][0x80],31 [0x6][0x94],32 [0x6][0xc],33 [0x6][0x20],34 [0x6][0x34],35 [0x6][0x48],36 [0x6][0x5c],37 [0x6][0x70],38 [0x6][0x84],39 [0x6][0x98],40 [0x19][0x12],41 [0x19][0x26],42 [0x19][0x3a],43 [0x19][0x4e],44 [0x19][0x62],45 [0x19][0x76],46 [0x19][0x8a],47 [0x19][0x9e],48 [0x3][0x11],49 [0x3][0x25],50 [0x3][0x39],51 [0x3][0x4d],52 [0x3][0x61],53 [0x3][0x75],54 [0x3][0x89],55 [0x3][0x9d],56 [0x0][0xa0],57 [0x0][0xa4],58 [0x0][0xa8],59 [0x0][0xac],60 [0x0][0xb0],61 [0x0][0xb4],62 [0x0][0xb8],63 [0x0][0xbc]
0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,0,0,0,0,0,0,"","","","","","","",""
1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,0,0,0,0,0,0,"テストトーク１","テストトーク2","","","","","",""
2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,6,0,0,0,0,0,0,"FATE 受注テスト","FATEを開始しますか？","","","FATE 開始","","FATE 開始しない",""
3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,5,0,0,0,0,0,0,"FATE 納品テスト","","","","FATE 納品OK","","FATE 納品CANCEL",""
4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,6,0,0,0,0,0,0,"君！　収穫を手伝ってくれないか！急がないと大切な果実をオポオポに取られてしまうよ！","収穫を手伝いますか？\n\n<color #FF7B1A>※このF.A.T.E.の推奨レベルは<value>です。</color>","","","頼んだよ！","","そうかい。じゃあ、ほかの人に頼むよ。",""
5,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,5,0,0,0,0,0,0,"果実を持ってきてくれたのかい？","","","","ありがとう！","","おや、違うのかい。",""
6,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,0,0,0,0,0,0,"果実を集めて持ってきてくれ！","","","","","","",""
7,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,6,0,0,0,0,0,"ぐぬぬ、小賢しい密猟者め！\n奴ら、獲物を隠して密猟行為をしらばっくれるつもりだ。","我々鬼哭隊の目は欺けんぞ！\n冒険者よ、密猟者から証拠の品を集めるために\n我らに力を貸してくれ！","証拠を集めてきますか？\n\n<color #FF7B1A>※このF.A.T.E.の推奨レベルは<value>です。</color>","","よし、頼んだぞ！","","ううむ、仕方ない……。\n我々だけでも証拠を掴んでみせる！",""
8,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,5,0,0,0,0,0,0,"密猟の証拠を持ってきてくれたのか？","","","","よくやった。また見つけたら持ってきてくれ。","","そうか、見つけたらすぐ持ってきてくれ。",""
9,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,0,0,0,0,0,0,"密猟者が狩りを行った証拠を持ってきてくれ！","","","","","","",""
10,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,6,0,0,0,0,0,"おのれゴブリン族め……\n油断していたとはいえ、商品を根こそぎ奪われるとは……。","そこの冒険者！\nにっくきゴブリン族どもから、\n私の商品を取り戻してきてくれないか！？","商品を取り戻してきますか？\n\n<color #FF7B1A>※このF.A.T.E.の推奨レベルは<value>です。</color>","","やつらに思い知らせてやってくれ！","","ふん、お前の顔、覚えておいたからな！",""
11,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,5,0,0,0,0,0,0,"おお、私の商品たちは無事か？","","","","もっとあったはずだ！\n全部、取り戻すんだ！","","ええい、口を動かすな！　手を動かせ！",""
12,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,0,0,0,0,0,0,"ゴブリンに奪われた商品を取り戻してくるんだ！","","","","","","",""
13,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,5,0,0,0,0,0,0,"キミの持っている、その石の欠片……\nワタシに譲ってくれないかね？","譲りますか？","","","ふむ……いい石だ。\nもっと見つけたら、また譲ってくれ。","","そうか、残念だ。",""
14,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,0,0,0,0,0,0,"ゴーレムの体を構成する石材……\nワタシが今、もっとも注目しているモノだ。","もし見つけたら持ってきてほしい。\nよろしく頼むよ。","","","","","",""
