Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8]
0,"0",0,"0",0,0,1,0,0,""
1,"Dodo",4,"Dodos",1,0,1,0,0,"Diese flugunfähigen Riesenvögel stammen ursprünglich von der Insel Mazlaya und wurden von den Qiqirn ihrer Eier wegen auf den Kontinent gebracht. Seither werden die rundlichen Kreaturen von den Völkern Eorzeas überall gezüchtet, heutzutage werden sie jedoch hauptsächlich wegen ihres Fleisches geschätzt. Ein Wort der Warnung: Dodos sind in der Lage, ein Schlaf-induzierendes Sekret auf ihre Gegner zu spucken."
2,"Tomberry",4,"Tomberrys",1,0,1,0,0,"Es ist nur wenig bekannt über dieses rätselhafte Volk, das in einer Tempelruine aus der Zeit Nyms lebt, einer Kultur, die ihre Hochzeit während der Fünften Ära des Lichts hatte. Tomberrys tragen Kleidung und sind in der Lage, komplexe Werkzeuge zu benutzen, beides Merkmale für einen gewissen Zivilisiertheitsgrad. Kürzlich entdeckte Texte aus alten Zeiten weisen darauf hin, dass die grünen Bewohner des Palastes des Wanderers Träger einer schrecklichen Seuche sind."
3,"Sabotender",4,"Sabotender",2,0,1,0,0,"Sabotender sind ausschließlich in trockenen Gebieten aufzufinden und sind dafür bekannt, sich selbst bei brütender Hitze wohlzufühlen. Sie können ausreichend Feuchtigkeit in ihren Körpern speichern, um selbst unter widrigsten Bedingungen überleben zu können. Diese Umstände haben sie außerdem so konditioniert, dass sie sich verteidigen können, indem sie nadelartige Projektile auf Raubtiere – oder auf unbedachte Reisende – abfeuern."
4,"Spriggan",4,"Spriggans",1,0,1,0,0,"Spriggans bewohnen felsige Regionen und tiefe Höhlen. Diese schwarzen Fellkreaturen sind bekannt dafür, stets wertvolle Steine und Minerale bei sich zu tragen – eine Angewohnheit, die ihnen bei Minenarbeitern einen Ruf als Glücksbringer eingebracht hat. Ihre Klassifizierung als Seelenbestien geht auf eine Theorie im Kodex der Steine zurück, die besagt, dass diese Kreaturen nichts weiter als Botschafter für den Willen der Erde sind."
5,"Pudding",4,"Puddings",1,0,1,0,0,"Diese gallertartigen Kreaturen sind Verdichtungen von Materierückständen aus dem Nichts. Obwohl sie in der Lage sind, rudimentäre Sprechgeräusche zu imitieren, um ihre Beute anzulocken, gelten sie nicht als sonderlich intelligente Wesen. Puddings gehören zu den rangniederen Nichtsgesandten, sie haben den zehnten Rang innerhalb der Hierarchie inne."
6,"Bomber",4,"Bomber",2,0,1,0,0,"Dieses Konglomerat aus flüchtigem Gas und Flammen hat den elften Rang der Nichtsgesandten-Hierarchie inne. Bomber müssen ihre inneren Reserven auffrischen, um überleben zu können und stürzen sich daher auf jede potenzielle Quelle von Öl oder Fett, seien es Pflanzen, Tiere oder Menschen. Besonders explosive Exemplare werden „Granaten“ genannt und rangieren eine Stufe höher in der Hierarchie."
7,"Mandragora",3,"Mandragoras",1,0,1,1,0,"Die mysteriösen Mandragoras wurden zum ersten Mal in der Zeit nach der Siebten Katastrophe beobachtet. Über ihre Herkunft ist nichts bekannt, vorläufige Studien deuten jedoch darauf hin, dass die zierlichen Pflanzenwesen empfindungsfähige Kreaturen sind und zu einer hochentwickelten Form non-verbaler Kommunikation in der Lage sind. Erst weitere Forschung wird zeigen, ob sich diese Befunde verifizieren lassen."
8,"Kobalos",3,"Kobalosse",2,0,1,0,0,"Ein Kobalos, der auf der Suche nach nahrhaften Erzen auf seinen Tentakeln durch die Landschaft huscht, ist ein furchterregender Anblick. Gridanischen Gelehrten zufolge nutzen diese Tiere die Erze, um einen schützenden Panzer auf sich wachsen zu lassen. Gelehrte aus Ul’dah hingegen vertreten die Theorie, dass Kobalosse empfindungsfähige Klumpen aus geologischem Material sind, die biologische Organe entwickelt haben, um ihre Verbreitung zu begünstigen."
9,"Morbol",4,"Morbol",1,0,1,0,0,"Morbol sind furchterregende Bestien, die sich mithilfe ihrer Ranken und Wurzeln fortbewegen. Sie sind hochgradig aggressiv und töten mit einer Kombination aus ihrem giftigen Atem und den unaufhörlich herumfuchtelnden Ranken. Bisweilen versprühen die Bestien auch einen süßlich riechenden Duft, der ihre Gegner schlafen schickt. Statt ihre Beute mit den reißzahnähnlichen Dornen in ihrem Schlund zu zerfleischen, dienen diese lediglich dazu, die Beute ruhigzustellen, während sie verdaut wird."
10,"Coeurl",3,"Coeurl",1,0,1,0,0,"Diese in den Gebieten des Nahen Ostens heimischen raubtierhaften Vierbeiner sind von unerreichter Wildheit. Ein Coeurl überwältigt seine Beute, indem er auf sie Elektroschocks von den peitschenartigen Fühlern an seinem Kiefer loslässt. Die ungezähmten Exemplare Eorzeas stammen von entflohenen für den Krieg herangezüchteten Bestien ab, die einst auf einer abgeschiedenen Insel am Munde des Rothlyt-Meerbusen, auch bekannt als die Perle, trainiert wurden."
11,"Ahriman",4,"Ahriman",1,0,1,0,0,"Ahriman gehören zu den Nichtsgesandten und manifestieren sich in der materiellen Ebene, indem sie ihre Essenz in die Augen von Tieren einfließen lassen. Sie besitzen außerordentliche arkane Fähigkeiten und fliegen durch die Lüfte, indem sie sich an den Strömungen des Äthers festkrallen und daran entlanghangeln. Laut Studien über die Nichtsgesandten sind Ahriman auf den mittleren Rängen vier und fünf angesiedelt."
12,"Goobbue",3,"Goobbue",1,0,1,1,0,"Goobbue sind schwerfällige Kreaturen, die eine symbiotische Beziehung mit dem Moos und den Flechten, die auf ihrem Kopf wachsen, eingehen. Dieser Pflanzenwuchs beschert den Goobbue eine gewisse Tarnung und im Gegenzug spendieren die Goobbue den Pflanzen Feuchtigkeit während der trockeneren Jahreszeiten. Obwohl die Goobbue friedlich anmuten, sind sie unbarmherzige Jäger und schnappen sich alles, was über den Boden kreucht und fleucht, und schieben es sich in den riesigen Mund."
13,"Chocobo",4,"Chocobos",1,0,1,0,0,"Die Domestizierung der Chocobos in Eorzea geht vermeintlich auf prähistorische Zeiten zurück. Es existiert altes Bildmaterial, das Stammesangehörige dabei zeigt, wie sie die flugunfähigen Vögel dazu einsetzen, den Boden zu beackern und Krieger in den Kampf zu tragen. Auch wenn die große Mehrzahl von Chocobos in Eorzea von coerthischer Herkunft ist, wird gemunkelt, dass wilde Exemplare der Spezies – inklusive derer, die noch die Fähigkeit zu fliegen besitzen – in den unerforschten Wäldern von Abalathias Rückgrat leben."
14,"Amalj'aa",3,"Amalj'aa",1,0,1,0,0,"Der Wilde Stamm der Amalj'aa ist ein Volk von Nomaden, das das Grasland von Paglth'an durchstreift und sich dabei von der Jagd auf die heimische Fauna ernährt. Die Amalj'aa sind die Erzfeinde Ul'dahs. Alle Mitglieder eines Amalj'aa-Klans – egal, ob jung oder alt, ob Mann oder Frau – sind versierte Kämpfer, werden sie doch bereits im zarten Alter in den Kriegskünsten ausgebildet. Sie sind außerdem große Meister der Metallurgie, weshalb ihre Waffen bei denen hübsche Sümmchen erzielen, die Wert auf Qualität legen."
15,"Ixal",3,"Ixal",1,0,1,0,0,"Dieser Wilde (Berg-)Stamm beansprucht die durch Winderosion abgeschliffenen Canyons von Xelphatol für sich. Die Ixal haben längst die Fähigkeit zu fliegen verloren, dennoch sind die gefiederten Wilden stolz auf die rudimentären Flügel, die ihnen noch geblieben sind. Sie versuchen ihre Präsenz im Finsterwald wieder zu stärken, um eines Tages wieder Bäume fällen und ihrer launischen Gottheit huldigen zu können – ein Ziel, das die Bewohner Gridanias mit ihnen auf Kriegsfuß stehen lässt."
