Index,0 [0x19][0x9],1 [0x3][0x8],2 [0x0][0x0],3 [0x7][0x4]
0,false,0,"",0
1,false,0,"Produzent",61531
2,false,0,"Game Master",61524
3,false,0,"Game Master",61532
4,false,0,"Game Master",61533
5,false,0,"Nicht verbunden",61503
6,true,1,"Anfrage gesendet (Freundesliste)",61501
7,true,2,"Anfrage gesendet (Kontaktkreis)",61501
8,true,3,"Anfrage gesendet (Freie Gesellschaft)",61501
9,true,4,"Nicht gefunden",61502
10,true,5,"Offline",61504
11,true,6,"Beschäftigt",61509
12,true,7,"PvP",61510
13,true,8,"Spielt Triple Triad",61539
14,true,9,"Sieht Videosequenz",61508
15,true,11,"Auf Linien-Chocobo",61534
16,true,12,"Abwesend",61511
17,true,13,"Sucht Reparateur",61512
18,true,14,"Übernimmt Reparatur",61513
19,true,15,"Übernimmt Materia-Einsetzen",61514
20,true,16,"Sucht Gruppe",61515
21,true,17,"Sucht Söldner",61516
22,true,18,"In Inhaltssuche",61517
23,true,19,"In Gruppensuche",61536
24,true,26,"Neuling",61523
25,true,20,"Allianzanführer",61518
26,true,21,"Allianz-Gruppenanführer",61519
27,true,22,"Allianz-Gruppenmitglied",61520
28,true,23,"Gruppenanführer",61521
29,true,24,"In Gruppe",61522
30,true,25,"In anderer Welt",61535
31,false,0,"Im selben Inhalt",61506
32,false,0,"In ähnlichem Inhalt",61507
33,true,10,"Im Kampf",61510
34,true,28,"Probezeit",61525
35,false,0,"Freie Gesellschaft",0
36,false,0,"Staatliche Gesellschaft",0
37,true,27,"Online",61505
