Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0xc],3 [0x5][0xe],4 [0x3][0x10],5 [0x3][0x11],6 [0x6][0x8]
0,"","",0,0,0,0,0
1,"Auto-Attacke","Du führst automatisch Angriffe auf das anvisierte Ziel aus, wobei das Intervall zwischen den Angriffen von deiner Waffe abhängt.",0,0,0,1,101
2,"Springen","Du springst und kannst auf diese Weise niedrige Hindernisse überwinden.",0,0,0,2,102
3,"Limitrausch","Du verbrauchst den gesamten Limitbalken, um für die ganze Gruppe eine mächtige Fertigkeit zu entfesseln. Die Fertigkeit wird von der Rolle dessen bestimmt, der sie startet.\nVerteidiger: Schadensminderung für die Gruppe.\nNahangreifer: Attacke auf Einzelziel.\nFernangreifer: Attacke auf alle Gegner in gerader Linie.\nMagischer Angreifer: Flächenangriff um anvisierten Ort auf dem Boden.\nHeiler: Wiederherstellung von LP der Gruppe (Wiederbeleben ab Stufe 3).",0,0,0,3,103
4,"Sprint","Du verbrauchst alle TP, um die eigene Bewegungsgeschwindigkeit zu erhöhen.\nWirkungsdauer in Sekunden = verbrauchte TP / 50",3,0,56,4,104
5,"Materialverwertung","Du zerlegst einen Gegenstand, um Materialien zu erhalten.",0,95,0,21,120
6,"Reparatur","Du reparierst beschädigte Ausrüstung und stellst ihren Zustand wieder her. Als Katalysator wird Dunkelmaterie benötigt, die der Stufe der Ausrüstung entspricht.",0,0,0,5,106
7,"Teleport","Du bezahlst einen Gilbetrag, um dich durch den Ätherstrom zu einem beliebigen Ätheryten zu teleportieren, mit dem du dich zuvor harmonisiert hast.",5,4,0,6,111
8,"Rückführung","Du kehrst zu deinem zuvor festgelegten Heimatpunkt zurück.",6,1,57,7,112
9,"Reittier-Roulette","Ruft ein zufällig ausgewähltes Reittier herbei.",0,0,0,17,118
10,"Begleiter-Roulette","Ruft einen zufällig ausgewählten Begleiter herbei.",0,0,0,18,117
11,"","",0,0,0,0,0
12,"Materia einsetzen","Du setzt Materia mit Hilfe von karbonisierter Materie als Katalysator in Ausrüstungsgegenstände ein.",0,11,0,8,107
13,"Materia einsetzen II","Du setzt mit Hilfe von karbonisierter Materie als Katalysator Materia in Ausrüstungsgegenstände ein. Auch Gegenstände ohne freie Materia-Slots sind möglich, aber die Erfolgsaussichten hierbei sind schlecht.",0,12,0,9,108
14,"Materia-Synthese","Du reduzierst Gegenstände mit vollständiger emotionaler Bindung zu Äther und kristallisierst den darin zurückbleibenden Willen des Besitzers in die Substanz „Materia“.",0,13,0,10,109
15,"Färben","Du verbrauchst einen Farbstoff, um die Farbe eines Ausrüstungsgegenstands zu verändern.",0,14,0,11,110
16,"Nächstes Ziel","Angefangen beim nächststehenden visierst du der Reihe nach alle Gegner an.",0,0,0,12,113
17,"Voriges Ziel","Angefangen beim nächststehenden visierst du in umgekehrter Reihenfolge alle Gegner an.",0,0,0,13,114
18,"Abstellen","Du stellst den Gegenstand ab, den du gerade in der Hand hast.",0,0,0,0,61112
19,"Entziffern","Du entschlüsselst vorsichtig eine vergilbte Schatzkarte.",1694,25,0,15,115
20,"Ausgraben","Du durchkämmst das auf der alten Karte angegebene Gebiet nach einem Schatz.\nRadius: 30y",1695,25,67,16,116
21,"Raffinieren","Du reduzierst ein Sammlerstück auf seine Essenz, um einen anderen Gegenstand zu erhalten.",0,256,0,22,121
22,"Projizieren","Du verbrauchst ein Projektionsprisma, um das Aussehen eines Ausrüstungsgegenstandes zu verändern.",0,15,0,20,119
23,"Absteigen","Du steigst von deinem Reittier ab.",0,0,0,0,61128
24,"","",0,0,0,0,0
25,"","",0,0,0,0,0
