Index,0 [0x0][0x0],1 [0x3][0x4]
0,"",1
1,"",1
2,"ffxiv/manfst/manfst00000/manfst00000",1
3,"ffxiv/manfst/manfst00010/manfst00010",1
4,"ffxiv/clscnj/clscnj00110/clscnj00110",1
5,"ffxiv/TstPln/TstPln052000/TstPln052000",1
6,"ffxiv/TstPln/TstPln052010/TstPln052010",1
7,"ffxiv/TstPln/TstPln052020/TstPln052020",1
8,"ffxiv/clscnj/clscnj00420/clscnj00420",1
9,"ffxiv/clscnj/clscnj00430/clscnj00430",1
10,"ffxiv/clsarc/clsarc00110/clsarc00110",1
11,"ffxiv/clsarc/clsarc00430/clsarc00430",1
12,"ffxiv/clsarc/clsarc00440/clsarc00440",1
13,"ffxiv/clslnc/clslnc00110/clslnc00110",1
14,"ffxiv/clsarc/clsarc00610/clsarc00610",1
15,"ffxiv/clsarc/clsarc00620/clsarc00620",1
16,"ffxiv/clslnc/clslnc00620/clslnc00620",1
17,"ffxiv/dunfst/dunfst1d110/dunfst1d110",1
18,"ffxiv/dunfst/dunfst1d210/dunfst1d210",1
19,"ffxiv/clscnj/clscnj00610/clscnj00610",1
20,"ffxiv/clscnj/clscnj00620/clscnj00620",1
21,"ffxiv/clslnc/clslnc00420/clslnc00420",1
22,"ffxiv/dunfst/dunfst1r110/dunfst1r110",1
23,"ffxiv/manfst/manfst00001/manfst00001",1
24,"ffxiv/manfst/manfst00002/manfst00002",1
25,"ffxiv/manfst/manfst00003/manfst00003",1
26,"ffxiv/dunfst/dunfst1d120/dunfst1d120",1
27,"ffxiv/dunfst/dunfst1d130/dunfst1d130",1
28,"ffxiv/clslnc/clslnc00610/clslnc00610",1
29,"ffxiv/manfst/manfst00110/manfst00110",1
30,"ffxiv/manfst/manfst00710/manfst00710",1
31,"ffxiv/clsbsm/clsbsm50010/clsbsm50010",1
32,"ffxiv/clsarm/clsarm50010/clsarm50010",1
33,"ffxiv/clscul/clscul50010/clscul50010",1
34,"ffxiv/clsgla/clsgla05010/clsgla05010",1
35,"ffxiv/clsgla/clsgla15010/clsgla15010",1
36,"ffxiv/clsgla/clsgla20010/clsgla20010",1
37,"ffxiv/clsexc/clsexc05010/clsexc05010",1
38,"ffxiv/clsexc/clsexc20010/clsexc20010",1
39,"ffxiv/clsexc/clsexc20020/clsexc20020",1
40,"ffxiv/mancmn/mancmn00000/mancmn00000",1
41,"ffxiv/clsexc/clsexc30010/clsexc30010",1
42,"ffxiv/clsexc/clsexc30020/clsexc30020",1
43,"ffxiv/clsgla/clsgla30010/clsgla30010",1
44,"ffxiv/clsacn/clsacn05010/clsacn05010",1
45,"ffxiv/clsacn/clsacn15010/clsacn15010",1
46,"ffxiv/clsacn/clsacn15020/clsacn15020",1
47,"ffxiv/clsacn/clsacn25010/clsacn25010",1
48,"ffxiv/clsacn/clsacn30010/clsacn30010",1
49,"ffxiv/clsacn/clsacn30020/clsacn30020",1
50,"ffxiv/clsthm/clsthm05010/clsthm05010",1
51,"ffxiv/clsthm/clsthm15010/clsthm15010",1
52,"ffxiv/clsthm/clsthm20010/clsthm20010",1
53,"ffxiv/manfst/manfst00020/manfst00020",1
54,"ffxiv/manfst/manfst00510/manfst00510",1
55,"ffxiv/manfst/manfst00520/manfst00520",1
56,"ffxiv/manfst/manfst00530/manfst00530",1
57,"ffxiv/manfst/manfst00540/manfst00540",1
58,"ffxiv/manfst/manfst00720/manfst00720",1
59,"ffxiv/manfst/manfst00730/manfst00730",1
60,"ffxiv/manfst/manfst00740/manfst00740",1
61,"ffxiv/manfst/manfst00750/manfst00750",1
62,"ffxiv/manfst/manfst00910/manfst00910",1
63,"ffxiv/manfst/manfst00920/manfst00920",1
64,"ffxiv/manfst/manfst20000/manfst20000",1
65,"ffxiv/manfst/manfst20002/manfst20002",1
66,"ffxiv/manfst/manfst20004/manfst20004",1
67,"ffxiv/manfst/manfst20008/manfst20008",1
68,"ffxiv/manfst/manfst00925/manfst00925",1
69,"ffxiv/subfst/subfst03510/subfst03510",1
70,"ffxiv/subfst/subfst03520/subfst03520",1
71,"ffxiv/subfst/subfst03530/subfst03530",1
72,"ffxiv/subfst/subfst03540/subfst03540",1
73,"ffxiv/clshrv/clshrv50010/clshrv50010",1
74,"ffxiv/manfst/manfst20010/manfst20010",1
75,"ffxiv/manfst/manfst20030/manfst20030",1
76,"ffxiv/manfst/manfst20510/manfst20510",1
77,"ffxiv/manfst/manfst20520/manfst20520",1
78,"ffxiv/manfst/manfst20530/manfst20530",1
79,"ffxiv/manfst/manfst20540/manfst20540",1
80,"ffxiv/manfst/manfst20610/manfst20610",1
81,"ffxiv/manfst/manfst20620/manfst20620",1
82,"ffxiv/manfst/manfst20710/manfst20710",1
83,"ffxiv/manfst/manfst20810/manfst20810",1
84,"ffxiv/manfst/manfst20910/manfst20910",1
85,"ffxiv/manfst/manfst20920/manfst20920",1
86,"ffxiv/manfst/manfst20930/manfst20930",1
87,"ffxiv/manfst/manfst20940/manfst20940",1
88,"ffxiv/manfst/manfst20950/manfst20950",1
89,"ffxiv/manfst/manfst30010/manfst30010",1
90,"ffxiv/manfst/manfst30020/manfst30020",1
91,"ffxiv/manfst/manfst30030/manfst30030",1
92,"ffxiv/manfst/manfst30040/manfst30040",1
93,"ffxiv/manfst/manfst30050/manfst30050",1
94,"ffxiv/manfst/manfst30320/manfst30320",1
95,"ffxiv/manfst/manfst30610/manfst30610",1
96,"ffxiv/manfst/manfst30810/manfst30810",1
97,"ffxiv/manfst/manfst30910/manfst30910",1
98,"ffxiv/manfst/manfst31320/manfst31320",1
99,"ffxiv/mansea/mansea20010/mansea20010",1
100,"ffxiv/mansea/mansea20030/mansea20030",1
101,"ffxiv/manwil/manwil20010/manwil20010",1
102,"ffxiv/manwil/manwil20030/manwil20030",1
103,"ffxiv/manfst/manfst40110/manfst40110",1
104,"ffxiv/manfst/manfst40410/manfst40410",1
105,"ffxiv/manfst/manfst40420/manfst40420",1
106,"ffxiv/manfst/manfst40430/manfst40430",1
107,"ffxiv/manfst/manfst40440/manfst40440",1
108,"ffxiv/manfst/manfst40470/manfst40470",1
109,"ffxiv/manfst/manfst40510/manfst40510",1
110,"ffxiv/manfst/manfst40520/manfst40520",1
111,"ffxiv/manfst/manfst40530/manfst40530",1
112,"ffxiv/manfst/manfst40540/manfst40540",1
113,"ffxiv/manfst/manfst40710/manfst40710",1
114,"ffxiv/manfst/manfst40740/manfst40740",1
