Index,0 [0x3][0x0],1 [0x3][0x1],2 [0x19][0x5],3 [0x3][0x2],4 [0x3][0x3],5 [0x3][0x4],6 [0x1a][0x5]
0,0,0,true,0,0,0,true
1,10,20,true,0,0,0,true
2,5,10,true,0,0,0,true
3,20,40,true,0,0,0,true
4,25,50,true,0,0,0,true
5,30,60,true,0,0,0,true
6,50,100,true,0,0,0,true
7,10,20,true,0,3,0,true
8,25,40,true,0,3,0,true
9,15,25,true,0,0,0,true
10,15,20,true,0,0,0,true
11,5,10,true,0,0,0,true
12,5,10,true,0,0,0,true
13,30,30,true,0,0,0,true
14,2,10,true,0,0,0,true
15,30,30,true,0,0,0,true
16,20,25,true,0,0,0,true
17,20,20,true,0,0,0,true
18,20,40,true,0,0,0,true
19,3,20,true,0,0,0,true
20,20,40,true,0,0,0,true
21,5,30,true,0,0,0,true
22,10,30,true,0,3,0,false
23,4,20,true,0,0,0,true
24,15,20,true,0,0,0,true
25,4,6,true,0,0,0,true
26,10,12,true,0,0,0,true
27,25,30,true,0,0,0,true
28,35,40,true,0,0,0,true
29,30,40,true,0,0,0,true
30,4,6,true,0,0,0,true
31,25,10,true,0,1,0,true
32,25,10,true,0,1,180,true
33,20,25,true,0,0,0,true
34,15,20,true,0,0,0,true
35,10,15,true,0,0,0,true
36,30,30,true,0,0,0,true
37,15,25,true,0,0,0,true
38,15,25,true,0,0,0,true
39,8,15,true,0,0,0,true
40,15,25,true,0,0,0,true
41,20,40,true,0,0,0,true
42,10,30,true,0,0,0,true
43,30,15,true,0,0,0,true
44,13,25,true,0,0,0,true
45,30,40,true,0,0,0,true
46,15,25,true,0,0,0,true
47,10,25,true,0,0,0,true
48,15,25,true,0,0,0,true
49,10,25,true,0,0,0,true
50,30,40,true,0,0,0,true
51,8,25,true,0,0,0,true
52,11,20,true,0,0,0,true
53,10,20,true,0,0,0,true
54,5,20,true,0,0,0,true
55,5,5,true,0,0,0,true
56,20,20,true,0,0,0,true
57,30,30,true,0,0,0,true
58,10,20,true,0,0,0,true
59,25,30,true,0,0,0,true
60,20,10,true,0,1,0,true
61,20,10,true,0,1,180,true
62,12,25,true,0,3,0,true
63,7,15,true,0,0,0,true
64,50,100,true,0,0,0,true
65,25,50,true,0,0,0,true
66,10,20,true,0,0,0,true
67,15,20,true,0,0,0,true
68,40,20,true,0,0,0,true
69,10,20,true,0,3,0,true
70,20,40,true,0,0,0,true
71,20,30,true,0,2,0,true
72,13,25,true,0,0,0,true
73,12,25,true,0,3,0,true
74,2,20,true,0,0,0,true
75,3,7,true,0,0,0,true
76,30,30,true,0,0,0,true
77,16,25,true,0,0,0,true
78,20,40,true,0,3,0,true
79,0,0,true,0,0,0,true
80,0,0,true,0,0,0,true
