Index,0 [0x3][0x6],1 [0x1][0x7],2 [0x1][0x8],3 [0x1][0x9],4 [0x1][0xa],5 [0x5][0x0],6 [0x5][0x2],7 [0x5][0x4]
0,0,false,false,false,false,0,0,0
1,0,false,false,false,false,0,0,0
2,0,false,false,false,false,0,0,0
3,1,false,false,false,false,0,0,0
4,0,false,false,false,false,0,0,0
5,2,false,false,false,true,33,0,0
6,2,false,false,false,true,34,0,0
7,3,false,false,false,true,58,0,0
8,2,false,true,false,false,81,81,81
9,2,false,true,false,false,121,121,121
10,2,false,false,false,true,123,123,123
11,2,false,false,false,true,124,0,0
12,2,false,false,true,false,127,0,0
13,2,false,false,true,false,128,128,128
14,2,false,false,true,false,129,0,0
15,2,false,false,false,true,133,0,0
16,2,false,false,false,true,134,0,0
17,2,false,false,false,true,142,0,0
18,2,false,true,false,true,143,143,143
19,2,false,true,false,false,146,146,146
20,2,false,false,false,true,180,0,0
21,2,false,false,false,true,181,0,0
22,2,false,false,false,true,212,0,0
23,10,false,false,false,true,214,0,0
24,8,false,false,false,true,216,0,0
25,2,false,false,false,true,217,0,0
26,2,false,true,false,false,218,218,218
27,2,false,false,false,true,219,0,0
28,2,false,true,false,false,258,258,258
29,2,false,true,false,true,266,266,266
30,2,false,true,false,false,301,301,301
31,2,false,false,false,true,311,0,0
32,2,false,false,false,true,312,0,0
33,2,false,false,false,true,372,0,0
34,2,false,false,false,true,373,0,0
35,2,false,true,false,false,391,391,391
36,2,false,false,false,true,406,0,0
37,2,false,false,true,false,583,0,0
38,2,false,false,true,false,584,0,0
39,2,false,false,true,false,585,0,0
40,2,false,true,true,false,610,610,610
41,2,false,false,true,false,611,0,0
42,2,false,false,true,false,612,0,0
43,2,false,false,true,false,613,0,0
44,2,false,true,false,false,626,626,626
45,2,false,true,false,false,628,628,628
46,2,false,false,true,false,643,0,0
47,2,false,false,true,false,644,0,0
48,2,false,false,true,false,645,0,0
49,2,false,false,false,true,735,0,0
50,2,false,false,false,true,736,0,0
51,2,false,true,true,true,737,737,737
52,2,false,true,false,false,751,751,751
53,3,false,false,false,true,762,0,0
54,2,false,false,false,true,766,0,0
55,2,true,false,false,false,948,0,0
56,2,false,true,false,false,984,984,984
57,2,false,false,false,true,1010,0,0
58,2,false,false,false,true,1013,0,0
59,2,false,false,false,true,1030,0,0
60,2,false,false,false,true,1031,0,0
61,2,false,false,false,true,1032,0,0
62,3,false,false,false,true,1049,1049,1049
63,2,false,false,false,true,1054,0,0
64,2,false,true,false,true,1077,1077,1077
65,2,false,false,false,true,1093,0,0
66,2,false,false,false,true,1123,0,0
67,2,false,true,false,false,1184,1184,1184
68,2,false,false,true,false,1212,0,0
69,2,false,false,true,false,1213,0,0
70,2,false,false,true,false,1214,0,0
71,2,false,false,false,true,1215,1215,1215
72,2,false,false,false,true,1219,0,0
73,2,false,false,false,true,1221,0,0
74,2,false,false,false,true,1224,0,0
75,2,false,true,false,false,1262,1262,1262
76,2,false,false,true,false,1266,1266,1266
77,2,false,false,true,false,1267,0,0
78,2,false,false,true,false,1268,0,0
79,2,false,false,true,false,1314,0,0
80,2,false,false,true,false,1315,0,0
81,2,false,false,true,false,1316,1316,1316
82,2,false,false,true,false,1317,0,0
83,2,false,true,false,false,1321,1321,1321
84,2,false,true,false,false,1324,1324,1324
85,2,false,true,false,false,1336,1336,1336
86,2,false,true,false,true,1522,1522,1522
87,2,false,false,false,true,1523,0,0
88,2,false,false,false,true,1524,0,0
89,2,false,false,false,true,1525,0,0
90,2,false,true,false,true,1539,1539,1539
91,2,false,false,false,true,1540,0,0
92,2,false,false,true,false,1563,0,0
93,2,false,false,true,false,1564,0,0
94,2,false,false,true,false,1565,0,0
95,2,false,true,false,false,1610,1610,1610
96,2,false,true,false,false,1616,1616,1616
97,3,false,false,false,true,3,0,0
98,20,false,true,false,false,10,10,10
99,3,false,true,false,true,12,12,12
100,3,false,false,false,true,18,0,0
101,3,false,true,false,false,29,29,29
102,3,false,false,false,true,32,0,0
103,3,false,true,true,false,36,36,36
104,3,false,true,false,false,114,114,114
105,3,false,false,false,true,115,0,0
106,3,false,true,true,true,176,176,176
107,3,false,false,false,true,231,0,0
108,3,false,true,false,false,250,250,250
109,3,false,true,false,false,282,282,282
110,3,false,false,false,true,284,0,0
111,3,false,false,false,true,302,0,0
112,3,false,true,false,false,309,309,309
113,3,false,false,false,true,310,0,0
114,3,false,true,false,false,328,328,328
115,3,false,false,true,true,358,0,0
116,3,false,true,false,false,359,359,359
117,3,false,false,true,false,417,0,0
118,3,false,true,false,false,422,422,422
119,3,false,true,false,false,427,427,427
120,3,false,false,false,true,429,0,0
121,3,false,false,false,true,484,0,0
122,3,false,true,false,false,579,579,579
123,3,false,false,false,true,627,0,0
124,3,false,true,false,false,744,744,744
125,3,false,true,true,true,758,758,758
126,3,false,false,true,false,816,0,0
127,3,false,true,false,false,942,942,942
128,3,false,false,false,true,943,0,0
129,3,false,false,false,true,944,0,0
130,3,false,true,true,false,983,983,983
131,3,false,true,true,false,1026,1026,1026
132,3,false,false,false,true,1027,0,0
133,3,false,false,false,true,1046,0,0
134,3,false,false,false,true,1092,0,0
135,3,false,true,false,false,1107,1107,1107
136,3,false,true,true,true,1158,1158,1158
137,3,false,false,true,false,1225,0,0
138,3,false,false,false,true,1226,0,0
139,3,false,true,false,false,1227,1227,1227
140,3,false,false,true,true,1252,0,0
141,19,false,false,true,false,1263,1263,1263
142,3,false,false,true,false,1275,1275,1275
143,3,false,false,true,false,1276,0,0
144,3,false,false,true,false,1277,0,0
145,4,false,true,false,false,1319,1319,1319
146,3,false,true,false,false,1351,1351,1351
147,3,false,true,false,false,1368,1368,1368
148,3,false,false,false,true,1445,0,0
149,3,false,true,false,true,1477,1477,1477
150,3,false,true,false,false,1515,1515,1515
151,3,false,true,false,false,1516,1516,1516
152,3,false,true,false,false,1604,1604,1604
153,20,false,false,false,true,7,0,0
154,20,false,false,false,true,8,0,0
155,20,false,true,false,false,116,116,116
156,20,false,false,true,false,117,0,0
157,4,false,true,false,false,137,137,137
158,4,false,true,false,false,145,145,145
159,20,false,false,false,true,151,0,0
160,20,false,false,false,true,155,0,0
161,5,false,true,true,true,244,244,244
162,4,false,false,false,true,255,0,0
163,4,false,false,false,true,256,0,0
164,20,false,true,false,true,280,280,280
165,20,false,false,true,false,392,0,0
166,20,false,false,true,false,393,0,0
167,20,false,false,true,false,394,0,0
168,20,false,true,false,false,404,404,404
169,4,false,false,false,true,419,0,0
170,4,false,false,false,true,420,0,0
171,4,false,true,false,false,421,421,421
172,20,false,true,false,true,457,457,457
173,20,false,false,false,true,458,0,0
174,20,false,true,false,false,471,471,471
175,4,false,false,false,true,493,0,0
176,4,false,false,false,true,494,494,494
177,20,false,true,false,true,497,497,497
178,4,false,false,false,true,538,0,0
179,4,false,false,false,true,539,0,0
180,4,false,false,true,false,590,0,0
181,4,false,false,true,false,591,591,591
182,4,false,false,true,false,592,0,0
183,20,false,false,false,true,605,0,0
184,20,false,false,false,true,606,0,0
185,20,false,true,false,false,615,615,615
186,4,false,true,false,true,623,623,623
187,20,false,false,true,false,649,649,649
188,20,false,false,true,false,650,0,0
189,20,false,false,true,false,651,0,0
190,20,false,false,true,false,675,0,0
191,20,false,false,true,false,676,0,0
192,20,false,false,true,false,677,677,677
193,4,false,true,false,false,705,705,705
194,20,false,true,true,true,710,710,710
195,4,false,false,true,false,800,0,0
196,4,false,false,true,false,801,801,801
197,4,false,false,true,false,802,0,0
198,4,false,true,false,false,861,861,861
199,20,false,true,false,false,892,892,892
200,5,false,false,false,true,893,0,0
201,20,false,true,false,true,925,925,925
202,20,false,false,false,true,926,0,0
203,20,false,false,false,true,927,0,0
204,20,false,false,false,true,939,0,0
205,20,false,false,false,true,940,0,0
206,20,false,true,false,false,987,987,987
207,20,false,true,false,false,994,994,994
208,20,false,true,true,true,998,998,998
209,4,false,true,false,false,1035,1035,1035
210,20,false,true,false,true,1047,1047,1047
211,20,false,false,false,true,1048,0,0
212,20,false,false,false,true,1072,0,0
213,20,false,false,false,true,1073,0,0
214,20,false,true,false,false,1091,1091,1091
215,20,false,true,false,false,1116,1116,1116
216,20,false,true,false,false,1121,1121,1121
217,20,false,true,false,false,1129,1129,1129
218,20,false,false,false,true,1150,0,0
219,20,false,true,true,true,1151,1151,1151
220,20,false,false,true,false,1152,1152,1152
221,4,false,false,false,true,1168,0,0
222,4,false,true,false,false,1171,1171,1171
223,4,false,true,false,false,1194,1194,1194
224,4,false,true,false,false,1199,1199,1199
225,4,false,false,false,true,1205,0,0
226,20,false,true,false,true,1242,1242,1242
227,20,false,false,false,true,1243,0,0
228,4,false,false,true,false,1256,0,0
229,4,false,false,true,false,1257,0,0
230,20,false,true,false,false,1345,1345,1345
231,20,false,false,false,true,1346,0,0
232,20,false,false,false,true,1347,0,0
233,20,false,true,true,true,1392,1392,1392
234,5,false,false,false,true,1393,0,0
235,20,false,true,false,false,1399,1399,1399
236,20,false,true,false,false,1456,1456,1456
237,20,false,true,false,false,1488,1488,1488
238,20,false,false,false,true,1489,0,0
239,20,false,true,true,true,1490,1490,1490
240,4,false,true,false,false,1542,1542,1542
241,20,false,true,false,false,1576,1576,1576
242,7,false,true,false,false,1598,1598,1598
243,20,false,true,false,false,1602,1602,1602
244,0,false,false,false,false,0,0,0
245,5,false,false,false,true,102,0,0
246,5,false,false,false,true,103,0,0
247,5,false,true,false,false,104,104,104
248,7,false,true,false,false,105,105,105
249,5,false,false,false,true,109,0,0
250,5,false,false,false,true,110,110,110
251,5,false,true,true,false,234,234,234
252,5,false,false,false,true,235,0,0
253,5,false,false,true,true,236,236,236
254,5,false,false,true,false,237,0,0
