Index,0 [0x2][0x2a],1 [0x0][0x0],2 [0x0][0x4],3 [0x3][0x8],4 [0x3][0x9],5 [0x3][0xa],6 [0x3][0xb],7 [0x3][0xc],8 [0x3][0xd],9 [0x3][0xe],10 [0x3][0xf],11 [0x3][0x10],12 [0x3][0x11],13 [0x3][0x12],14 [0x3][0x13],15 [0x3][0x14],16 [0x3][0x15],17 [0x3][0x16],18 [0x3][0x17],19 [0x3][0x18],20 [0x3][0x19],21 [0x3][0x1a],22 [0x3][0x1b],23 [0x3][0x1c],24 [0x3][0x1d],25 [0x3][0x1e],26 [0x3][0x1f],27 [0x3][0x20],28 [0x3][0x21],29 [0x3][0x22],30 [0x3][0x23],31 [0x3][0x24],32 [0x3][0x25],33 [0x3][0x26],34 [0x3][0x27],35 [0x3][0x28],36 [0x3][0x29]
0,-1,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
1,0,"Stärke","Stärke: Beeinflusst die Stärke der Nahkampfattacke mit GLA/MAR/FST/DRU/THM/PIK-Waffen, Grimoires, Zweihandschwertern und Globen.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,90,100,100,100,70,70,70,100,70,100,100,70,70
2,1,"Geschick","Geschick: Beeinflusst die Stärke der Nahkampfattacke mit Schurken-Waffen und der Fernattacke mit Waldläufer-Waffen und Feuerwaffen.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,90,70,70,70,100,70,70,100,70,100,70,100,100
3,2,"Konstitution","Konstitution: Beeinflusst die Höhe der maximalen Lebenspunkte (LP).",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,90,100,100,100,100,90,90,100,90,100,100,100,100
4,3,"Intelligenz","Intelligenz: Beeinflusst die Stärke der Offensivmagie.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,90,70,70,70,70,100,70,70,100,100,70,70,70
5,4,"Willenskraft","Willenskraft: Beeinflusst die Stärke der Heilmagie.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,90,70,70,70,70,70,100,70,100,100,70,70,70
6,5,"Frömmigkeit","Frömmigkeit: Beeinflusst die Höhe der maximalen Magiepunkte (MP).",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,90,70,70,70,70,70,100,70,70,100,70,70,70
7,6,"LP","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
8,7,"MP","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
9,8,"TP","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
10,9,"SP","",2,2,2,2,2,2,2,2,25,25,25,13,2,2,4,8,0,4,10,6,6,100,100,100,100,100,100,100,100,100,100,100,100,100
11,10,"HP","",2,2,2,2,2,2,2,2,25,25,25,13,2,2,4,8,0,4,10,6,6,100,100,100,100,100,100,100,100,100,100,100,100,100
12,-1,"Phys. Basiswert","",100,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,0,0,0,100,100,100,100,90,100,100,100,100,50,100,100,100
13,-1,"Mag. Basiswert","",100,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,0,0,0,50,50,50,50,50,100,100,50,100,30,50,50,50
14,11,"Verzögerung","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
15,-1,"Zusatzeffekt: ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
16,-1,"Anzahl der Attacken: ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
17,-1,"Blockrate","",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,50,50,100,50,100,100,100,100
18,-1,"Blockeffekt","",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,50,50,100,50,100,100,100,100
19,12,"Parade","Parade: Je höher dieser Wert, desto wahrscheinlicher ist es, dass du einen Angriff parieren kannst.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
20,13,"Attacke","Attacke: Je höher dieser Wert, desto mehr Schaden verursachen deine physischen oder magischen Attacken.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
21,14,"Verteidigung","Verteidigung: Je höher dieser Wert, desto weniger physischen Schaden erleidest du.",0,0,15,21,15,13,21,15,0,0,0,0,0,0,36,72,0,36,87,57,57,66,100,70,55,55,40,40,55,40,33,55,55,55
22,15,"Präzision","Präzision: Je höher dieser Wert, desto wahrscheinlicher ist es, dass deine physischen oder magischen Attacken treffen.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
23,16,"Ausweichen","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
24,17,"Magieabwehr","Magieabwehr: Je höher dieser Wert, desto weniger Magieschaden erleidest du.",0,0,15,21,15,13,21,15,0,0,0,0,0,0,36,72,0,36,87,57,57,33,100,55,55,55,70,70,55,70,66,55,55,55
25,-1,"Kritischer Attackewert","not in use",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
26,-1,"Abwehr kritischer Treffer","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
27,18,"Kritische Treffer","Kritische Treffer: Je höher dieser Wert, desto wahrscheinlicher ist es, dass du einen kritischen Treffer landest, und desto höher der damit erzielte Schaden bzw. Heileffekt.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
28,-1,"Kritisches Ausweichen","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
29,19,"Hiebresistenz","Hiebresistenz: Vermindert den erlittenen Schaden durch Waffen mit dem Attribut „Hieb“.",0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
30,20,"Stichresistenz","Stichresistenz: Vermindert den erlittenen Schaden durch Waffen mit dem Attribut „Stich“.",0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
31,21,"Schlagresistenz","Schlagresistenz: Vermindert den erlittenen Schaden durch Waffen mit dem Attribut „Schlag“.",0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
32,-1,"Projektilresistenz","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
33,22,"Offensivmagie","Offensivmagie: Je höher dieser Wert, desto mehr Schaden verursachen deine magischen Attacken.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
34,23,"Heilmagie","Heilmagie: Je höher dieser Wert, desto höher die Menge der durch Heilmagie regenerierten LP.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
35,-1,"Stärkungsmagie","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
36,-1,"Schwächungsmagie","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
37,24,"Feuerresistenz","Feuerresistenz: Vermindert durch Feuer erlittenen Schaden.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
38,25,"Eisresistenz","Eisresistenz: Vermindert durch Eis erlittenen Schaden.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
39,26,"Windresistenz","Windresistenz: Vermindert durch Wind erlittenen Schaden.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
