Index,0 [0x6][0x8],1 [0x0][0x0],2 [0x0][0x4]
0,0,"",""
1,60201,"快晴",""
2,60202,"晴れ",""
3,60203,"曇り",""
4,60204,"霧",""
5,60205,"風",""
6,60206,"暴風",""
7,60207,"雨",""
8,60208,"暴雨",""
9,60209,"雷",""
10,60210,"雷雨",""
11,60211,"砂塵",""
12,60212,"砂嵐",""
13,60213,"熱波",""
14,60214,"灼熱波",""
15,60215,"雪",""
16,60216,"吹雪",""
17,60218,"妖霧",""
18,60217,"オーロラ",""
19,60251,"闇",""
20,60255,"闘気",""
21,60203,"曇り",""
22,60259,"雷雲",""
23,60258,"時化",""
24,60258,"時化",""
25,60257,"曇天",""
26,60252,"灼熱波",""
27,60256,"妖霧",""
28,60253,"暴風",""
29,60254,"噴煙",""
30,60202,"晴れ",""
31,60202,"晴れ",""
32,60202,"晴れ",""
33,60202,"晴れ",""
34,60202,"晴れ",""
35,60260,"極光",""
36,60261,"龍核",""
37,60261,"龍核",""
38,60261,"龍核",""
39,60261,"龍核",""
40,60262,"群雲",""
41,60262,"群雲",""
42,60262,"群雲",""
43,60262,"群雲",""
44,60264,"神意",""
45,60264,"神意",""
46,60264,"神意",""
47,60264,"神意",""
48,60264,"神意",""
49,60219,"霊風",""
50,60220,"放電",""
51,60263,"煙霧",""
52,60202,"晴れ",""
53,60226,"獣雷",""
54,60227,"雷波",""
55,60226,"獣雷",""
