Index,0 [0x0][0x0],1 [0x3][0x4],2 [0x3][0x5],3 [0x3][0x6],4 [0x3][0x7],5 [0x2][0x8]
0,"",0,0,0,0,-1
1,"La compagnie libre a été fondée.",0,0,0,1,0
2,"La compagnie monte au rang <value>!",0,0,1,1,0
3,"L'affinité avec <ref:GrandCompany> passe à <ref:FCReputation>!",1,0,1,1,5
4,"L'affinité avec <ref:GrandCompany> passe à <ref:FCReputation>!",1,0,1,1,6
5,"L'affinité avec <ref:GrandCompany> passe à <ref:FCReputation>!",1,0,1,1,7
6,"Obtention du privilège “<ref:FCRights>”.",0,0,1,1,0
7,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> rejoint la compagnie.",4,0,0,2,1
8,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> rejoint la compagnie.",4,0,0,2,1
9,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> quitté la compagnie.",4,0,0,2,2
10,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> été exclu<if:<if:BNpcName/e/none>/<if:e/none>> de la compagnie.",4,0,0,2,2
11,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> été nommé<if:<if:BNpcName/e/none>/<if:e/none>> “<if:<ref:ObjStr>>”.",4,5,0,2,3
12,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> été promu<if:<if:BNpcName/e/none>/<if:e/none>> “<if:<ref:ObjStr>>”.",4,5,0,2,3
13,"<2b?:0xff, 0x8c, 0x2> <if:êtes/est> devenu<if:<if:BNpcName/e/none>/<if:e/none>> “<if:<ref:ObjStr>>”.",4,5,0,2,3
14,"La compagnie prête désormais allégeance <ref:GrandCompany>.",0,1,0,1,5
15,"La compagnie prête désormais allégeance <ref:GrandCompany>.",0,1,0,1,6
16,"La compagnie prête désormais allégeance <ref:GrandCompany>.",0,1,0,1,7
17,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> modifié les paramètres du rang “<if:<ref:ObjStr>>”.",4,5,0,3,3
18,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> ajouté le rang “<if:<ref:ObjStr>>”.",4,5,0,3,3
19,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> supprimé le rang “<if:<ref:ObjStr>>”.",4,5,0,3,3
20,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> modifié la hiérarchie des rangs.",4,0,0,3,3
21,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> modifié les paramètres “[<value>] <if:<ref:ObjStr>>” du coffre de compagnie.",4,6,1,0,-1
22,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> modifié l'onglet “Gils” du coffre de compagnie.",4,0,0,0,-1
23,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> modifié l'onglet “Cristaux” du coffre de compagnie.",4,0,0,0,-1
24,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> changé l'annonce de la compagnie.",4,0,0,3,4
25,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> mis à jour le profil de la compagnie.",4,0,0,3,4
26,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> modifié le blason de la compagnie.",4,0,0,3,8
27,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> acheté le bienfait “<ref:CompanyAction>”.",4,0,1,4,9
28,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> activé le bienfait “<ref:CompanyAction>”.",4,0,1,4,9
29,"Cette activité a été effacée.",0,0,0,0,4
30,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> changé le nom du rang en “<if:<ref:ObjStr>>”.",4,5,0,3,3
31,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> annulé le bienfait “<ref:CompanyAction>”.",4,0,1,4,9
32,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> enlevé le bienfait “<ref:CompanyAction>”.",4,0,1,4,9
33,"Le sigle de la compagnie a été changé en “<if:<ref:ObjStr>>”.",0,3,0,3,4
34,"Le nom de la compagnie a été changé en “<if:<ref:ObjStr>>”.",0,2,0,3,4
35,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> changé le nom de la maison située à <ref:PlaceName> (<value>-<value>) en “<if:<ref:ObjStr>>”.",4,9,0,5,11
36,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> changé le message d'accueil de “<if:<ref:ObjStr>>”.",4,8,0,5,11
37,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> acheté le terrain <value>-<value> de <ref:PlaceName>.",4,7,0,5,11
38,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> cédé le terrain <value>-<value> de <ref:PlaceName>.",4,7,0,5,11
39,"Le terrain <value>-<value> de <ref:PlaceName> a été cédé automatiquement.",0,7,0,5,11
40,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> construit <?0x33> sur le terrain <value>-<value> de <ref:PlaceName>.",4,7,1,5,11
41,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> démoli “<if:<ref:ObjStr>>”.",4,8,0,5,11
42,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> modifié l'extérieur de “<if:<ref:ObjStr>>”.",4,8,0,5,11
43,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> modifié l'intérieur de “<if:<ref:ObjStr>>”.",4,8,0,5,11
44,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> changé la disposition des meubles de “<if:<ref:ObjStr>>”.",4,8,0,5,11
45,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> changé la disposition du mobilier de jardin de “<if:<ref:ObjStr>>”.",4,8,0,5,11
46,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> effacé un ou plusieurs messages du livre d'or de “<if:<ref:ObjStr>>”.",4,8,0,5,11
47,"<2b?:0xff, 0x8c, 0x2> a déposé sa candidature.",4,0,0,2,12
48,"<2b?:0xff, 0x8c, 0x2> a annulé sa candidature.",4,0,0,2,12
49,"<2b?:0xff, 0x8c, 0x2> a supprimé son personnage.",4,0,0,2,12
50,"La candidature de <if:vous/<if:<?0x33>/<if:<if:d'/de><value>/<if:<ref:Attributive><value>/<ref:Attributive><value>>>>> a été refusée.",4,0,0,2,12
51,"Le nombre limite de candidatures est atteint.",0,0,0,2,12
52,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> planté <?0x33> (<?0x2f>).",4,10,1,6,13
53,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> utilisé <?0x33> (<?0x2f>).",4,10,1,6,13
54,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> entretenu une pousse (<?0x2f>).",4,10,0,6,13
55,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> récolté <value> <?0x33> (<?0x2f>).",4,11,1,6,13
56,"En outre, l'hybridation ayant été couronnée de succès, <if:1 <?0x33> a été obtenu<if:Item/e/none>/<value> <?0x33> ont été obtenu<if:Item/e/none>s>.",0,11,1,6,13
57,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> perdu le titre de <?0x2f> de la compagnie en raison d'une absence prolongée.",4,5,0,2,3
58,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> retiré une pousse (<?0x2f>).",4,10,0,6,13
59,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> aménagé une chambre individuelle.",4,0,1,5,11
60,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> détruit une chambre individuelle.",4,0,1,5,11
61,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> nettoyé l'écurie à chocobos.",4,0,0,7,11
62,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> entraîné <if:<ref:ObjStr>>.",4,12,0,7,11
63,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> installé <?0x33> dans l'emplacement <value>.",16,14,1,5,11
64,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> retiré <?0x33> de l'emplacement <value>.",16,14,1,5,11
65,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> récupéré <?0x33> de l'emplacement <value>.",16,14,1,5,11
66,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> converti <?0x33> et obtenu le bienfait inactif “<ref:CompanyAction>”.",16,14,1,4,9
67,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> aménagé un atelier de compagnie.",16,0,0,8,15
68,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> détruit l'atelier de compagnie.",16,0,0,8,15
69,"La construction d'<?0x33> a commencé à l'atelier de compagnie.",16,14,0,8,15
70,"Tous les matériaux nécessaires à la progression de la construction <?0x33> ont été fournis.",0,14,0,8,15
71,"La progression de la construction <?0x33> <switch:est normale./est excellente et les installations sont désormais en bon état!/est exceptionnelle et les installations sont désormais en parfait état!>",0,14,1,8,15
72,"La construction <?0x33> est terminée!<switch:/ Vous avez fait un excellent travail!/ Vous avez fait un travail exceptionnel!>",0,14,1,8,15
73,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> retiré <?0x33> de l'installation de construction de l'atelier.",16,14,0,8,15
74,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> interrompu le projet de construction.",16,0,0,8,15
75,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> créé un <ref:CompanyCraftDraft>.",16,0,1,8,15
76,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> enregistré l'aéronef de compagnie <i><if:<ref:ObjStr>></i>.",16,15,1,9,14
77,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> renommé l'aéronef de compagnie n°<value> “<i><if:<ref:ObjStr>></i>”.",16,15,1,9,14
78,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> démonté l'aéronef de compagnie n°<value> (<i><if:<ref:ObjStr>></i>).",16,15,1,9,14
79,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> expédié l'aéronef de compagnie <i><if:<ref:ObjStr>></i>.",16,15,0,9,14
80,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> rappelé l'aéronef de compagnie <i><if:<ref:ObjStr>></i>.",16,15,0,9,14
81,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> finalisé l'expédition d'exploration de <i><if:<ref:ObjStr>></i>.",16,15,0,9,14
82,"<i><2b?:0xff, 0x1a, 0x2></i> a atteint le rang <value>.",16,15,1,9,14
83,"Grâce aux résultats de <i><if:<ref:ObjStr>></i>, la compagnie libre a le droit d'enregistrer un <value>ème aéronef!",16,15,1,9,14
84,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> échangé <value> crédit<if:none/s> de compagnie contre <if:<?0x33>/<value> <?0x33>>.",16,22,1,1,0
85,"<2b?:0xff, 0x8c, 0x2> <if:avez/a> fourni en <value> fois plus de 60% <?0x33> nécessaires pour <?0x33>.",16,22,1,8,15
