Index,0 [0x3][0x1c],1 [0x3][0x1d],2 [0x6][0x8],3 [0x3][0x1e],4 [0x6][0xc],5 [0x3][0x1f],6 [0x6][0x10],7 [0x5][0x18],8 [0x5][0x1a],9 [0x0][0x0],10 [0x0][0x4],11 [0x6][0x14]
0,0,0,0,0,0,0,0,0,0,"","",0
1,1,1,3,5,15,3,1000,0,57,"Missions aléatoires","Terminer un total de 3 donjons en mission aléatoire.",84300
2,1,2,5,5,10,3,2000,0,57,"Donjons : victoires","Terminer un total de 5 donjons.",56200
3,2,1,3,5,5,3,1000,0,71,"Opérations de guilde achevées I","Accomplir un total de 3 opérations de guilde.",28100
4,2,2,10,5,10,3,2000,0,71,"Opérations de guilde achevées II","Accomplir un total de 10 opérations de guilde.",56200
5,0,0,0,0,0,0,0,0,0,"","",0
6,0,0,0,0,0,0,0,0,0,"","",0
7,3,1,10,0,0,4,10,0,130,"Antre des loups : participations","Participer 10 fois à l'Antre des loups.",0
8,3,2,3,0,0,4,15,0,130,"Antre des loups : victoires","Gagner 3 fois un combat de l'Antre des loups.",0
9,4,1,5,5,15,3,1000,0,0,"ALÉA : expansion territoriale","Obtenir l'évaluation maximale dans des ALÉA de 5 régions différentes.",84300
10,4,2,10,5,15,3,2000,0,0,"ALÉA : varier les plaisirs","Accomplir 10 ALÉA différents.",84300
11,5,1,5,5,15,3,1000,0,0,"Mandats : illustrations","Accomplir des mandats illustrés par 5 vitraux différents.",84300
12,5,2,20,5,15,3,2000,0,0,"Mandats : réussites","Accomplir un total de 20 mandats.",84300
13,6,1,10,0,0,6,1000,0,89,"Ravitaillement : livraisons","Effectuer un total de 10 missions de ravitaillement de ressources ou de matériel.",0
14,6,2,5,0,0,6,1000,0,89,"Ravitaillement : livraisons (HQ)","Livrer 5 fois un objet de haute qualité lors de missions de ravitaillement de ressources ou de matériel.",0
15,7,1,3,0,0,3,1000,0,149,"Chasse au trésor : cartes trouvées","Déterrer 3 vieilles cartes.",0
16,7,2,5,0,0,3,2000,0,149,"Chasse au trésor : coffres trouvés","Obtenir 5 coffres via la chasse au trésor.",0
17,8,1,20,7,5,3,1000,0,96,"Compagnon : ennemis vaincus I","Vaincre 20 ennemis de niveau proche avec son compagnon.",0
18,8,2,100,7,10,3,2000,0,96,"Compagnon : ennemis vaincus II","Vaincre 100 ennemis de niveau proche avec son compagnon.",0
19,9,1,5,0,0,3,1000,0,152,"Quêtes tribales achevées I","Finir 5 quêtes tribales quotidiennes.",0
20,9,2,15,0,0,3,2000,0,152,"Quêtes tribales achevées II","Finir 15 quêtes tribales quotidiennes.",0
21,10,1,5,0,0,3,4000,0,0,"Carnet d'objectifs I","Réussir 5 objectifs différents du carnet.",0
22,10,2,10,0,0,3,4000,0,0,"Carnet d'objectifs II","Réussir 10 objectifs différents du carnet.",0
23,10,3,15,0,0,3,5000,20,0,"Carnet d'objectifs III","Réussir 15 objectifs différents du carnet.",0
24,10,4,20,0,0,3,5000,30,0,"Carnet d'objectifs IV","Réussir 20 objectifs différents du carnet.",0
25,11,1,5,5,10,3,1000,0,160,"Honneurs","Attribuer 5 fois des honneurs à un équipier.",56200
26,12,1,100,5,5,3,1000,0,0,"Récolte","Récolter un total de 100 objets de niveau proche en tant que botaniste ou mineur.",0
27,12,2,30,5,5,3,2000,0,0,"Récolte (HQ)","Récolter un total de 30 objets HQ de niveau proche en tant que botaniste ou mineur.",0
28,12,3,30,5,5,3,1000,0,0,"Pêche","Totaliser 30 prises en pêche.",0
29,12,4,10,5,5,3,2000,0,0,"Pêche (HQ)","Totaliser 10 prises de haute qualité en pêche.",0
30,13,1,30,5,10,3,1000,0,0,"Synthèse","Réaliser 30 synthèses.",0
31,13,2,20,5,10,3,2000,0,0,"Synthèse (HQ)","Réaliser 20 synthèses de haute qualité.",0
32,13,3,5,5,10,3,2000,0,98,"Sertissage","Réussir 5 sertissages de matérias.",0
33,14,1,10,0,0,3,1000,0,168,"Servants : tâches accomplies","Faire accomplir un total de 10 tâches à ses servants.",0
34,14,2,15,0,0,3,4000,0,169,"Servants : missions d'exploration","Faire accomplir un total de 15 missions d'exploration à ses servants.",0
35,3,3,7,0,0,4,10,0,176,"Front : participations","Participer 7 fois au Front.",0
36,3,4,3,0,0,4,15,0,176,"Front : victoires","Gagner 3 fois une bataille au Front.",0
