Index,0 [0x3][0x36],1 [0x0][0x0],2 [0x0][0x4],3 [0x3][0x37],4 [0x5][0x30],5 [0x7][0x8],6 [0x5][0x32],7 [0x3][0x38],8 [0x6][0xc],9 [0x6][0x10],10 [0x6][0x14],11 [0x6][0x18],12 [0x6][0x1c],13 [0x6][0x20],14 [0x6][0x24],15 [0x6][0x28],16 [0x6][0x2c],17 [0x3][0x39],18 [0x5][0x34]
0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,"Siegesruhm I","100 Gegner wurden besiegt.",5,0,0,262,1,11,100,0,0,0,0,0,0,0,3,1
2,1,"Siegesruhm II","500 Gegner wurden besiegt.",5,0,0,262,1,11,500,0,0,0,0,0,0,0,3,2
3,1,"Siegesruhm III","1.000 Gegner wurden besiegt.",10,0,0,262,1,11,1000,0,0,0,0,0,0,0,3,3
4,1,"Siegesruhm IV","5.000 Gegner wurden besiegt.",10,0,0,262,1,11,5000,0,0,0,0,0,0,0,3,4
5,1,"Siegesruhm V","10.000 Gegner wurden besiegt.",10,0,0,262,1,11,10000,0,0,0,0,0,0,0,3,5
6,1,"Siegesruhm VI","50.000 Gegner wurden besiegt.",10,9,0,262,1,11,50000,0,0,0,0,0,0,0,3,6
7,1,"Halones Augenstern","100.000 Gegner wurden besiegt.",30,0,2907,2554,1,11,100000,0,0,0,0,0,0,0,3,7
8,48,"Großwildjäger von La Noscea","Alle der folgenden Notorischen Monster wurden besiegt: Barometz, Schlüpfriger Sykes, Gierschlund Gertrude, Bomber-Baron, Namenloser Soldat, Alter Sechsarm,  Riesenbüffel.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
9,48,"Großwildjäger des Finsterwalds","Alle der folgenden Notorischen Monster wurden besiegt: Alux, Königin Bolete, Gorilla-Galago, Sirocco, Phaia, Blähbauch Pockennarbe, Pestilenzio.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
10,48,"Großwildjäger von Thanalan","Alle der folgenden Notorischen Monster wurden besiegt: Steinaltes Mooshorn, Kaktor Jack, Opa Langbein, Kokoroon Drecksgriffel, Nestkommandant, Bardi, Pyrausta.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
11,48,"Großwildjäger von Coerthas","Die Notorischen Monster Uräusschlange, Spitfire und Daunen-Dunstan wurden besiegt.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
12,48,"Großwildjäger von Mor Dhona","Das Notorische Monster Dodore wurde besiegt.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
13,48,"Großwildjäger der Undinengrotte","Die Notorischen Monster Schermesser-Sheridan, Riesenlausfisch und Einsamer Coeurl wurden besiegt.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
14,48,"Fluch der Wilden Stämme","Die Notorischen Monster Lozol Totoloq der Köpfer, Flammenfaust Ahlygg Roh und Patriarch Zu Ga wurden besiegt.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
15,48,"Notorischer Nimrod","25 verschiedene Notorische Monster wurden besiegt.",30,10,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
