Index,0 [0x5][0x8],1 [0x0][0x0],2 [0x0][0x4],3 [0x5][0xa],4 [0x3][0xc]
0,0,"","",0,0
1,0,"Paroles sibyllines","",1,109
2,1,"Le trésor du grand bleu","",2,109
3,2,"La légende de Llymlaen","",3,109
4,3,"Duel sur le pont","",4,109
5,4,"Naufrage","",5,109
6,5,"La souillure","",6,109
7,6,"La colère des esprits","",7,109
8,7,"Les invités","",8,109
9,8,"Un festival mouvementé","",9,109
10,9,"La Cité qui ne dort jamais","",10,109
11,10,"Dégâts collatéraux","",11,109
12,11,"Quand la mort frappe","",12,109
13,12,"Prémices","",13,109
14,13,"Sauvetage désespéré","",14,109
15,14,"Un dialogue de sourds","",15,109
16,15,"Une alliance risquée","",16,109
17,16,"Le dieu des flammes","",17,109
18,17,"Libérer les libérateurs","",18,109
19,18,"Retrouvailles","",19,109
20,59,"L'art de l'usure","",20,111
21,60,"L'affaire des faux jetons","",21,111
22,61,"L'envers du jeton","",22,111
23,79,"Les éliminatoires","",23,111
24,80,"Droits inaliénables","",24,111
25,81,"Le tournoi","",25,111
26,99,"Le baptême des Bourreaux","",26,111
27,100,"Le bal des pirates","",27,111
28,101,"Tous les coups sont permis","",28,111
29,139,"Les comptoirs de l'auberge","",29,111
30,140,"Les comptoirs de l'auberge","",30,111
31,141,"Les comptoirs de l'auberge","",31,111
32,143,"J'aimerais changer de partenaire","",32,111
33,159,"Les flèches divines","",33,111
34,160,"Sombre forêt","",34,111
35,161,"Blessures du passé","",35,111
36,179,"Les vigiles sombres","",36,111
37,180,"Choc de cultures","",37,111
38,181,"Un mal nécessaire","",38,111
39,239,"Les contrats de vendetta","",39,111
40,240,"La rivale","",40,111
41,241,"La parole de Nald'thal","",41,111
42,259,"Au service des esprits","",42,111
43,260,"Le rêve du chevalier","",43,111
44,261,"La voix des esprits","",44,111
45,299,"De bien jeunes professeurs","",45,111
46,300,"Les petits démons","",46,111
47,301,"Le cadeau des esprits","",47,111
48,319,"Dur d'oreille","",48,111
49,320,"Le chant des sirènes","",49,111
50,321,"L'île interdite","",50,111
51,359,"Donner forme à la beauté","",51,111
52,360,"La Fleur de F'lhaminn","",52,111
53,361,"Percecœur","",53,111
54,379,"Contrôle qualité","",54,111
55,380,"Le deuxième Atelier","",55,111
56,381,"Evaluation générale","",56,111
57,399,"Acte I : Le rouge","",57,111
58,400,"Acte II : La cendre","",58,111
59,401,"Acte III : Le blanc","",59,111
60,419,"Un sommeil sans fin","",60,111
61,420,"Le garçon et le dragon","",61,111
62,421,"Rêve... ou réalité ?","",62,111
63,439,"Duel aux fourneaux","",63,111
64,440,"Le gourmet disparu","",64,111
65,441,"La soupe empoisonnée","",65,111
66,459,"Un fragment du passé","",66,111
67,460,"Sabotage","",67,111
68,461,"La fugue","",68,111
69,479,"Les racines de Gridania","",69,111
70,480,"La Cité lumière","",70,111
71,481,"Le champ de fleurs des Mogs","",71,111
72,499,"Unis contre les Sahuagins","",72,111
73,500,"Le Maître des viviers","",73,111
74,501,"Opération exceptionnelle","",74,111
75,626,"L'épreuve du feu","",75,110
76,632,"Marchandises égarées à la douane","",76,110
77,633,"Un pont à réparer","",77,110
78,635,"La revanche des Barracudas","",78,110
79,637,"Tout pour mon ragoût","",79,110
80,638,"Un pirate bien distrait","",80,110
81,639,"L'amour d'une mère","",81,110
82,640,"Bon pour le moral","",82,110
83,641,"La plage aux coquillages","",83,110
84,642,"Mauvaise pêche","",84,110
85,643,"Un peu plus près des étoiles","",85,110
86,645,"Un sombre passé","",86,110
87,647,"Une mission taillée sur mesure","",87,110
88,652,"Les petits secrets des pirates","",88,110
89,653,"Mets de l'huile","",89,110
90,654,"Rallumer les feux","",90,110
91,655,"Les légumes de Sandre","",91,110
92,657,"Petit farceur","",92,110
93,658,"Légendaire sicksa","",93,110
94,659,"Tel est pris qui croyait prendre","",94,110
95,661,"Les tourments d'un fils","",95,110
96,662,"Le carnet de Lonsygg","",96,110
97,663,"Dites-le avec des fleurs","",97,110
98,664,"En l'honneur de nos proches","",98,110
99,665,"Pierre muette","",99,110
100,666,"Ceux qui menacent la forêt","",100,110
101,667,"Les fèves du succès","",101,110
102,668,"Perdre le fil","",102,110
103,673,"Les Oracles","",103,110
104,674,"Toc toc toc","",104,110
105,675,"Insomnies","",105,110
106,676,"Le retour du mort-vivant","",106,110
107,678,"Le client est roi","",107,110
108,679,"Les Mille Feuilles","",108,110
109,680,"La tache","",109,110
110,681,"Le kidnapping","",110,110
111,682,"Le bon geôlier","",111,110
112,683,"Y a des jours comme ça","",112,110
113,684,"Chocobos en danger","",113,110
114,685,"Le prix de la liberté","",114,110
115,686,"Pousser comme du minerai","",115,110
116,689,"Concurrence déloyale","",116,110
117,694,"Promesse d'immortalité","",117,110
118,705,"Brebis égarées","",118,110
119,706,"Le prix de la vie","",119,110
120,707,"Rituels sanglants","",120,110
121,725,"Donnant, donnant","",121,110
122,726,"Paris sanglants","",122,110
123,727,"Le marché noir","",123,110
124,733,"Les grandes gueules","",124,110
125,734,"La frairie","",125,110
126,735,"Crime désorganisé","",126,110
127,736,"A la poursuite du trésor vivant","",127,110
128,743,"L'Empire s'affiche","",128,110
129,744,"Le cœur en joue","",129,110
130,745,"L'écume des trésors","",130,110
131,752,"Le Preux Ahldbhar","",131,110
