Index,0 [0x0][0x0]
0,""
1,"Besiege die Gegner"
2,"Besorge die Gegenstände"
3,"Vernichte alle Gegner"
4,"Verfolge und vernichte alle Gegner"
5,"Schwäche den Gegner und besänftige ihn <if:mit dem Emote „Beruhigen“/mit <?0x32>>"
6,"<if:Greif an/Benutze <?0x32>>, um die Gegner zu enttarnen, und besiege sie"
7,"Beseitige die Gegner im Zielgebiet"
8,"Sammle die Seiten des „Nekrologs“ und besiege das daraus erscheinende Monster"
9,"Geleite <?0x32> zum Ziel"
10,"Sammle die Gegenstände in allen Zielgebieten\nBonus für Bewertung von\nmin. 320: +25 %\nmin. 303: +10 %\nmin. 286: +5 %"
11,"Besorge die Gegenstände"
12,"Gehe in alle Zielgebiete und besorge die Gegenstände"
13,"Vermerke die Sammelarbeiten\nBonus für Bewertung von\nmin. 160: +25 %\nmin. 152: +10 %\nmin. 143: +5 %"
14,"Bring das Geforderte am Zielobjekt an"
15,"Bei zu wenigen Gegenständen scheitert die Mission"
16,"Such am Zielort"
17,"Lock das Ziel hervor und vernichte es."
18,"Sammle die Gegenstände in allen Zielgebieten\nBonus für Bewertung von\nmin. 479: +25 %\nmin. 454: +10 %\nmin. 429: +5 %"
19,"Untersuche alle Zielgebiete\nBonus für Bewertung von\nmin. 240: +25 %\nmin. 227: +10 %\nmin. 215: +5 %"
20,""
21,"Fortschritt"
22,"Abgesuchte Gebiete"
23,"Schwäche das Ziel vorm Besänftigen, aber schlag es nicht k. o. "
24,"Ringe <?0x32> <?0x32> ab, um Monster zu enttarnen"
25,"Wenn <?0x32> k. o. geht, scheitert die Mission"
26,"Beschütze das Missionsobjekt und besiege die Gegner"
27,"Besiege so viele Gegner wie möglich"
28,"Finde den Gegner mit <?0x32> und besiege ihn"
29,""
30,"Besiege die Gegner, die Verstärkung rufen"
31,"Bei zu wenig besiegten Gegnern scheitert die Mission"
32,"Besiege Gegner, die auf das <if:/stups//schuld> Emote reagieren und sammle <?0x32> auf."
33,"Mission misslingt, wenn alle <?0x32> verloren gehen"
34,"Benutze <?0x32> von <?0x32> an <?0x32>, um <?0x32> anzulocken"
35,"Schwäche das Ziel vor dem Besänftigen, sonst rastet es aus"
