Index,0 [0x0][0x0]
0,""
1,"Auftraggeber: Gelbjackengefreiter Sylskaetsyn"
2,"Auftraggeber: Wynstin Walder vom Brugaire-Konsortium"
3,"Auftraggeber: Test"
4,"Auftraggeber: Gestüt „Mogry-Stolz“"
5,"Auftraggeber: Audrie vom Gestüt „Mogry-Stolz“ "
6,"Auftraggeber: Grotte der Versunkenen Gedanken"
7,"Auftraggeber: Ayled Wangenrot, Schankwirt"
8,"Auftraggeber: Buscarron, Schankwirt von „Buscarrons Horst“"
9,"Auftraggeber: Maisenta vom Handelshaus „Schwarzer Hase“"
10,"Auftraggeber: Klageregiment"
11,"Auftraggeber: Klageregiment"
12,"Auftraggeber: Klageregiment"
13,"Auftraggeber: Juliembert vom Klageregiment"
14,"Auftraggeber: Anwohner des Weilers Mühlenbruch"
15,"Auftraggeber: Ährenkranzkolonie"
16,"Auftraggeber: Jägergilde"
17,"Auftraggeber: Gabineaux"
18,"Auftraggeber: Klageregiment"
19,"Auftraggeber: Lanverlais vom Klageregiment"
20,"Auftraggeber: Eugenaire der Graue von der Jägergilde"
21,"Auftraggeber: Hauptmann Galfrid"
22,"Auftraggeber: Gabineaux"
23,"Auftraggeber: Leonceault von der Gärtnergilde"
24,"Auftraggeber: Alixie von der Druidengilde"
25,"Auftraggeber: Maurelin von Nophicas Schar"
26,"Auftraggeber: Margault vom Gestüt „Mogry-Stolz“"
27,"Auftraggeber: Eylgar vom Klageregiment"
28,"Auftraggeber: Gustavain vom Gestüt „Mogry-Stolz“"
29,"Auftraggeber: Waldew von der Druidengilde"
30,"Auftraggeber: Florimond vom Klageregiment"
31,"Auftraggeber: Schankwirt Buscarron"
32,"Auftraggeber: Rosa Hawthorne von der Imkerei Blütengold"
33,"Auftraggeber: Ysabel Hawthorne"
34,"Auftraggeber: Rolfe Hawthorne"
35,"Auftraggeber: Balan vom Klageregiment"
36,"Auftraggeber: Ombeline aus Mühlenbruch"
37,"Auftraggeber: Mogry-Barde Kupni Kapp"
