Index,0 [0x7][0xc],1 [0x7][0x10],2 [0x7][0x14],3 [0x0][0x0],4 [0x0][0x4],5 [0x0][0x8]
0,0,0,0,"","",""
1,0,0,0,"Jouer","",""
2,0,0,0,"Configuration","",""
3,0,0,0,"Film d'introduction","",""
4,0,0,0,"Générique","",""
5,0,0,0,"","",""
6,0,0,0,"Paramétrer la manette?\n* Ces réglages sont accessibles à tout moment depuis le menu Configuration système.","",""
7,0,0,0,"Oui","",""
8,0,0,0,"Non","",""
9,0,0,0,"","",""
10,0,0,0,"Compte de service","",""
11,0,0,0,"Choisissez le compte de service.","",""
12,0,0,0,"Version du jeu: <value> (<value>)","",""
13,0,0,0,"<color #FF7B1A>Attention</color>: Vous êtes en mode basse résolution (480p/i ou 576p/i).\nLe mode haute résolution (720p) est recommandé pour un confort de jeu optimal.","",""
14,0,0,0,"","",""
15,0,0,0,"OK","",""
16,0,0,0,"Annuler","",""
17,0,0,0,"Sélectionnez la catégorie que vous souhaitez modifier dans la liste de droite. Les catégories indiquant “???” n'ont pas encore été définies.","",""
18,0,0,0,"Sélectionnez la catégorie que vous souhaitez modifier dans la liste de droite. Une fois le changement effectué, cliquez sur OK pour valider.","",""
19,0,0,0,"Sélectionnez la catégorie que vous souhaitez modifier dans la liste de droite. Les catégories indiquant “???” n'ont pas encore été définies.","",""
20,0,0,0,"Effacer","",""
21,0,0,0,"Voulez-vous vraiment effacer <value>?","",""
22,0,0,0,"Confirmer","",""
23,0,0,0,"Renommer","",""
24,0,0,0,"Renommer le servant","",""
25,0,0,0,"Se connecter avec <value>?","",""
26,0,0,0,"Vous devez renommer ce personnage pour vous connecter avec. Veuillez choisir un nouveau nom.","",""
27,0,0,0,"Vous devez renommer ce personnage pour vous connecter avec.","",""
28,0,0,0,"Renommer ce personnage <value>?","",""
29,0,0,0,"Renommer ce servant <value>?","",""
30,0,0,0,"Nouveau personnage","",""
31,0,0,0,"Quitter la création de personnage et perdre tous vos choix?","",""
32,0,0,0,"Commencer le jeu avec ce personnage?","",""
33,0,0,0,"Créer un nouveau personnage?","",""
34,0,0,0,"Vous ne pouvez pas créer de personnages supplémentaires. Vous devez en effacer un avant de pouvoir en créer un nouveau.","",""
35,0,0,0,"<value>/<value>","",""
36,0,0,0,"Zone","",""
37,0,0,0,"<value><if:er/e> soleil de la <switch:>","",""
38,0,0,0,"(<value>.<value>)","",""
39,0,0,0,"","",""
40,0,0,0,"1re lune astrale","",""
41,0,0,0,"1re lune ombrale","",""
42,0,0,0,"2e lune astrale","",""
43,0,0,0,"2e lune ombrale","",""
44,0,0,0,"3e lune astrale","",""
45,0,0,0,"3e lune ombrale","",""
46,0,0,0,"4e lune astrale","",""
47,0,0,0,"4e lune ombrale","",""
48,0,0,0,"5e lune astrale","",""
49,0,0,0,"5e lune ombrale","",""
50,0,0,0,"6e lune astrale","",""
51,0,0,0,"6e lune ombrale","",""
52,0,0,0,"","",""
53,0,0,0,"<switch:1er/2e/3e/4e/5e/6e/7e/8e/9e/10e/11e/12e/13e/14e/15e/16e/17e/18e/19e/20e/21e/22e/23e/24e/25e/26e/27e/28e/29e/30e/31e/32e> soleil de la <switch:>","",""
54,0,0,0,"","",""
55,0,0,0,"","",""
56,0,0,0,"<value> <switch:/(Legacy)//(Legacy)/(Euro)/(Legacy/Euro)>","",""
57,0,0,0,"Chargement de la liste des Mondes...","",""
58,0,0,0,"Impossible de charger la liste des Mondes.","",""
59,0,0,0,"Mettre à jour l'état des Mondes. Cette option ne peut être utilisée qu'une fois <if:par minute/toutes les <value> minutes>.","",""
60,0,0,0,"Vous avez atteint le nombre maximum de personnages autorisés pour ce compte. Pour en créer un nouveau, vous devez d'abord supprimer un personnage existant en choisissant “Effacer” à partir du sous-menu (clic droit ou touche <icon:11>).","",""
61,0,0,0,"Vous avez atteint le nombre maximum de personnages autorisés. Pour en créer un nouveau, vous devez d'abord supprimer un personnage existant en choisissant “Effacer” à partir du sous-menu (clic droit ou touche <icon:11>).","",""
62,0,0,0,"Vous ne pouvez pas créer de personnage supplémentaire sur ce Monde.","",""
63,0,0,0,"Ce Monde est plein et il n'est plus possible de créer de nouveaux personnages dessus. Vous devez attendre que la restriction soit levée, ou choisir un autre Monde.","",""
64,0,0,0,"Vous ne pouvez pas utiliser ce personnage avec le type de service actuel de votre abonnement.","",""
65,0,0,0,"Vous pouvez changer une fois le nom, la race, le sexe et l'apparence de votre personnage.","",""
66,0,0,0,"Vous devez renommer le servant de ce personnage avant de vous connecter.","",""
67,0,0,0,"La race, le sexe et l'apparence du personnage peuvent être modifiés.","",""
68,0,0,0,"Vous ne pouvez pas vous connecter avec ce personnage, car il est dans une zone nécessitant “<ref:ExVersion>”.","",""
69,0,0,0,"Vous ne pouvez pas changer la race, le sexe ou l'apparence de ce personnage, car il est dans une zone nécessitant “<ref:ExVersion>”.","",""
70,0,0,0,"Ce personnage hérite de données de la version 1.0. Pour commencer le jeu avec, vous devez choisir sa classe de départ.","",""
71,0,0,0,"OK","",""
72,0,0,0,"Annuler","",""
73,0,0,0,"La classe sera <ref:ClassJob>. La cité de départ sera par conséquent <ref:Town>.","",""
74,0,0,0,"OK","",""
75,0,0,0,"Annuler","",""
76,0,0,0,"Ce personnage hérite de données de la version 1.0. Pour commencer le jeu avec, vous devrez choisir sa classe de départ. Il sera alors possible de changer une fois ses race/sexe/apparence ainsi que son nom.","",""
77,0,0,0,"Modifier maintenant","",""
78,0,0,0,"Modifier plus tard","",""
79,0,0,0,"Modifier l'apparence","",""
80,0,0,0,"Créer à partir des données sauvegardées","",""
81,0,0,0,"Sauvegarder les données de création","",""
82,0,0,0,"Charger des données sauvegardées","",""
83,0,0,0,"","",""
84,0,0,0,"Bienvenue dans l'univers de FINAL FANTASY XIV.\nCréez un personnage pour commencer l'aventure.","",""
85,0,0,0,"OK","",""
86,0,0,0,"Bienvenue dans l'univers de FINAL FANTASY XIV.\nCréez un personnage pour commencer l'aventure, ou choisissez un personnage existant.\nVous avez sélectionné le Monde <value> sur lequel vous avez <value> <if:personnage/personnages>. Pour voir un autre Monde, appuyez sur le bouton prévu à cet effet en haut à droite.","",""
87,0,0,0,"OK","",""
88,0,0,0,"Choisissez le Monde dont vous voulez voir les personnages.","",""
89,0,0,0,"Deux groupements de Mondes sont disponibles, avec différentes localisations des serveurs. Vous pouvez sélectionner le plus proche géographiquement ou choisir selon le temps de réponse indiqué.","",""
90,0,900,0,"","",""
91,0,900,0,"","",""
92,0,0,0,"","",""
93,0,0,0,"","",""
94,0,1200,0,"","",""
95,0,0,0,"","",""
96,0,0,0,"","",""
97,0,120,0,"","",""
98,0,0,0,"","",""
99,0,0,0,"","",""
100,0,0,0,"???","",""
101,0,5,0,"Race / Sexe","種族",""
102,0,2,0,"Ethnie","部族",""
103,0,2,0,"Sexe","性別",""
104,0,0,0,"Apparence","ルックス",""
105,0,0,0,"Naissance","誕生日",""
106,0,12,0,"Divinité","守護神",""
107,0,10,0,"Classe","クラス",""
108,0,0,0,"Monde","ワールド",""
109,0,0,0,"Nom","名前",""
110,0,0,0,"Hyur<switch: ©/ ®/>","","Mille ans ont passé depuis que les premiers Hyurs sont arrivés
en Éorzéa. Après trois importantes vagues migratoires, ils
constituent aujourd'hui la race la plus importante de la péninsule.
Une grande diversité de langages et de cultures les caractérise,
au détriment d'un sentiment d'unité nationale. La liberté est
ce qu'il y a de plus cher à leurs yeux."
111,0,0,0,"","",""
112,0,0,0,"Élézen<switch: ©/ ®/>","","Ces nomades, anciens maîtres des plaines éorzéennes,
ont une silhouette longiligne adaptée à la vie dans
les étendues sauvages, et une espérance de vie plus
longue que celle des Hyurois. Peuple fier de ses
origines, les Élézens ont mal accepté l'installation
de ces derniers sur leurs terres et les ont longtemps
combattus. Les deux races ont cependant appris à
vivre ensemble au fil du temps."
113,0,0,0,"","",""
114,0,0,0,"Lalafell<switch: ©/ ®/>","","Ce petit peuple d'anciens agriculteurs est originaire des îles
méridionales. Aux yeux des autres races, ils ressemblent à
des enfants, mais cette allure est trompeuse.
À mesure que les liens commerciaux avec Éorzéa se sont
renforcés, les Lalafells s'y sont établis. Bien qu'ils
valorisent les liens familiaux, ils ne sont en aucun cas
communautaristes et entretiennent des rapports amicaux
avec toutes les ethnies."
115,0,0,0,"","",""
116,0,0,0,"Miqo'te<switch: ©/ ®/>","","Ce peuple de chasseurs a migré vers Éorzéa en quête de gibier,
traversant les océans gelés durant "la grande glaciation",
le surnom donné à la 5e ère ombrale. La morphologie des
Miqo'tes est adaptée à la chasse. Ils sont dotés d'un odorat
développé, de jambes musculeuses qui leur permettent des
accélérations foudroyantes et d'une queue qui leur donne un
excellent sens de l'équilibre. Extrêmement territoriaux,
nombre d'entre eux préfèrent la vie en solitaire. Cette
tendance est particulièrement forte chez les hommes."
117,0,0,0,"","",""
118,0,0,0,"Roegadyn<switch: ©/ ®/>","","Ces géants au physique imposant ne passent pas inaperçus.
Nombre d'entre eux sont les descendants de marins qui
écumaient autrefois les mers septentrionales sur leurs
drakkars, et qui se sont finalement installés en Éorzéa.
Ils ont pour coutume de s'affronter brutalement dans des
compétitions afin de mesurer leurs forces, ce qui leur a
longtemps valu une réputation de barbares auprès des autres
races. Mais de nos jours, ils sont reconnus comme un peuple
généreux et loyal dont sont issus des guerriers légendaires."
119,0,0,0,"","",""
120,0,0,0,"Hyurois","","Majoritaires parmi les Hyurs, les Hyurois vivent sur
l'ensemble du territoire éorzéen. On les trouve en grand
nombre dans chaque cité-État. Ils se distinguent par la
variété de leurs modes de vie, conséquence directe de
leur préférence pour la liberté individuelle.

Attributs de base : 
Force 21 / Dextérité 19 / Vitalité 20 
Intelligence 21 / Esprit 18 / Piété 21"
121,0,0,0,"","",""
122,0,0,0,"Hyurgoth","","Ce peuple farouche a longtemps vécu retranché dans des forts
montagneux. Les Hyurgoths sont plus grands et plus musclés
que leurs cousins hyurois. Ils sont les fondateurs de la
formidable cité-État d'Ala Mhigo, qui fut pendant des siècles
une des plus grandes puissances d'Éorzéa. Cependant, elle a
fini par tomber aux mains de l'empire garlemaldais, et les
quelques survivants qui ont pu la fuir sont allés se réfugier
dans la Cité commerçante d'Ul'dah.

Attributs de base : 
Force 23 / Dextérité 20 / Vitalité 22 
Intelligence 18 / Esprit 20 / Piété 17"
123,0,0,0,"","",""
124,0,0,0,"Sylvestre","","Les forêts ombreuses, notamment celle de Sombrelinceul,
ont été le refuge de ces Élézens durant des centaines
d'années. Ils vivent aujourd'hui principalement dans
les cités-États d'Ishgard et de Gridania. Ce peuple aime
l'ordre et le respect des règles, et c'est pourquoi les
autres races ont tendance à considérer les Sylvestres
comme des donneurs de leçons prétentieux.

Attributs de base : 
Force 19 / Dextérité 23 / Vitalité 18 
Intelligence 22 / Esprit 17 / Piété 21"
125,0,0,0,"","",""
126,0,0,0,"Crépusculaire","","Ces Élézens de l'ombre ont vécu plusieurs centaines d'années
dans de sombres grottes calcaires situées au cœur de régions
forestières. Leurs ancêtres ont rompu avec les Sylvestres
lors de la fondation de Gridania pour perpétuer leur mode de
vie troglodytique. Ils n'aiment pas les contraintes liées à
la vie citadine et c'est pourquoi ils sont encore nombreux à
prendre leurs distances avec les cités-États.

Attributs de base : 
Force 20 / Dextérité 20 / Vitalité 19 
Intelligence 23 / Esprit 20 / Piété 18"
127,0,0,0,"","",""
128,0,0,0,"Peuple des Plaines","","Ces Lalafells vivent principalement dans les plaines arables
d'Éorzéa, et se sont installés notamment dans la région de la
Noscea. Si beaucoup d'entre eux se sont naturellement tournés
vers l'agriculture, d'autres ont profité de la proximité de
la Cité portuaire de Limsa Lominsa pour se lancer dans le
commerce maritime ou dans l'industrie de la pêche. Ils sont
souvent considérés comme des optimistes qui vivent à leur
propre rythme.

Attributs de base : 
Force 18 / Dextérité 22 / Vitalité 18 
Intelligence 21 / Esprit 20 / Piété 21"
129,0,0,0,"","",""
130,0,0,0,"Peuple des Dunes","","Ce sont les Lalafells qui se sont installés dans des régions
désertiques, et plus particulièrement celle du Thanalan. Ils
sont les fondateurs de la cité-État marchande d'Ul'dah, et
leur amour du commerce est célèbre dans tout Éorzéa. Leur
habitude de mettre immédiatement leurs idées en pratique
leur permet souvent de saisir les meilleures opportunités.

Attributs de base : 
Force 17 / Dextérité 20 / Vitalité 17 
Intelligence 21 / Esprit 22 / Piété 23"
131,0,0,0,"","",""
132,0,0,0,"Tribu du Soleil","","Le culte de l'astre solaire prévaut dans la société et la
culture de ces Miqo'tes au mode de vie diurne. Il va sans
dire que nombre d'entre eux vénèrent la déesse du soleil
et de la vérité, Azeyma la Gardienne. Leur population est
clairsemée en Éorzéa, mais on les trouve en plus grand
nombre à Limsa Lominsa, où ils ont appris à vivre avec les
autres races. Certains clans se sont aussi installés dans
les terres reculées, notamment le désert de Sagolii.

Attributs de base : 
Force 21 / Dextérité 22 / Vitalité 20 
Intelligence 18 / Esprit 19 / Piété 20"
133,0,0,0,"","",""
