Index,0 [0x0][0x0],1 [0x3][0x4],2 [0x3][0x5],3 [0x3][0x6],4 [0x3][0x7],5 [0x2][0x8]
0,"",0,0,0,0,-1
1,"フリーカンパニーを結成しました。",0,0,0,1,0
2,"カンパニーランクが<value>にアップしました。",0,0,1,1,0
3,"「<ref:GrandCompany>」との友好関係が「<ref:FCReputation>」にアップしました。",1,0,1,1,5
4,"「<ref:GrandCompany>」との友好関係が「<ref:FCReputation>」にアップしました。",1,0,1,1,6
5,"「<ref:GrandCompany>」との友好関係が「<ref:FCReputation>」にアップしました。",1,0,1,1,7
6,"権利「<ref:FCRights>」を獲得しました。",0,0,1,1,0
7,"<if:<ref:ObjStr>>が加入しました。",4,0,0,2,1
8,"<if:<ref:ObjStr>>が加入しました。",4,0,0,2,1
9,"<if:<ref:ObjStr>>が脱退しました。",4,0,0,2,2
10,"<if:<ref:ObjStr>>が脱退しました。",4,0,0,2,2
11,"<if:<ref:ObjStr>>が「<if:<ref:ObjStr>>」に就任しました。",4,5,0,2,3
12,"<if:<ref:ObjStr>>が「<if:<ref:ObjStr>>」に就任しました。",4,5,0,2,3
13,"<if:<ref:ObjStr>>が「<if:<ref:ObjStr>>」に就任しました。",4,5,0,2,3
14,"「<ref:GrandCompany>」に移籍しました。",0,1,0,1,5
15,"「<ref:GrandCompany>」に移籍しました。",0,1,0,1,6
16,"「<ref:GrandCompany>」に移籍しました。",0,1,0,1,7
17,"<if:<ref:ObjStr>>が階級「<if:<ref:ObjStr>>」の設定を変更しました。",4,5,0,3,3
18,"<if:<ref:ObjStr>>が階級「<if:<ref:ObjStr>>」を追加しました。",4,5,0,3,3
19,"<if:<ref:ObjStr>>が階級「<if:<ref:ObjStr>>」を削除しました。",4,5,0,3,3
20,"<if:<ref:ObjStr>>が階級の序列を変更しました。",4,0,0,3,3
21,"",4,6,1,0,-1
22,"",4,0,0,0,-1
23,"",4,0,0,0,-1
24,"<if:<ref:ObjStr>>がカンパニーボードを更新しました。",4,0,0,3,4
25,"<if:<ref:ObjStr>>がカンパニープロフィールを更新しました。",4,0,0,3,4
26,"<if:<ref:ObjStr>>がクレストデザインを変更しました。",4,0,0,3,8
27,"<if:<ref:ObjStr>>が「<ref:CompanyAction>」を獲得しました。",4,0,1,4,9
28,"<if:<ref:ObjStr>>が「<ref:CompanyAction>」を使用しました。",4,0,1,4,9
29,"このアクティビティは削除されました。",0,0,0,0,4
30,"<if:<ref:ObjStr>>が階級の名称を「<if:<ref:ObjStr>>」に変更しました。",4,5,0,3,3
31,"<if:<ref:ObjStr>>が「<ref:CompanyAction>」をキャンセルしました。",4,0,1,4,9
32,"<if:<ref:ObjStr>>が「<ref:CompanyAction>」を破棄しました。",4,0,1,4,9
