Index,0 [0x9][0x0],1 [0x9][0x4],2 [0x9][0x8],3 [0x9][0xc],4 [0x9][0x10],5 [0x9][0x14],6 [0x9][0x18],7 [0x9][0x1c],8 [0x9][0x20],9 [0x9][0x24],10 [0x9][0x28],11 [0x9][0x2c],12 [0x19][0x3b],13 [0x9][0x30],14 [0x9][0x34],15 [0x2][0x38],16 [0x2][0x39],17 [0x2][0x3a],18 [0x1a][0x3b]
1,60.0,60.0,30.0,30.0,60.0,0.0,30.0,30.0,30.0,30.0,60.0,0.0,false,0.3,0.3,0,0,0,false
2,60.0,60.0,30.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0.3,0.8,0,2,2,false
3,60.0,60.0,30.0,0.0,60.0,0.0,30.0,30.0,0.0,0.0,60.0,0.0,true,0.0,0.3,0,0,2,false
4,60.0,60.0,30.0,0.0,60.0,0.0,60.0,30.0,0.0,0.0,60.0,0.0,true,0.4,0.6,0,0,1,true
5,60.0,60.0,30.0,0.0,60.0,0.0,30.0,30.0,0.0,0.0,60.0,0.0,true,0.0,0.3,0,0,1,true
6,60.0,60.0,30.0,0.0,60.0,0.0,30.0,30.0,0.0,0.0,60.0,0.0,true,0.0,0.3,0,0,1,true
7,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.1,0,2,2,false
8,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,0.0,0.0,0,2,2,false
9,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,0.1,0.3,0,2,2,false
10,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0.3,0.3,0,2,2,false
11,60.0,60.0,30.0,30.0,60.0,0.0,30.0,30.0,30.0,30.0,60.0,0.0,false,0.3,0.3,0,0,0,false
12,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0.3,0.3,0,2,2,false
13,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0.3,0.3,0,2,2,false
14,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.3,0,2,2,false
15,60.0,60.0,30.0,0.0,60.0,0.0,30.0,30.0,0.0,0.0,60.0,0.0,true,0.1,0.3,0,1,1,true
