Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x0][0x8]
0,"Barre de raccourcis 1","racc1","hot1"
1,"Barre de raccourcis 2","racc2","hot2"
2,"Barre de raccourcis 3","racc3","hot3"
3,"Barre de raccourcis 4","racc4","hot4"
4,"Barre de raccourcis 5","racc5","hot5"
5,"Barre de raccourcis 6","racc6","hot6"
6,"Barre de raccourcis 7","racc7","hot7"
7,"Barre de raccourcis 8","racc8","hot8"
8,"Barre de raccourcis 9","racc9","hot9"
9,"Barre de raccourcis 10","racc10","hot10"
10,"Barre des familiers","bfam","hotex"
11,"Croix de raccourcis","cxracc","cross"
12,"Barre de progression","bprog","cast"
13,"Cible","cible","target"
14,"Cible focalisée","focal","focus"
15,"Équipe","équipe","plist"
16,"Liste d'inimitié","inim","elist"
17,"Attributs","attrib","param"
18,"Messages","mess","notice"
19,"Boussole","bouss","mmap"
20,"Menu principal","mprinc","mmenu"
21,"Infos du serveur","infoserv","server"
22,"Gils","gils","gil"
23,"Inventaire","invent","bag"
24,"Liste des objectifs","listeobj","todo"
25,"Détails de l'objet","détobjet","item"
26,"Détails de l'action","détaction","action"
27,"Jauge de Transcendance","jgtrans","limit"
28,"Expérience","exp","ebar"
29,"Altérations d'état","altérétat","buff"
30,"Liste d'alliance 1","alliance1","alist1"
31,"Liste d'alliance 2","alliance2","alist2"
32,"目的リスト","DutyList","dlist"
33,"コンテンツ情報","ContentsInfo","cinfo"
34,"Barre de combos","bcombo",""
35,"Cible secondaire","csec",""
36,"<nil>","",""
37,"Aide active","aide",""
38,"","",""
39,"","",""
40,"","",""
