Index,0 [0x6][0x320],1 [0x3][0x328],2 [0x5][0x324],3 [0x5][0x326],4 [0x0][0x0],5 [0x0][0x8],6 [0x0][0x10],7 [0x0][0x18],8 [0x0][0x20],9 [0x0][0x28],10 [0x0][0x30],11 [0x0][0x38],12 [0x0][0x40],13 [0x0][0x48],14 [0x0][0x50],15 [0x0][0x58],16 [0x0][0x60],17 [0x0][0x68],18 [0x0][0x70],19 [0x0][0x78],20 [0x0][0x80],21 [0x0][0x88],22 [0x0][0x90],23 [0x0][0x98],24 [0x0][0xa0],25 [0x0][0xa8],26 [0x0][0xb0],27 [0x0][0xb8],28 [0x0][0xc0],29 [0x0][0xc8],30 [0x0][0xd0],31 [0x0][0xd8],32 [0x0][0xe0],33 [0x0][0xe8],34 [0x0][0xf0],35 [0x0][0xf8],36 [0x0][0x100],37 [0x0][0x108],38 [0x0][0x110],39 [0x0][0x118],40 [0x0][0x120],41 [0x0][0x128],42 [0x0][0x130],43 [0x0][0x138],44 [0x0][0x140],45 [0x0][0x148],46 [0x0][0x150],47 [0x0][0x158],48 [0x0][0x160],49 [0x0][0x168],50 [0x0][0x170],51 [0x0][0x178],52 [0x0][0x180],53 [0x0][0x188],54 [0x0][0x190],55 [0x0][0x198],56 [0x0][0x1a0],57 [0x0][0x1a8],58 [0x0][0x1b0],59 [0x0][0x1b8],60 [0x0][0x1c0],61 [0x0][0x1c8],62 [0x0][0x1d0],63 [0x0][0x1d8],64 [0x0][0x1e0],65 [0x0][0x1e8],66 [0x0][0x1f0],67 [0x0][0x1f8],68 [0x0][0x200],69 [0x0][0x208],70 [0x0][0x210],71 [0x0][0x218],72 [0x0][0x220],73 [0x0][0x228],74 [0x0][0x230],75 [0x0][0x238],76 [0x0][0x240],77 [0x0][0x248],78 [0x0][0x250],79 [0x0][0x258],80 [0x0][0x260],81 [0x0][0x268],82 [0x0][0x270],83 [0x0][0x278],84 [0x0][0x280],85 [0x0][0x288],86 [0x0][0x290],87 [0x0][0x298],88 [0x0][0x2a0],89 [0x0][0x2a8],90 [0x0][0x2b0],91 [0x0][0x2b8],92 [0x0][0x2c0],93 [0x0][0x2c8],94 [0x0][0x2d0],95 [0x0][0x2d8],96 [0x0][0x2e0],97 [0x0][0x2e8],98 [0x0][0x2f0],99 [0x0][0x2f8],100 [0x0][0x300],101 [0x0][0x308],102 [0x0][0x310],103 [0x0][0x318],104 [0x7][0x4],105 [0x7][0xc],106 [0x7][0x14],107 [0x7][0x1c],108 [0x7][0x24],109 [0x7][0x2c],110 [0x7][0x34],111 [0x7][0x3c],112 [0x7][0x44],113 [0x7][0x4c],114 [0x7][0x54],115 [0x7][0x5c],116 [0x7][0x64],117 [0x7][0x6c],118 [0x7][0x74],119 [0x7][0x7c],120 [0x7][0x84],121 [0x7][0x8c],122 [0x7][0x94],123 [0x7][0x9c],124 [0x7][0xa4],125 [0x7][0xac],126 [0x7][0xb4],127 [0x7][0xbc],128 [0x7][0xc4],129 [0x7][0xcc],130 [0x7][0xd4],131 [0x7][0xdc],132 [0x7][0xe4],133 [0x7][0xec],134 [0x7][0xf4],135 [0x7][0xfc],136 [0x7][0x104],137 [0x7][0x10c],138 [0x7][0x114],139 [0x7][0x11c],140 [0x7][0x124],141 [0x7][0x12c],142 [0x7][0x134],143 [0x7][0x13c],144 [0x7][0x144],145 [0x7][0x14c],146 [0x7][0x154],147 [0x7][0x15c],148 [0x7][0x164],149 [0x7][0x16c],150 [0x7][0x174],151 [0x7][0x17c],152 [0x7][0x184],153 [0x7][0x18c],154 [0x7][0x194],155 [0x7][0x19c],156 [0x7][0x1a4],157 [0x7][0x1ac],158 [0x7][0x1b4],159 [0x7][0x1bc],160 [0x7][0x1c4],161 [0x7][0x1cc],162 [0x7][0x1d4],163 [0x7][0x1dc],164 [0x7][0x1e4],165 [0x7][0x1ec],166 [0x7][0x1f4],167 [0x7][0x1fc],168 [0x7][0x204],169 [0x7][0x20c],170 [0x7][0x214],171 [0x7][0x21c],172 [0x7][0x224],173 [0x7][0x22c],174 [0x7][0x234],175 [0x7][0x23c],176 [0x7][0x244],177 [0x7][0x24c],178 [0x7][0x254],179 [0x7][0x25c],180 [0x7][0x264],181 [0x7][0x26c],182 [0x7][0x274],183 [0x7][0x27c],184 [0x7][0x284],185 [0x7][0x28c],186 [0x7][0x294],187 [0x7][0x29c],188 [0x7][0x2a4],189 [0x7][0x2ac],190 [0x7][0x2b4],191 [0x7][0x2bc],192 [0x7][0x2c4],193 [0x7][0x2cc],194 [0x7][0x2d4],195 [0x7][0x2dc],196 [0x7][0x2e4],197 [0x7][0x2ec],198 [0x7][0x2f4],199 [0x7][0x2fc],200 [0x7][0x304],201 [0x7][0x30c],202 [0x7][0x314],203 [0x7][0x31c]
0,0,1,0,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,65775,1,30,50,"BNPC_01","BNPC_02","BNPC_03","ENPC_01","ENPC_02","BTL_TLK_01","WARP_01","RECT_01","BNPC_IDA","ACTION_FLASH","EOBJ_01","EVENT_ACTION_01","GT_ACTION_01","GIMMICK_EOBJ_01","GIMMICK_STATUS_01","MOUNT_01","EOBJ_SAKU_TEST","EOBJ_DIABOROS_DOOR_TEST","BNPC_GOAL","BNPC_EMANERAN","BNPC_GRINOR","BNPC_POALCLAN","BNPC_CHAIN","BNPC_ARFINO","QIB_CHANNELING_CHAIN","DEF_ACTION_CHAIN_GANG","DEF_ACTION_LIGHTENING","LOCKON_TEST","CLASSJOB_KNIGHT","BNPC_KARA","BNPC_TOUMEI_KARA","DEF_ACTION_KARA_HASHA","DEF_ACTION_KARA_CHAKUDAN","BNPC_TOUMEI_01","BNPC_TOUMEI_02","BNPC_TOUMEI_03","BNPC_TOUMEI_04","BNPC_AOSHOGUN","BNPC_JUJIGIRI","DEF_ACTION_JUJIGIRI","DEF_ACTION_TORRIGER","DEF_ACTION_MAGIC_FIELD","EOBJ_MAGIC_FIELD","STATUSPARAM_MAGIC_DOT","BNPC_GARUMU","DEF_ACTION_HALOHNE","DEF_ACTION_DRAINBREATH","STATUS_CIRCLE_OF_DOOM","STATUS_PARALYSIS","POP_RANGE_DRAGON_1","POP_RANGE_DRAGON_2","POP_RANGE_DRAGON_3","BNPC_FLYING_DRAGON","STATUS_PARAM_MARKING","STATUS_PARAM_ANTI_MARKING","BNPC_LUNA","BNPC_FAKE_KNIGHT_SWORD","BNPC_FAKE_KNIGHT_LANCER","BNPC_WAY_STOP_01","BNPC_WAY_STOP_02","CHANNELING_LUNA_KOUSOKU","EVENT_ACTION_01","BNPC_STATE_NECKS_OFF","BNPC_KILLER_MACHINE","DEF_ACTION_DRILL_ROCKET","EOBJ_TAROT_FIRE","EOBJ_ROTATE_TAROT_WATER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3879685,3963616,3963617,3963618,3963619,2207,3963620,3970069,3995190,14,4018569,7,1060,2000116,656,10,5776851,5783051,5797718,5797717,5800012,5800013,5800011,5800016,10,3991,3992,24,19,5811220,5811221,3058,3059,5814827,5814828,5814829,5814830,5814836,5814837,3924,3269,4006,5815277,747,5852857,21,3340,248,17,5853006,5853007,5853009,5853010,1283,1284,5874953,5874955,5874956,5874961,5874962,10,1,120,5906154,526,5926482,5926505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,65612,1,30,34,"INIT_P_POP_01","INIT_POP_1_LNC01","INIT_POP_1_LNC02","INIT_POP_1_BARD_01","INIT_POP_2_LNC01","INIT_POP_2_BARD_01","INIT_POP_2_LNC02","INIT_POP_2_CNJ02","INIT_POP_3_LNC01","INIT_POP_3_BARD_01","INIT_POP_3_CNJ01","INIT_POP_3_PGL01","LOC_ACTOR0","LOC_ACTOR1","LOC_ACTOR2","LOC_POS_ACTOR1","LOC_ACTOR3","LOC_ACTOR2_ACTION","BNPC_NAME_01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4259106,3708966,3762271,3715772,3913908,3913909,3913919,4259107,4259108,4259109,4259110,4259111,1000199,1003065,1003010,3890200,1003012,961,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,65612,2,30,34,"INIT_POP_BOSS","INIT_POP_1_ARC_01","INIT_POP_1_ARC_02","INIT_POP_1_ARC_03","INIT_POP_1_LNC_01","INIT_POP_1_LNC_02","INIT_POP_1_LNC_03","INIT_P_POP_LEIHALIAPOH","INIT_P_POP_SILVAIRRE","INIT_POP_2_ARC_01","INIT_POP_2_ARC_02","INIT_POP_2_LNC_01","INIT_POP_2_LNC_02","INIT_POP_2_CNJ_01","INIT_POP_2_THM_01","CUT_SCENE_01","CUT_SCENE_02","EOBJ_BTL_ARROW_FIRE","STATUS_CUSTOM_ARROW_FIRE","DEF_ACTION_SIDEWINDER","DEF_ACTION_MONSTER_WHISTLE","DEF_PARALYSIS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3762267,3762259,3762264,4277285,3762262,3762265,4277284,3815984,3815986,4277286,4277287,4277288,4277289,4277290,4277291,14,15,4309876,675,1060,983,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,65607,1,30,29,"INIT_POP_01","LOC_POS_FIRST","INIT_POP_02","INIT_POP_03","BNPC_001","LOC_ACTOR0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3777844,3867063,3906824,3906825,539,1000199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,65606,1,30,24,"INIT_POP_1_ARC_01","INIT_POP_1_LNC_01","INIT_POP_1_LNC_02","INIT_POP_2_LNC_01","INIT_POP_2_LNC_02","INIT_POP_2_CNJ_01","INIT_POP_2_ARC_01","INIT_POP_2_ARC_02","INIT_POP_3_LNC_01","INIT_POP_3_LNC_02","INIT_POP_3_BOSS","INIT_POP_3_CNJ_01","INIT_P_POP_1","BNPC_NAME_01","BNPC_NAME_02","CUT_SCENE_01","CUT_SCENE_02","DEF_QUICK_KNOCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3818973,3818974,3818975,4259098,4259100,4259102,3818976,3818977,3914483,3914484,4259104,4259105,4259091,139,140,11,12,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,65604,1,30,19,"INIT_POP_01","INIT_POP_02","INIT_POP_03","INIT_POP_04","INIT_POP_05","INIT_POP_06","INIT_POP_07","INIT_POP_08","INIT_POP_09","INIT_POP_10","INIT_POP_11","INIT_POP_12","BNPC_001","ER_RECT_01","INIT_POP_CAMP_EXC01","INIT_POP_CAMP_EXC02","INIT_POP_CAMP_LNC01","INIT_POP_CAMP_EXC03","INIT_POP_CAMP_EXC04","INIT_POP_CAMP_LNC02","DEF_ACTION_WATERA","INIT_P_POP_MIRAUDONT","INIT_POP_ADD_GLA01","INIT_POP_ADD_GLA02","POP_RANGE_MIRAUDONT_MOVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3818956,3818957,3818958,3818959,3818960,3818961,3818962,3818963,3818964,3818966,3818967,3818968,113,4246562,4246567,4246568,4246569,4246638,4246639,4246640,1016,4246724,4246863,4246864,4358145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,65591,1,30,19,"INIT_POP_BOSS","INIT_POP_01","INIT_POP_02","INIT_POP_03","INIT_POP_04","INIT_POP_05","INIT_POP_06","INIT_POP_07","INIT_POP_08","INIT_POP_09","INIT_POP_10","INIT_POP_11","INIT_P_POP_01","BNPC_001","LOC_POS_PC_FIRST","LOC_ACTOR0","BNPC_NAME_01","DEF_ACTION_BLIND_POISON","DEF_BLIND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3792898,3792905,3792907,3792908,3792909,3792911,3792912,3792913,3792914,3792916,3792917,3911020,4259221,543,3879338,1003009,626,1089,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,65592,1,30,24,"INIT_POP_01","INIT_POP_02","INIT_POP_03","LOC_POS_PC_FIRST","LOC_POS_ACTOR0","LOC_ACTOR0","LOC_ACTOR1","INIT_ENPC_POP_01","LOC_ACTOR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3793627,3793628,3793632,3879492,3881989,1000254,1003037,3881989,1003039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,65975,1,30,34,"INIT_POP_01","INIT_POP_02","INIT_POP_03","INIT_POP_04","LOC_ACTOR0","LOC_BNPC_1","LOC_POS_PC_FIRST","LOC_POS_ACTOR0","LOC_PC_ACTION_1","LOC_ACTOR1","INIT_POP_01_P1","LOC_BNPC_ACTION1","LOC_ACTOR0_ACTION1","LOC_ACTOR0_ACTION2","INIT_POP_05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3818776,3818777,3818778,3818779,1003081,1003082,3895601,3895602,81,1000466,3906892,121,979,936,3927421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
