Index,0 [0x3][0x10],1 [0x3][0x11],2 [0x6][0xc],3 [0x3][0x12],4 [0x0][0x0],5 [0x0][0x4],6 [0x0][0x8]
0,0,0,0,0,"","",""
1,0,0,150011,0,"","",""
2,0,0,150012,0,"","",""
3,0,0,0,0,"","",""
4,0,0,0,0,"","",""
5,1,1,150021,1,"Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de <color #FFFF66>point d'exclamation</color> au-dessus de leur tête.\n\nFaites un <color #FFFF66>clic droit</color> sur Ryssfloh pour lancer la quête.","Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de <color #FFFF66>point d'exclamation</color> au-dessus de leur tête.\n\nFaites un <color #FFFF66>clic droit</color> sur Bertennant pour lancer la quête.","Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de <color #FFFF66>point d'exclamation</color> au-dessus de leur tête.\n\nFaites un <color #FFFF66>clic droit</color> sur Wymond pour lancer la quête."
6,1,1,150022,1,"Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de <color #FFFF66>point d'exclamation</color> au-dessus de leur tête.\n\nPour lancer la quête, ciblez Ryssfloh et pressez ensuite la touche <color #FFFF66>Confirmer</color>.","Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de <color #FFFF66>point d'exclamation</color> au-dessus de leur tête.\n\nPour lancer la quête, ciblez Bertennant et pressez ensuite la touche <color #FFFF66>Confirmer</color>.","Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de <color #FFFF66>point d'exclamation</color> au-dessus de leur tête.\n\nPour lancer la quête, ciblez Wymond et pressez ensuite la touche <color #FFFF66>Confirmer</color>."
7,0,0,0,0,"","",""
8,0,0,0,0,"","",""
9,0,0,0,0,"","",""
10,1,1,150121,0,"Lorsque vous lancez une quête, une fenêtre vous présentant brièvement son contenu ainsi que la récompense apparaît à l'écran.\nSi cela vous intéresse et que vous vous sentez à la hauteur de la tâche, n'hésitez pas et cliquez sur <color #FFFF66>Accepter</color>.","",""
11,1,1,150121,0,"Lorsque vous lancez une quête, une fenêtre vous présentant brièvement son contenu ainsi que la récompense apparaît à l'écran.\nSi cela vous intéresse et que vous vous sentez à la hauteur de la tâche, n'hésitez pas et sélectionnez <color #FFFF66>Accepter</color>.","",""
12,0,0,0,0,"","",""
13,0,0,0,0,"","",""
14,0,0,0,0,"","",""
15,1,1,150811,1,"Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une <color #FFFF66>récompense</color>. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.\n\nParlez à Baderon et accomplissez votre première quête!","Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une <color #FFFF66>récompense</color>. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.\n\nParlez à Miounne et accomplissez votre première quête!","Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une <color #FFFF66>récompense</color>. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.\n\nParlez à Momodi et accomplissez votre première quête!"
16,1,1,150812,1,"Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une <color #FFFF66>récompense</color>. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.\n\nParlez à Baderon et accomplissez votre première quête!","Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une <color #FFFF66>récompense</color>. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.\n\nParlez à Miounne et accomplissez votre première quête!","Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une <color #FFFF66>récompense</color>. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.\n\nParlez à Momodi et accomplissez votre première quête!"
17,0,0,0,0,"","",""
18,0,0,0,0,"","",""
19,0,0,0,0,"","",""
20,1,0,150141,0,"Le <color #FFFF66>menu principal</color> permet d'accéder rapidement aux fonctions les plus utilisées dans le jeu. L'option <color #FFFF66>Personnage</color>, par exemple, permet de voir diverses caractéristiques de votre personnage ainsi que son équipement. L'option <color #FFFF66>Journal</color>, quant à elle, permet d'obtenir des informations relatives aux quêtes en cours ou achevées.","",""
21,1,0,150142,0,"Pour accéder aux différentes options de personnalisation, telles que l'attribution des touches, la configuration sonore et graphique, les macros ou encore l'ATH, ouvrez le menu <color #FFFF66>Système</color>. Si vous voulez revoir les fenêtres d'aide contextuelle, sélectionnez le menu <color #FFFF66>Tutoriel</color>.","",""
