Index,0 [0x7][0x4],1 [0x0][0x0]
0,0,""
1,4,"Ein entlaufenes Chocobo-Küken steckt auf dem Gipfel von Mount Corel fest. Weiche den Bomben aus und eile dem ängstlichen Piepmatz zu Hilfe!"
2,4,"Ein entlaufenes Chocobo-Küken steckt auf dem Gipfel von Mount Corel fest. Weiche den Bomben aus und eile dem ängstlichen Piepmatz zu Hilfe!"
3,4,"Ein entlaufenes Chocobo-Küken steckt auf dem Gipfel von Mount Corel fest. Weiche den Bomben aus und eile dem ängstlichen Piepmatz zu Hilfe!"
4,4,"Ein entlaufenes Chocobo-Küken steckt auf dem Gipfel von Mount Corel fest. Weiche den Bomben aus und eile dem ängstlichen Piepmatz zu Hilfe!"
5,4,"Ein entlaufenes Chocobo-Küken steckt auf dem Gipfel von Mount Corel fest. Weiche den Bomben aus und eile dem ängstlichen Piepmatz zu Hilfe!"
6,4,"Ein entlaufenes Chocobo-Küken steckt auf dem Gipfel von Mount Corel fest. Weiche den Bomben aus und eile dem ängstlichen Piepmatz zu Hilfe!"
7,4,"Ein entlaufenes Chocobo-Küken steckt auf dem Gipfel von Mount Corel fest. Weiche den Bomben aus und eile dem ängstlichen Piepmatz zu Hilfe!"
8,4,"Ein entlaufenes Chocobo-Küken steckt auf dem Gipfel von El Coloso fest. Weiche den Bomben aus und eile dem ängstlichen Piepmatz zu Hilfe!"
9,4,"Ein entlaufenes Chocobo-Küken steckt auf dem Gipfel von El Coloso fest. Weiche den Bomben aus und eile dem ängstlichen Piepmatz zu Hilfe!"
10,4,"Ein entlaufenes Chocobo-Küken steckt auf dem Gipfel von El Coloso fest. Weiche den Bomben aus und eile dem ängstlichen Piepmatz zu Hilfe!"
11,4,"Ein entlaufenes Chocobo-Küken steckt auf dem Gipfel von El Coloso fest. Weiche den Bomben aus und eile dem ängstlichen Piepmatz zu Hilfe!"
12,4,"Ein entlaufenes Chocobo-Küken steckt auf dem Gipfel von El Coloso fest. Weiche den Bomben aus und eile dem ängstlichen Piepmatz zu Hilfe!"
13,4,"Ein entlaufenes Chocobo-Küken steckt auf dem Gipfel von El Coloso fest. Weiche den Bomben aus und eile dem ängstlichen Piepmatz zu Hilfe!"
14,4,"Ein entlaufenes Chocobo-Küken steckt auf dem Gipfel von El Coloso fest. Weiche den Bomben aus und eile dem ängstlichen Piepmatz zu Hilfe!"
