Index,0 [0x7][0x4],1 [0x3][0xc],2 [0x7][0x8],3 [0x0][0x0],4 [0x19][0xd],5 [0x1a][0xd]
0,0,2,5728,"",false,true
1,14999504,2,5729,"Schneeweiß",false,true
2,11315362,2,5730,"Aschgrau",false,true
3,9013124,2,5731,"Goobbuegrau",false,true
4,6645093,2,5732,"Schiefergrau",false,true
5,4736834,2,5733,"Anthrazit",false,true
6,2828579,2,5734,"Rußschwarz",false,true
7,15114134,4,5735,"Rosarot",false,true
8,8612201,4,5736,"Altrosa",false,true
9,5969705,4,5737,"Rolanbeerenrot",false,true
10,7871002,4,5738,"Dalamudrot",false,true
11,6431239,4,5739,"Rostrot",false,true
12,4527377,4,5740,"Weinrot",false,true
13,13397086,4,5741,"Korallenrosa",false,true
14,9517863,4,5742,"Blutrot",false,true
15,14985866,4,5743,"Lachsrosa",false,true
16,12016685,5,5744,"Abendrot",false,true
17,8206598,5,5745,"Tafelbergrot",false,true
18,6966071,5,5746,"Borkenbraun",false,true
19,7224612,5,5747,"Schokoladenbraun",false,true
20,5188895,5,5748,"Rotbraun",false,true
21,3154203,5,5749,"Koboldbraun",false,true
22,13209942,5,5750,"Korkbraun",false,true
23,10055231,5,5751,"Qiqirnbraun",false,true
24,8084525,5,5752,"Opo-Opobraun",false,true
25,10651484,5,5753,"Steinbockbraun",false,true
26,12940324,5,5754,"Kürbisorange",false,true
27,9328667,5,5755,"Eichelbraun",false,true
28,6570518,5,5756,"Obstbraun",false,true
29,4008205,5,5757,"Kastanienbraun",false,true
30,12166281,5,5758,"Kartonbraun",false,true
31,9601388,5,5759,"Schieferbraun",false,true
32,6378053,5,5760,"Maulwurfsbraun",false,true
33,4141865,5,5761,"Lehmbraun",false,true
34,15455136,6,5762,"Knochenweiß",false,true
35,12034928,6,5763,"Ul'dahbraun",false,true
36,14398551,6,5764,"Wüstengelb",false,true
37,16434731,6,5765,"Honiggelb",false,true
38,14982708,6,5766,"Maisgelb",false,true
39,12355588,6,5767,"Coeurlgelb",false,true
40,15914864,6,5768,"Cremegelb",false,true
41,10847280,6,5769,"Halataligelb",false,true
42,4207377,6,5770,"Rosinenbraun",false,true
43,5788208,7,5771,"Schlammgrün",false,true
44,12303242,7,5772,"Sylphengrün",false,true
45,11251796,7,5773,"Limettengrün",false,true
46,7369510,7,5774,"Moosgrün",false,true
47,9149539,7,5775,"Grasgrün",false,true
48,4936242,7,5776,"Olivgrün",false,true
49,3290657,7,5777,"Sumpfgrün",false,true
50,10204003,7,5778,"Apfelgrün",false,true
51,6652481,7,5779,"Kaktusgrün",false,true
52,2640684,7,5780,"Jägergrün",false,true
53,4219705,7,5781,"Ochugrün",false,true
54,6255960,7,5782,"Adaman-Taimaigrün",false,true
55,3886396,7,5783,"Nophicagrün",false,true
56,1976865,7,5784,"Waldgrün",false,true
57,9878969,7,5785,"Azurblau",false,true
58,4420210,7,5786,"Türkis",false,true
59,2049606,7,5787,"Morbolgrün",false,true
60,11715790,8,5788,"Eisblau",false,true
61,8630482,8,5789,"Himmelblau",false,true
62,6586784,8,5790,"Seenebelblau",false,true
63,3893382,8,5791,"Pfauenblau",false,true
64,1850708,8,5792,"Rhotanoblau",false,true
65,9345964,8,5793,"Leichenblau",false,true
66,5199718,8,5794,"Erdseimblau",false,true
67,3094609,8,5795,"Indigoblau",false,true
68,1711911,8,5796,"Tintenblau",false,true
69,5996480,8,5797,"Raptorenblau",false,true
70,3102857,8,5798,"Othardblau",false,true
71,2310514,8,5799,"Sturmblau",false,true
72,1124676,8,5800,"Nichtsblau",false,true
73,2568295,8,5801,"Königsblau",false,true
74,1579319,8,5802,"Mitternachtsblau",false,true
75,3618631,8,5803,"Schattenblau",false,true
76,3222871,8,5804,"Tiefblau",false,true
77,8880046,9,5805,"Lavendelblau",false,true
78,5326176,9,5806,"Düsterviolett",false,true
79,3288123,9,5807,"Johannisbeerenviolett",false,true
80,12033724,9,5808,"Irisviolett",false,true
81,3877437,9,5809,"Weintraubenviolett",false,true
