Index,0 [0x0][0x0],1 [0x3][0x4],2 [0x19][0x5],3 [0x1a][0x5]
0,"",0,true,false
1,"Général",1,true,false
2,"Donjons",1,true,false
3,"Défis",1,true,false
4,"Raids",1,true,false
5,"L'Antre des loups",1,true,false
6,"Front",1,true,false
7,"Contrats de chasse",1,true,false
8,"Chasse aux trésors",1,true,false
9,"Général",2,true,false
10,"Disciples de la guerre",2,true,false
11,"Disciples de la magie",2,true,false
12,"Disciples de la main",2,true,false
13,"Disciples de la terre",2,true,false
14,"JcJ",2,true,false
15,"Honneurs",2,true,false
16,"Gold Saucer",2,true,false
17,"Général",4,true,false
18,"Devises",4,true,false
19,"Recyclage",4,true,false
20,"Objets collectionnables",4,true,false
21,"Matérias",4,true,false
22,"Menuisier",5,true,false
23,"Forgeron",5,true,false
24,"Armurier",5,true,false
25,"Orfèvre",5,true,false
26,"Tanneur",5,true,false
27,"Couturier",5,true,false
28,"Alchimiste",5,true,false
29,"Cuisinier",5,true,false
30,"Mineur",6,true,false
31,"Botaniste",6,true,false
32,"Pêcheur",6,true,false
33,"Général",8,true,false
34,"Mandats",8,true,false
35,"Quêtes tribales",8,true,false
36,"Événements saisonniers",8,true,true
37,"Noscea",11,true,false
38,"Forêt de Sombrelinceul",11,true,false
39,"Thanalan",11,true,false
40,"Coerthas",11,true,false
41,"Mor Dhona",11,true,false
42,"Abalathia",11,true,false
43,"Dravania",11,true,false
44,"Général",12,true,false
45,"Maelstrom",12,true,false
46,"Ordre des deux vipères",12,true,false
47,"Immortels",12,true,false
48,"Combats",13,true,false
49,"Devises",13,true,false
50,"Récolte",13,true,false
51,"Quêtes",13,true,false
52,"Événements saisonniers",13,true,false
53,"Donjons",13,true,false
54,"Exploration",13,true,false
55,"Grandes compagnies",13,true,false
56,"",0,true,false
57,"",0,true,false
58,"",0,true,false
59,"",0,true,false
60,"",0,true,false
61,"",0,true,false
62,"",0,true,false
63,"",0,true,false
64,"",0,true,false
65,"",0,true,false
66,"",0,true,false
