Index,0 [0x3][0xc],1 [0x5][0x8],2 [0x5][0xa],3 [0x3][0xd],4 [0x3][0xe],5 [0x3][0xf],6 [0x0][0x0],7 [0x0][0x4]
0,0,65535,65535,0,0,0,"None",""
1,10,65535,65535,1,1,1,"Dire","Squall Leonhart: Salut!"
2,11,65535,65535,1,3,1,"Hurler","Butz Klauser: Hello!"
3,12,65535,65535,1,4,1,"Murmurer",">> Cloud Strife: Salut la compagnie!\nTifa Lockhart >> Salut la compagnie!"
4,14,65535,65535,1,5,1,"Équipe","(Cecil Harvey) Salut la compagnie!"
5,29,65535,65535,1,16,1,"Emotes standard","Rinoa Heartilly se montre du doigt."
6,28,65535,65535,1,17,1,"Emotes personnalisées","Celes Chere se recoiffe."
7,24,65535,65535,1,7,1,"Compagnie libre","[FC]<Tina Branford> Salut!"
8,16,65535,65535,1,8,1,"Linkshell [1]","[1]<Rosa Farrell> Bonsoir!"
9,17,65535,65535,1,9,1,"Linkshell [2]","[2]<Kain Highwind> Bonjour!"
10,18,65535,65535,1,10,1,"Linkshell [3]","[3]<Lenna Tycoon> Salut la compagnie!"
11,19,65535,65535,1,11,1,"Linkshell [4]","[4]<Faris Scherwiz> Hello!"
12,20,65535,65535,1,12,1,"Linkshell [5]","[5]<Vivi Ornitier> Salut la compagnie!"
13,21,65535,65535,1,13,1,"Linkshell [6]","[6]<Serah Farron> Bonsoir!"
14,22,65535,65535,1,14,1,"Linkshell [7]","[7]<Semih Lafihna> Salut la compagnie!"
15,23,65535,65535,1,15,1,"Linkshell [8]","[8]<Nanaa Mihgo> Coucou!"
16,30,65535,65535,1,2,1,"Crier","Lock Cole: Salut la compagnie!"
17,15,65535,65535,1,6,1,"Alliance","((Snow Villiers)) Salut la compagnie!"
18,0,0,0,0,0,0,"",""
19,0,0,0,0,0,0,"",""
20,0,0,0,0,0,0,"",""
21,57,65535,65535,2,1,1,"Messages système","Vous invitez Cloud Strife dans l'équipe."
22,0,0,0,0,0,0,"",""
23,59,65535,65535,2,4,1,"Messages système de récolte","Il n'y a ni filon de minerai ni carrière de pierre dans la région."
24,60,65535,65535,2,5,1,"Messages d'erreur système","Votre murmure à Cloud Strife n'a pas pu être envoyé."
25,56,65535,65535,2,6,1,"Écho","Écho"
26,61,65535,65535,2,10,4,"Dialogues des PNJ","Miounne: Félicitations, et bienvenue."
27,62,65535,65535,2,12,1,"Butin","Vous obtenez Excalibur."
28,64,258,65535,2,13,1,"Progression personnelle","Vous atteignez le niveau 50!"
29,64,2289,65535,2,15,1,"Progression des autres","Cloud Strife atteint le niveau 2!"
30,65,2,65535,2,16,1,"Dés personnels","Vous jetez les dés (Besoin) pour Excalibur. 100!"
31,65,65532,65535,2,17,1,"Dés des autres","Cloud Strife jette les dés (Cupidité) pour Excalibur. 1!"
32,66,2,65535,2,18,1,"Synthèse personnelle","Vous fabriquez une armure en diamant."
33,66,28,65535,2,19,1,"Synthèse des autres","Cloud Strife fabrique un œuf dur."
34,0,0,0,0,0,0,"",""
35,67,3,65535,2,20,1,"Récolte personnelle","Vous commencez à extraire du minerai."
36,67,252,65535,2,21,0,"Pêche des autres","Cloud Strife a pêché un <color #F3F3F3>anchois limséen</color> de 3,3 ilms."
37,58,1806,65535,2,2,2,"Messages système de combat personnels","Vous avez vaincu Ifrit."
38,58,2065,65535,2,3,0,"Messages système de combat des autres","Cloud Strife a vaincu une coccinelle."
39,68,65535,65535,2,11,1,"Annonces des PNJ","Miounne: Bonjour!"
40,69,65535,65535,2,7,1,"Annonces de compagnie libre - Modification des rangs","La hiérarchie des rangs a été modifiée."
41,70,65535,65535,2,8,1,"Annonces de compagnie libre - Connexion des membres","Cloud Strife s'est connecté."
42,64,1548,65535,2,14,1,"Progression des équipiers","Agrias Oaks atteint le niveau 12!"
43,71,65535,65535,2,9,1,"Objets vendus aux marchés","Un servant a vendu 2 potions pour 11 gils à Gridania."
44,72,65535,65535,2,22,1,"Notifications de recrutement des équipes","★ 12 équipes recrutent actuellement, dont 3 correspondant à vos critères de recherche."
45,73,65535,65535,2,23,1,"Détails des signes placés","Cloud Strife place le signe “Cercle” sur Aerith."
46,74,65535,65535,2,24,1,"Résultats des lancers de dés","Cloud Strife jette les dés et obtient <icon:74>777!"
47,0,0,0,0,0,0,"",""
48,0,0,0,0,0,0,"",""
49,0,0,0,0,0,0,"",""
50,0,0,0,0,0,0,"",""
51,41,2,65535,4,1,2,"Dégâts infligés par vous","Vous infligez 1 337 points de dégâts à Ifrit."
52,42,2,65535,4,2,2,"Vos attaques manquées","Vous manquez Ifrit."
53,43,2,65535,4,3,2,"Vos actions","Vous lancez Brasier.\nVous annulez Brasier."
54,44,2,65535,4,4,2,"Objets utilisés par vous","Vous utilisez une méga potion.\nVous annulez l'utilisation d'une méga potion."
55,45,2,65535,4,5,2,"Soins lancés par vous","   Cloud Strife récupère 666 PV."
56,46,2,65535,4,6,2,"Effets bénéfiques lancés par vous","   Cloud Strife bénéficie de l'effet Bouclier."
57,47,2,65535,4,7,2,"Effets néfastes lancés par vous","   Ifrit subit l'effet Poison."
58,41,65535,2,4,8,2,"Dégâts subis par vous","Ifrit vous inflige 1 337 points de dégâts."
59,42,65535,2,4,9,2,"Attaques esquivées par vous","Ifrit vous manque."
60,43,65535,2,4,10,2,"Actions utilisées sur vous","Ifrit lance Explosion volcanique.\nIfrit annule Explosion volcanique."
61,44,65535,2,4,11,2,"Objets utilisés sur vous","Cloud Strife utilise une potion.\nCloud Strife annule l'utilisation d'une potion."
62,45,65535,2,4,12,2,"Soins reçus par vous","   Vous récupérez 5 PV."
63,46,65535,2,4,13,2,"Effets bénéfiques reçus par vous","   Vous bénéficiez de l'effet Bouclier."
64,47,65535,2,4,14,2,"Effets néfastes subis par vous","   Vous subissez l'effet Poison."
65,48,65535,2,4,15,2,"Fin des effets bénéfiques reçus par vous","Vous perdez l'effet Bouclier."
66,49,65535,2,4,16,2,"Fin des effets néfastes subis par vous","Vous ne subissez plus l'effet Poison."
67,0,0,0,0,0,0,"",""
68,0,0,0,0,0,0,"",""
69,0,0,0,0,0,0,"",""
70,0,0,0,0,0,0,"",""
71,41,4,65535,5,1,2,"Dégâts infligés par vos équipiers","Cloud Strife inflige 2 points de dégâts à la coccinelle."
72,42,4,65535,5,2,2,"Attaques manquées de vos équipiers","Cloud Strife manque la coccinelle."
73,43,4,65535,5,3,2,"Actions de vos équipiers","Cloud Strife lance Pierre.\nCloud Strife annule Pierre."
74,44,4,65535,5,4,2,"Objets utilisés par vos équipiers","Cloud Strife utilise une potion.\nCloud Strife annule l'utilisation d'une potion."
75,45,4,65535,5,5,2,"Soins lancés par vos équipiers","   Cloud Strife récupère 5 PV."
76,46,4,65535,5,6,2,"Effets bénéfiques lancés par vos équipiers","   Cloud Strife bénéficie de l'effet Bouclier."
77,47,4,65535,5,7,2,"Effets néfastes lancés par vos équipiers","   Ifrit subit l'effet Poison."
78,41,65535,4,5,8,2,"Dégâts subis par vos équipiers","Ifrit inflige à Cloud Strife 9 999 points de dégâts."
79,42,65535,4,5,9,2,"Attaques esquivées par vos équipiers","Ifrit manque Cloud Strife."
80,43,65535,4,5,10,2,"Actions utilisées sur vos équipiers","Ifrit lance Explosion volcanique.\nIfrit annule Explosion volcanique."
81,44,65535,4,5,11,2,"Objets utilisés sur vos équipiers","Cloud Strife utilise une potion.\nCloud Strife annule l'utilisation d'une potion."
82,45,65535,4,5,12,2,"Soins reçus par vos équipiers","   Cloud Strife récupère 5 PV."
83,46,65535,4,5,13,2,"Effets bénéfiques reçus par vos équipiers","   Cloud Strife bénéficie de l'effet Bouclier."
84,47,65535,4,5,14,2,"Effets néfastes subis par vos équipiers","   Cloud Strife subit l'effet Poison."
85,48,65535,4,5,15,2,"Fin des effets bénéfiques reçus par vos équipiers","Cloud Strife perd l'effet Bouclier."
86,49,65535,4,5,16,2,"Fin des effets néfastes subis par vos équipiers","Cloud Strife ne subit plus l'effet Pesanteur."
87,0,0,0,0,0,0,"",""
88,0,0,0,0,0,0,"",""
89,0,0,0,0,0,0,"",""
90,0,0,0,0,0,0,"",""
91,41,16,65535,7,1,0,"Dégâts infligés par les autres","Cloud Strife inflige 2 points de dégâts à la coccinelle."
92,42,16,65535,7,2,0,"Attaques manquées des autres","Cloud Strife manque la coccinelle."
93,43,16,65535,7,3,0,"Actions des autres","Cloud Strife lance Pierre.\nCloud Strife annule Pierre."
94,44,16,65535,7,4,0,"Objets utilisés par les autres","Cloud Strife utilise une potion.\nCloud Strife annule l'utilisation d'une potion."
95,45,16,65535,7,5,0,"Soins lancés par les autres","   Cloud Strife récupère 5 PV."
96,46,16,65535,7,6,0,"Effets bénéfiques lancés par les autres","   Cloud Strife bénéficie de l'effet Bouclier."
97,47,16,65535,7,7,0,"Effets néfastes lancés par les autres","   Ifrit subit l'effet Poison."
98,41,65535,16,7,8,0,"Dégâts subis par les autres","Ifrit inflige à Cloud Strife 9 999 points de dégâts."
99,42,65535,16,7,9,0,"Attaques esquivées par les autres","Ifrit manque Cloud Strife."
100,43,65535,16,7,10,0,"Actions utilisées sur les autres","Ifrit lance Explosion volcanique.\nIfrit annule Explosion volcanique."
101,44,65535,16,7,11,0,"Objets utilisés sur les autres","Cloud Strife utilise une potion.\nCloud Strife annule l'utilisation d'une potion."
102,45,65535,16,7,12,0,"Soins reçus par les autres","   Cloud Strife récupère 5 PV."
103,46,65535,16,7,13,0,"Effets bénéfiques reçus par les autres","   Cloud Strife bénéficie de l'effet Bouclier."
104,47,65535,16,7,14,0,"Effets néfastes subis par les autres","   Cloud Strife subit l'effet Poison."
105,48,65535,16,7,15,0,"Fin des effets bénéfiques reçus par les autres","Cloud Strife perd l'effet Bouclier."
106,49,65535,16,7,16,0,"Fin des effets néfastes subis par les autres","Cloud Strife ne subit plus l'effet Poison."
107,0,0,0,0,0,0,"",""
108,0,0,0,0,0,0,"",""
109,0,0,0,0,0,0,"",""
110,0,0,0,0,0,0,"",""
111,41,32,65535,8,1,2,"Dégâts infligés par les ennemis combattus","Ifrit inflige à Cloud Strife 9 999 points de dégâts."
112,42,32,65535,8,2,2,"Attaques manquées des ennemis combattus","Ifrit manque Cloud Strife."
113,43,32,65535,8,3,2,"Actions des ennemis combattus","Ifrit lance Explosion volcanique.\nIfrit annule Explosion volcanique."
114,44,32,65535,8,4,2,"Objets utilisés par les ennemis combattus","Ifrit utilise une méga potion.\nIfrit annule l'utilisation d'une méga potion."
115,45,32,65535,8,5,2,"Soins lancés par les ennemis combattus","   Ifrit récupère 9 999 PV."
116,46,32,65535,8,6,2,"Effets bénéfiques lancés par les ennemis combattus","   Ifrit bénéficie de l'effet Bouclier."
117,47,32,65535,8,7,2,"Effets néfastes lancés par les ennemis combattus","   Cloud Strife subit l'effet Poison."
118,41,65535,32,8,8,2,"Dégâts subis par les ennemis combattus","Cloud Strife inflige à Ifrit 2 points de dégâts."
119,42,65535,32,8,9,2,"Attaques esquivées par les ennemis combattus","Cloud Strife manque Ifrit."
120,43,65535,32,8,10,2,"Actions utilisées sur les ennemis combattus","Cloud Strife lance Pierre.\nCloud Strife annule Pierre."
121,44,65535,32,8,11,2,"Objets utilisés sur les ennemis combattus","Cloud Strife utilise une potion toxique.\nCloud Strife annule l'utilisation d'une potion toxique."
122,45,65535,32,8,12,2,"Soins reçus par les ennemis combattus","   Ifrit récupère 9 999 PV."
123,46,65535,32,8,13,2,"Effets bénéfiques reçus par les ennemis combattus","   Ifrit bénéficie de l'effet Bouclier."
124,47,65535,32,8,14,2,"Effets néfastes subis par les ennemis combattus","   Ifrit subit l'effet Poison."
125,48,65535,32,8,15,2,"Fin des effets bénéfiques reçus par les ennemis combattus","Ifrit perd l'effet Bouclier."
126,49,65535,32,8,16,2,"Fin des effets néfastes subis par les ennemis combattus","Ifrit ne subit plus l'effet Poison."
127,0,0,0,0,0,0,"",""
128,0,0,0,0,0,0,"",""
129,0,0,0,0,0,0,"",""
130,0,0,0,0,0,0,"",""
131,41,64,65535,9,1,0,"Dégâts infligés par les autres ennemis","Ifrit inflige à Sephiroth 1 337 points de dégâts."
132,42,64,65535,9,2,0,"Attaques manquées des autres ennemis","Ifrit manque Cloud Strife."
133,43,64,65535,9,3,0,"Actions des autres ennemis","Ifrit lance Explosion volcanique.\nIfrit annule Explosion volcanique."
