Index,0 [0x5][0x8],1 [0x5][0xa],2 [0x5][0xc],3 [0x5][0xe],4 [0x3][0x10],5 [0x3][0x11],6 [0x3][0x12],7 [0x3][0x13],8 [0x7][0x4],9 [0x0][0x0]
10001,1,0,0,0,3,0,0,0,75,"Gladiateur 01"
10002,206,0,0,0,3,0,0,0,180,"Gladiateur 02"
10003,208,0,0,0,3,0,0,0,360,"Gladiateur 03"
10004,209,0,0,0,3,0,0,0,410,"Gladiateur 04"
10005,211,0,0,0,3,0,0,0,530,"Gladiateur 05"
10006,213,0,0,0,3,0,0,0,980,"Gladiateur 06"
10007,210,0,0,0,3,0,0,0,1100,"Gladiateur 07"
10008,217,0,0,0,3,0,0,0,1300,"Gladiateur 08"
10009,220,0,0,0,3,0,0,0,1600,"Gladiateur 09"
10010,223,224,0,0,3,3,0,0,1700,"Gladiateur 10"
10011,228,229,0,0,3,3,0,0,2300,"Gladiateur 11"
10012,227,0,0,0,3,0,0,0,3200,"Gladiateur 12"
10013,230,0,0,0,3,0,0,0,4000,"Gladiateur 13"
10014,232,0,0,0,3,0,0,0,4500,"Gladiateur 14"
10015,234,0,0,0,3,0,0,0,5000,"Gladiateur 15"
10016,235,0,0,0,3,0,0,0,5300,"Gladiateur 16"
10017,237,0,0,0,3,0,0,0,5500,"Gladiateur 17"
10018,240,0,0,0,3,0,0,0,5700,"Gladiateur 18"
10019,238,0,0,0,3,0,0,0,5900,"Gladiateur 19"
10020,242,244,0,0,3,3,0,0,6100,"Gladiateur 20"
10021,32,137,0,0,4,3,0,0,6300,"Gladiateur 21"
10022,245,0,0,0,4,0,0,0,6500,"Gladiateur 22"
10023,138,0,0,0,4,0,0,0,6700,"Gladiateur 23"
10024,34,0,0,0,4,0,0,0,6900,"Gladiateur 24"
10025,150,0,0,0,4,0,0,0,7100,"Gladiateur 25"
10026,252,0,0,0,4,0,0,0,7600,"Gladiateur 26"
10027,255,0,0,0,4,0,0,0,8600,"Gladiateur 27"
10028,158,0,0,0,4,0,0,0,9400,"Gladiateur 28"
10029,161,0,0,0,4,0,0,0,9700,"Gladiateur 29"
10030,37,38,0,0,4,3,0,0,10000,"Gladiateur 30"
10031,165,42,0,0,4,3,0,0,11000,"Gladiateur 31"
10032,39,166,0,0,4,3,0,0,12000,"Gladiateur 32"
10033,265,0,0,0,4,0,0,0,12500,"Gladiateur 33"
10034,171,0,0,0,4,0,0,0,13000,"Gladiateur 34"
10035,64,0,0,0,4,0,0,0,13500,"Gladiateur 35"
10036,271,0,0,0,4,0,0,0,14000,"Gladiateur 36"
10037,294,0,0,0,4,0,0,0,14500,"Gladiateur 37"
10038,176,0,0,0,4,0,0,0,15000,"Gladiateur 38"
10039,301,0,0,0,4,0,0,0,16000,"Gladiateur 39"
10040,306,66,0,0,4,3,0,0,16500,"Gladiateur 40"
10041,67,72,0,0,5,2,0,0,17000,"Gladiateur 41"
10042,179,184,0,0,5,2,0,0,17500,"Gladiateur 42"
10043,73,187,0,0,5,2,0,0,18000,"Gladiateur 43"
10044,319,0,0,0,5,0,0,0,18500,"Gladiateur 44"
10045,311,0,0,0,5,0,0,0,19000,"Gladiateur 45"
10046,313,0,0,0,3,0,0,0,19500,"Gladiateur 46"
10047,280,0,0,0,5,0,0,0,20000,"Gladiateur 47"
10048,200,0,0,0,5,0,0,0,20500,"Gladiateur 48"
10049,290,0,0,0,5,0,0,0,21000,"Gladiateur 49"
10050,332,90,0,0,5,5,0,0,21500,"Gladiateur 50"
20001,207,0,0,0,4,0,0,0,75,"Pugiliste 01"
20002,206,0,0,0,4,0,0,0,180,"Pugiliste 02"
20003,208,0,0,0,4,0,0,0,360,"Pugiliste 03"
20004,209,0,0,0,4,0,0,0,410,"Pugiliste 04"
20005,214,0,0,0,4,0,0,0,530,"Pugiliste 05"
20006,9,0,0,0,4,0,0,0,980,"Pugiliste 06"
20007,217,0,0,0,4,0,0,0,1100,"Pugiliste 07"
