Index,0 [0x6][0x8],1 [0x0][0x0],2 [0x0][0x4]
0,0,"",""
1,60201,"Dégagé",""
2,60202,"Clair",""
3,60203,"Couvert",""
4,60204,"Brouillard",""
5,60205,"Vent",""
6,60206,"Vents violents",""
7,60207,"Pluie",""
8,60208,"Pluie torrentielle",""
9,60209,"Orages",""
10,60210,"Orages violents",""
11,60211,"Tempêtes de poussière",""
12,60212,"Tempêtes de sable",""
13,60213,"Chaud",""
14,60214,"Torride",""
15,60215,"Neige",""
16,60216,"Blizzard",""
17,60218,"Nébuleux",""
18,60217,"Aurore",""
19,60251,"Ténèbres",""
20,60255,"Désespérance",""
21,60203,"Couvert",""
22,60259,"Orageux",""
23,60258,"Houle",""
24,60258,"Houle",""
25,60257,"Nuageux",""
26,60252,"Torride",""
27,60256,"Nébuleux",""
28,60253,"Vents violents",""
29,60254,"Éruptions",""
30,60202,"Clair",""
31,60202,"Clair",""
32,60202,"Clair",""
33,60202,"Clair",""
34,60202,"Clair",""
35,60260,"Rayonnement",""
36,60261,"Radiations du Cœur",""
37,60261,"Radiations du Cœur",""
38,60261,"Radiations du Cœur",""
39,60261,"Radiations du Cœur",""
40,60262,"Amas nuageux",""
41,60262,"Amas nuageux",""
42,60262,"Amas nuageux",""
43,60262,"Amas nuageux",""
44,60264,"Oppression",""
45,60264,"Oppression",""
46,60264,"Oppression",""
47,60264,"Oppression",""
48,60264,"Oppression",""
49,60219,"Vent ombral",""
50,60220,"Charges ombrales",""
51,60263,"Fumées",""
52,60202,"Clair",""
53,60226,"Éclairs royaux",""
54,60227,"Hyperélectricité",""
55,60226,"Éclairs royaux",""
