Index,0 [0x3][0x0],1 [0x3][0x2],2 [0x3][0x4],3 [0x3][0x6],4 [0x3][0x8],5 [0x3][0xa],6 [0x3][0xc],7 [0x3][0xe],8 [0x3][0x10],9 [0x3][0x12],10 [0x3][0x14],11 [0x3][0x16],12 [0x3][0x18],13 [0x3][0x1a],14 [0x3][0x1c],15 [0x3][0x1e],16 [0x3][0x20],17 [0x3][0x22],18 [0x3][0x24],19 [0x3][0x26],20 [0x3][0x28],21 [0x3][0x2a],22 [0x3][0x2c],23 [0x3][0x2e],24 [0x3][0x30],25 [0x3][0x32],26 [0x3][0x34],27 [0x3][0x36],28 [0x3][0x38],29 [0x3][0x3a],30 [0x3][0x3c],31 [0x3][0x3e],32 [0x3][0x1],33 [0x3][0x3],34 [0x3][0x5],35 [0x3][0x7],36 [0x3][0x9],37 [0x3][0xb],38 [0x3][0xd],39 [0x3][0xf],40 [0x3][0x11],41 [0x3][0x13],42 [0x3][0x15],43 [0x3][0x17],44 [0x3][0x19],45 [0x3][0x1b],46 [0x3][0x1d],47 [0x3][0x1f],48 [0x3][0x21],49 [0x3][0x23],50 [0x3][0x25],51 [0x3][0x27],52 [0x3][0x29],53 [0x3][0x2b],54 [0x3][0x2d],55 [0x3][0x2f],56 [0x3][0x31],57 [0x3][0x33],58 [0x3][0x35],59 [0x3][0x37],60 [0x3][0x39],61 [0x3][0x3b],62 [0x3][0x3d],63 [0x3][0x3f]
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,14,15,16,17,18,19,20,21,21,22,23,24,25,26,27,28,29
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,29,30,31
5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30
6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31
7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31
8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30
9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31
10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30
11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31
