Index,0 [0x19][0xb],1 [0x19][0x17],2 [0x19][0x23],3 [0x19][0x2f],4 [0x19][0x3b],5 [0x19][0x47],6 [0x3][0x8],7 [0x3][0x14],8 [0x3][0x20],9 [0x3][0x2c],10 [0x3][0x38],11 [0x3][0x44],12 [0x7][0x0],13 [0x7][0xc],14 [0x7][0x18],15 [0x7][0x24],16 [0x7][0x30],17 [0x7][0x3c],18 [0x2][0x9],19 [0x2][0x15],20 [0x2][0x21],21 [0x2][0x2d],22 [0x2][0x39],23 [0x2][0x45],24 [0x2][0xa],25 [0x2][0x16],26 [0x2][0x22],27 [0x2][0x2e],28 [0x2][0x3a],29 [0x2][0x46],30 [0x6][0x4],31 [0x6][0x10],32 [0x6][0x1c],33 [0x6][0x28],34 [0x6][0x34],35 [0x6][0x40],36 [0x0][0x48],37 [0x0][0x4c],38 [0x0][0x50],39 [0x0][0x54],40 [0x0][0x58],41 [0x0][0x5c]
0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0"
1,false,false,false,false,false,false,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,"Hast du die Ware?","Danke sehr!","Hm ...","0","0","0"
2,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hallihallo! Hast du die Lieferung fertig? Immer her mit dem Zeug.","Besten Dank!","Dann mal los!","Könnte ich noch mehr davon bekommen?","Na gut. Aber sag Bescheid, wenn du es dir anders überlegst.","Vielen Dank für alles!"
3,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Bist du nicht das Handwerker-Genie, dem ich letzthin einen Freibrief übertragen habe? Dann gib mal her, was du fabriziert hast.","Huh, erstaunlich. Auf dich ist ja Verlass. Dann nimm, was du dir verdient hast. Hier, bitte.","Kann man sich auf gar nichts mehr verlassen? Ich habe geduldig auf deine Lieferung gewartet, und was hab ich davon?","0","0","0"
4,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Ah, da kommt ja meine Lieferung! Ein Glück! Hast du auch alles dabei?","Vielen Dank. Du hast mir einen großen Gefallen getan. Hier, dein Lohn.","Noch nicht? Bitte beeil dich, es ist wirklich dringend.","0","0","0"
5,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Ah, dein Kommen wurde mir schon angekündigt. Hast du mitgebracht, was ich benötige?","Hervorragende Arbeit. Wirklich hervorragend.","Sicher haben dich dringliche Angelegenheiten von der Ausführung des Auftrags abgehalten. Wenn du Zeit findest, bitte denk an uns.","Könntest du womöglich noch etwas Zeit für uns erübrigen? Ich würde ja gerne noch etwas in Auftrag geben ...","Es gibt Abenteuer, die auf dich warten? Dann komm bitte wieder, wenn du mehr Zeit hast, ja?","Ich danke dir von ganzem Herzen. Hoffentlich kreuzen sich unsere Pfade bald wieder."
6,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Du bist wegen des Auftrags hier? Gut. Dann zeig mir die Ware.","Lass mal sehen ...\nHmm ... Ja, das wird wohl genügen. Hier hast du deine Bezahlung.","Solange du hier nicht mit der bestellten Ware aufkreuzt, haben wir nichts zu besprechen.","Wenn du nach mehr Arbeit suchst, könntest du noch mehr für mich herstellen. Interesse?","Also gut. Du weißt ja, wo du mich finden kannst.","Ich habe zu danken. Du warst mir tatsächlich eine große Hilfe."
7,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Du hast also einen Freibrief angenommen, den wir ausgeschrieben haben, ja? Worauf wartest du dann noch? Bring mir die Waren, die wir brauchen.","Na, geht doch! Genau, was wir wollten, und nicht mal schlechte Qualität. Dann danke ich dir im Namen von uns allen. ","Wo sind die bestellten Waren? Na? Ich sehe hier nichts, was auch nur annähernd so aussieht. Jetzt mach dich aber mal ernsthaft auf die Suche! ","0","0","0"
8,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Dich schickt die Abenteurergilde? Na ja, mal sehen, was du drauf hast.","Fertig? Dann lass mich mal sehen ... Hm ... Ja ... Sieht gar nicht so schlecht aus, <forename>. So kommst du mit dem Konsortium ins Geschäft.","Das Konsortium lässt keine Aufträge unerledigt. Wenn du nicht liefern kannst, frage ich jemand anders, der mir die gewünschte Waren im Handumdrehen herstellt. Arbeitswillige Handwerker gibt es genug. Also?","Ich sehe, dass du dein Handwerk verstehst. Ich würde dir noch mehr davon abnehmen. Wie wär's?","Na gut, dann lass mal gut sein. Ich habe ja, was ich brauche.","Deine Arbeit gefällt mir, <forename>. Ich werde mir deinen Namen merken. Bis zum nächsten Mal!"
9,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Danke, dass du gekommen bist. Ich bin ja selbst keine ungeschickte Handwerkerin, aber manchmal ist es einfach rentabler, jemanden anzustellen.","Wirklich solide Arbeit. Heutzutage wird viel zu viel für die Müllhalden produziert ... Ich werde dich wieder beauftragen, wenn du Zeit und Lust hast.","Hast du etwa vergessen, um was ich dich gebeten hatte? Vielleicht hätte ich lieber einen anderen Handwerker beauftragen sollen ...","0","0","0"
