Index,0 [0x0][0x4],1 [0x3][0xa],2 [0x3][0xb],3 [0x19][0xd],4 [0x3][0xc],5 [0x5][0x8],6 [0x0][0x0]
0,"",255,255,false,0,0,""
11,"MOVE_AND_STEER",255,255,false,1,1,"Laufen und Steuern"
12,"MOVE_FORE",255,255,false,1,2,"Vorwärts"
13,"MOVE_BACK",255,255,false,1,3,"Rückwärts"
14,"MOVE_LEFT",255,255,false,1,4,"Nach links"
15,"MOVE_RIGHT",255,255,false,1,5,"Nach rechts"
16,"MOVE_STRIFE_L",255,255,false,1,6,"Seitschritt nach links"
17,"MOVE_STRIFE_R",255,255,false,1,7,"Seitschritt nach rechts"
18,"JUMP",255,255,false,1,8,"Springen"
19,"WALK",255,255,false,1,9,"Laufen/Gehen umschalten"
20,"AUTORUN_KEY",255,255,false,1,10,"Automatisches Rennen ein/aus"
21,"SWARD",255,255,false,1,11,"Waffe ziehen/wegstecken"
22,"CAMERA_FOCUS",255,255,false,1,12,"Ziel feststellen"
23,"MOVE_DESCENT",255,255,false,1,13,"Sinkflug"
24,"MOVE_RETENTION",255,255,false,1,14,"Weiterfliegen"
25,"MOVE_ANGLE_RISING",255,255,false,1,15,"Steilflug aufwärts"
26,"MOVE_ANGLE_DESCENT",255,255,false,1,16,"Steilflug abwärts"
27,"",255,255,false,0,0,""
28,"",255,255,false,0,0,""
29,"",255,255,false,0,0,""
30,"",255,255,false,0,0,""
31,"",255,255,false,0,0,""
32,"",255,255,false,0,0,""
33,"",255,255,false,0,0,""
34,"",255,255,false,0,0,""
35,"",255,255,false,0,0,""
36,"",255,255,false,0,0,""
37,"",255,255,false,0,0,""
38,"",255,255,false,0,0,""
39,"",255,255,false,0,0,""
40,"",255,255,false,0,0,""
41,"",255,255,false,0,0,""
42,"",255,255,false,0,0,""
43,"",255,255,false,0,0,""
44,"",255,255,false,0,0,""
45,"",255,255,false,0,0,""
46,"",255,255,false,0,0,""
47,"",255,255,false,0,0,""
48,"",255,255,false,0,0,""
49,"",255,255,false,0,0,""
51,"CAMERA_UP",255,255,false,1,17,"Kamera nach oben"
52,"CAMERA_DOWN",255,255,false,1,18,"Kamera nach unten"
53,"CAMERA_LEFT",255,255,false,1,19,"Kamera nach links"
54,"CAMERA_RIGHT",255,255,false,1,20,"Kamera nach rechts"
55,"CAMERA_MODE",255,255,false,1,21,"Ego-/Verfolgerperspektive umschalten"
56,"CAMERA_BACKWARD",255,255,false,1,22,"Flip-Funktion (Bild gespiegelt)"
57,"CAMERA_ZOOMIN",255,255,false,1,23,"Kamera heranzoomen/Zurückblättern"
58,"CAMERA_ZOOMOUT",255,255,false,1,24,"Kamera herauszoomen/Umblättern"
59,"CAMERA_LOAD",255,255,false,1,25,"Kamera zurück auf Standardposition"
60,"CAMERA_SAVE",255,255,false,1,26,"Kameraposition speichern"
61,"CAMERA_RESET",255,255,false,1,27,"Zur gespeicherten Kameraposition springen"
62,"CAM_TILT_UP",255,255,false,1,28,"Bildausschnitt nach oben"
63,"CAM_TILT_DOWN",255,255,false,1,29,"Bildausschnitt nach unten"
64,"CAMERA_LOOKING",255,255,false,1,30,"In die Kamera schauen"
65,"",255,255,false,0,0,""
66,"",255,255,false,0,0,""
67,"",255,255,false,0,0,""
68,"",255,255,false,0,0,""
69,"",255,255,false,0,0,""
70,"",255,255,false,0,0,""
71,"",255,255,false,0,0,""
72,"",255,255,false,0,0,""
73,"",255,255,false,0,0,""
74,"",255,255,false,0,0,""
75,"",255,255,false,0,0,""
76,"",255,255,false,0,0,""
77,"",255,255,false,0,0,""
78,"",255,255,false,0,0,""
79,"",255,255,false,0,0,""
80,"",255,255,false,0,0,""
81,"",255,255,false,0,0,""
82,"",255,255,false,0,0,""
83,"",255,255,false,0,0,""
84,"",255,255,false,0,0,""
85,"",255,255,false,0,0,""
86,"",255,255,false,0,0,""
87,"",255,255,false,0,0,""
88,"",255,255,false,0,0,""
89,"",255,255,false,0,0,""
90,"",255,255,false,0,0,""
91,"",255,255,false,0,0,""
92,"",255,255,false,0,0,""
93,"",255,255,false,0,0,""
94,"",255,255,false,0,0,""
95,"",255,255,false,0,0,""
96,"",255,255,false,0,0,""
97,"",255,255,false,0,0,""
98,"",255,255,false,0,0,""
99,"",255,255,false,0,0,""
103,"TARGET_NEXT",255,255,false,2,1,"Gegner durchschalten (nahe → entfernt)"
104,"TARGET_PREV",255,255,false,2,2,"Gegner durchschalten (entfernt → nahe)"
105,"TARGET_P1",255,255,false,2,3,"Sich selbst anvisieren"
106,"TARGET_P2",255,255,false,2,4,"Gruppenmitglied 2 der Liste anvisieren"
107,"TARGET_P3",255,255,false,2,5,"Gruppenmitglied 3 der Liste anvisieren"
108,"TARGET_P4",255,255,false,2,6,"Gruppenmitglied 4 der Liste anvisieren"
109,"TARGET_P5",255,255,false,2,7,"Gruppenmitglied 5 der Liste anvisieren"
110,"TARGET_P6",255,255,false,2,8,"Gruppenmitglied 6 der Liste anvisieren"
111,"TARGET_P7",255,255,false,2,9,"Gruppenmitglied 7 der Liste anvisieren"
112,"TARGET_P8",255,255,false,2,10,"Gruppenmitglied 8 der Liste anvisieren"
113,"TARGET_PET",255,255,false,2,11,"Eigenen Familiar anvisieren"
114,"TARGET_TTOT",255,255,false,2,12,"Das Ziel deines Ziels anvisieren"
115,"TARGET_LASTTARGET",255,255,false,2,13,"Zuletzt anvisiertes Ziel anvisieren"
116,"TARGET_LASTENEMY",255,255,false,2,14,"Zuletzt anvisierten Gegner anvisieren"
117,"TARGET_LASTATTACKER",255,255,false,2,15,"Attackierenden Feind anvisieren"
118,"TARGET_CLOSEST_ENEMY",255,255,false,2,16,"Nächststehenden Feind anvisieren"
119,"TARGET_CLOSEST_PC",255,255,false,2,17,"Nächststehenden PC anvisieren"
120,"TARGET_CLOSEST_NPC",255,255,false,2,18,"Nächststehenden NPC/Objekt anvisieren"
121,"TARGET_FOCUS",255,255,false,2,19,"Fokusziel setzen"
122,"TARGET_SELECT",255,255,false,2,20,"Momentanes Fokusziel anvisieren"
123,"FACE",255,255,false,2,21,"Zum Ziel hinwenden"
124,"CIRCLE_ALL",255,255,false,2,22,"Zielmodus auf „Alle“"
125,"CIRCLE_ENEMY",255,255,false,2,23,"Zielmodus auf „PC“"
126,"CIRCLE_PARTY",255,255,false,2,24,"Zielmodus auf „Gruppe“"
127,"CIRCLE_PC",255,255,false,2,25,"Zielmodus auf „Gegner“"
136,"TARGET_ENEMY_LIST_UP_KEY",255,255,false,2,26,"Feindselige Gegner nach oben durchschalten"
