Index,0 [0x7][0x8],1 [0x7][0xc],2 [0x7][0x10],3 [0x7][0x14],4 [0x5][0x18],5 [0x5][0x1a],6 [0x5][0x1c],7 [0x5][0x1e],8 [0x19][0x20],9 [0x0][0x0],10 [0x0][0x4]
131072,0,0,0,0,1,1,0,0,false,"",""
131073,2040811,0,0,0,2,2,0,0,false,"",""
131074,3884000,590352,590353,0,3,1,0,0,false,"","Proceed to the Seat of the First Bow?"
131075,3884182,0,0,0,1,1,0,0,false,"","Leave the Seat of the First Bow?"
131076,3878860,0,0,0,1,1,0,0,false,"","Leave the Lotus Stand?"
131077,1381039,590354,590355,0,4,1,0,0,false,"Purchase passage to Sweetbloom Pier","Board the ferry to Sweetbloom Pier?"
131078,1381038,590356,590259,0,4,1,0,0,false,"","Board the ferry to Old Gridania?"
131079,4124796,0,0,0,5,3,0,0,false,"",""
131080,1359058,0,0,0,5,4,0,0,false,"",""
131081,4124801,0,0,0,5,5,0,0,false,"",""
131082,4125264,0,0,0,1,1,0,0,false,"","Exit room?"
131083,2232680,0,0,0,1,1,0,0,false,"","Exit room?"
131084,4125288,0,0,0,1,1,0,0,false,"","Exit room?"
131085,4107979,0,0,0,1,1,0,0,false,"","Leave the Heart of the Sworn?"
131086,4143657,590441,590620,590448,6,1,0,0,false,"","Take the ferry to Crescent Cove for 40 gil?"
131087,4143677,590442,590621,590449,6,1,0,0,false,"","Take the ferry to the Silver Bazaar for 40 gil?"
131088,4107477,0,590450,0,7,1,0,0,false,"","Enter the Waking Sands?"
131089,4132388,0,0,0,1,1,0,0,false,"","Leave the Waking Sands?"
131090,4148347,0,590564,0,21,1,0,0,false,"","Enter the solar?"
131091,4148350,0,0,0,1,1,0,0,false,"","Leave the solar?"
131092,4158063,0,0,0,1,1,0,0,false,"Ride lift to the airship landing","Proceed to the airship landing?"
131093,4158069,0,0,0,1,1,0,0,false,"Ride lift to the Drowning Wench","Proceed to the Drowning Wench?"
