Index,0 [0x3][0x36],1 [0x0][0x0],2 [0x0][0x4],3 [0x3][0x37],4 [0x5][0x30],5 [0x7][0x8],6 [0x5][0x32],7 [0x3][0x38],8 [0x6][0xc],9 [0x6][0x10],10 [0x6][0x14],11 [0x6][0x18],12 [0x6][0x1c],13 [0x6][0x20],14 [0x6][0x24],15 [0x6][0x28],16 [0x6][0x2c],17 [0x3][0x39],18 [0x5][0x34]
0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,"勝利の栄光：ランク1","エネミーを100体討伐する",5,0,0,262,1,11,100,0,0,0,0,0,0,0,3,1
2,1,"勝利の栄光：ランク2","エネミーを500体討伐する",5,0,0,262,1,11,500,0,0,0,0,0,0,0,3,2
3,1,"勝利の栄光：ランク3","エネミーを1,000体討伐する",10,0,0,262,1,11,1000,0,0,0,0,0,0,0,3,3
4,1,"勝利の栄光：ランク4","エネミーを5,000体討伐する",10,0,0,262,1,11,5000,0,0,0,0,0,0,0,3,4
5,1,"勝利の栄光：ランク5","エネミーを10,000体討伐する",10,0,0,262,1,11,10000,0,0,0,0,0,0,0,3,5
6,1,"勝利の栄光：ランク6","エネミーを50,000体討伐する",10,9,0,262,1,11,50000,0,0,0,0,0,0,0,3,6
7,1,"戦神ハルオーネに愛されし者","エネミーを100,000体討伐する",30,0,2907,2554,1,11,100000,0,0,0,0,0,0,0,3,7
8,48,"大物狙い：ラノシア","バロメッツ、スリプリーサイクス、グルタナスガーティ、ボムバロン、アンノウンソルジャー、オールドシックスアームズ、グレートバッファローをすべて討伐する",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
9,48,"大物狙い：黒衣森","アルシュ、クィーンボリート、ジャッカネイプス、シロッコ、パイア、太っ腹のホットポックス、プリンスオブペストをすべて討伐する",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
10,48,"大物狙い：ザナラーン","エルダーモスホーン、カクタージャック、ダディーロングレッグ、弾指のココルン、ネストコマンダー、バルディ、ピュラウスタをすべて討伐する",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
11,48,"大物狙い：クルザス","ウラエウス、スピットファイア、ダウニーダンスタンをすべて討伐する",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
12,48,"大物狙い：モードゥナ","ドドレを討伐する",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
13,48,"大物狙い：シュポシェの霊窟","シアリングシェリダン、ジャイアントレモラ、ローンクァールをすべて討伐する",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
14,48,"大物狙い：蛮族","断頭のロゾル・トトロック、炎拳のアリグ・ロー、ペイトリアーク03 ズ・ガをすべて討伐する",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
15,48,"名うての大物殺し","ノートリアスモンスターを25種類討伐する",30,10,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
16,48,"真イフリート討滅","真イフリート討滅戦で、イフリートを討伐する",5,0,0,62912,0,0,0,0,0,0,0,0,0,0,2,0
17,48,"善王モグル・モグXII世 討滅","善王モグル・モグXII世 討滅戦で、善王モグル・モグXII世を討伐する",5,0,0,62912,0,0,0,0,0,0,0,0,0,0,2,0
18,48,"真ガルーダ討滅","真ガルーダ討滅戦で、ガルーダを討伐する",5,0,0,62912,0,0,0,0,0,0,0,0,0,0,2,0
19,10,"剣術士：レベル10","剣術士のレベルが10に到達する",5,0,0,30408,3,1,10,0,0,0,0,0,0,0,3,1
20,10,"剣術士：レベル20","剣術士のレベルが20に到達する",5,0,0,30408,3,1,20,0,0,0,0,0,0,0,3,2
21,10,"剣術士：レベル30","剣術士のレベルが30に到達する",5,0,0,30408,3,1,30,0,0,0,0,0,0,0,3,3
22,10,"剣術士：レベル40","剣術士のレベルが40に到達する",5,0,0,30408,3,1,40,0,0,0,0,0,0,0,3,4
23,10,"剣術士：レベル50","剣術士のレベルが50に到達する",5,0,0,30408,3,1,50,0,0,0,0,0,0,0,3,5
24,10,"格闘士：レベル10","格闘士のレベルが10に到達する",5,0,0,31004,3,2,10,0,0,0,0,0,0,0,3,7
25,10,"格闘士：レベル20","格闘士のレベルが20に到達する",5,0,0,31004,3,2,20,0,0,0,0,0,0,0,3,8
26,10,"格闘士：レベル30","格闘士のレベルが30に到達する",5,0,0,31004,3,2,30,0,0,0,0,0,0,0,3,9
27,10,"格闘士：レベル40","格闘士のレベルが40に到達する",5,0,0,31004,3,2,40,0,0,0,0,0,0,0,3,10
28,10,"格闘士：レベル50","格闘士のレベルが50に到達する",5,0,0,31004,3,2,50,0,0,0,0,0,0,0,3,11
29,10,"斧術士：レベル10","斧術士のレベルが10に到達する",5,0,0,31409,3,3,10,0,0,0,0,0,0,0,3,13
30,10,"斧術士：レベル20","斧術士のレベルが20に到達する",5,0,0,31409,3,3,20,0,0,0,0,0,0,0,3,14
31,10,"斧術士：レベル30","斧術士のレベルが30に到達する",5,0,0,31409,3,3,30,0,0,0,0,0,0,0,3,15
32,10,"斧術士：レベル40","斧術士のレベルが40に到達する",5,0,0,31409,3,3,40,0,0,0,0,0,0,0,3,16
33,10,"斧術士：レベル50","斧術士のレベルが50に到達する",5,0,0,31409,3,3,50,0,0,0,0,0,0,0,3,17
34,10,"槍術士：レベル10","槍術士のレベルが10に到達する",5,0,0,31816,3,4,10,0,0,0,0,0,0,0,3,19
35,10,"槍術士：レベル20","槍術士のレベルが20に到達する",5,0,0,31816,3,4,20,0,0,0,0,0,0,0,3,20
36,10,"槍術士：レベル30","槍術士のレベルが30に到達する",5,0,0,31816,3,4,30,0,0,0,0,0,0,0,3,21
37,10,"槍術士：レベル40","槍術士のレベルが40に到達する",5,0,0,31816,3,4,40,0,0,0,0,0,0,0,3,22
38,10,"槍術士：レベル50","槍術士のレベルが50に到達する",5,0,0,31816,3,4,50,0,0,0,0,0,0,0,3,23
39,10,"弓術士：レベル10","弓術士のレベルが10に到達する",5,0,0,32204,3,5,10,0,0,0,0,0,0,0,3,25
40,10,"弓術士：レベル20","弓術士のレベルが20に到達する",5,0,0,32204,3,5,20,0,0,0,0,0,0,0,3,26
41,10,"弓術士：レベル30","弓術士のレベルが30に到達する",5,0,0,32204,3,5,30,0,0,0,0,0,0,0,3,27
42,10,"弓術士：レベル40","弓術士のレベルが40に到達する",5,0,0,32204,3,5,40,0,0,0,0,0,0,0,3,28
43,10,"弓術士：レベル50","弓術士のレベルが50に到達する",5,0,0,32204,3,5,50,0,0,0,0,0,0,0,3,29
44,9,"武を誇りし者","剣術士、格闘士、斧術士、槍術士、弓術士のすべてのレベルが50に到達する",20,13,0,2504,2,23,28,33,38,43,0,0,0,0,4,1
45,11,"幻術士：レベル10","幻術士のレベルが10に到達する",5,0,0,32611,3,6,10,0,0,0,0,0,0,0,3,1
46,11,"幻術士：レベル20","幻術士のレベルが20に到達する",5,0,0,32611,3,6,20,0,0,0,0,0,0,0,3,2
47,11,"幻術士：レベル30","幻術士のレベルが30に到達する",5,0,0,32611,3,6,30,0,0,0,0,0,0,0,3,3
48,11,"幻術士：レベル40","幻術士のレベルが40に到達する",5,0,0,32611,3,6,40,0,0,0,0,0,0,0,3,4
49,11,"幻術士：レベル50","幻術士のレベルが50に到達する",5,0,0,32611,3,6,50,0,0,0,0,0,0,0,3,5
50,11,"呪術士：レベル10","呪術士のレベルが10に到達する",5,0,0,32806,3,7,10,0,0,0,0,0,0,0,3,7
51,11,"呪術士：レベル20","呪術士のレベルが20に到達する",5,0,0,32806,3,7,20,0,0,0,0,0,0,0,3,8
52,11,"呪術士：レベル30","呪術士のレベルが30に到達する",5,0,0,32806,3,7,30,0,0,0,0,0,0,0,3,9
53,11,"呪術士：レベル40","呪術士のレベルが40に到達する",5,0,0,32806,3,7,40,0,0,0,0,0,0,0,3,10
54,11,"呪術士：レベル50","呪術士のレベルが50に到達する",5,0,0,32806,3,7,50,0,0,0,0,0,0,0,3,11
55,9,"魔を統べし者","幻術士と呪術士と巴術士のレベルが50に到達する",20,14,0,2655,2,49,54,596,0,0,0,0,0,0,4,2
56,9,"八つの道を究めし者","アチーブメント「武を誇りし者」と「魔を統べし者」を達成する",30,0,2909,302,2,44,55,0,0,0,0,0,0,0,4,3
57,12,"木工師：レベル10","木工師のレベルが10に到達する",5,0,0,35001,3,8,10,0,0,0,0,0,0,0,3,1
58,12,"木工師：レベル20","木工師のレベルが20に到達する",5,0,0,35001,3,8,20,0,0,0,0,0,0,0,3,2
59,12,"木工師：レベル30","木工師のレベルが30に到達する",5,0,0,35001,3,8,30,0,0,0,0,0,0,0,3,3
60,12,"木工師：レベル40","木工師のレベルが40に到達する",5,0,0,35001,3,8,40,0,0,0,0,0,0,0,3,4
61,12,"木工師：レベル50","木工師のレベルが50に到達する",5,0,0,35001,3,8,50,0,0,0,0,0,0,0,3,5
62,12,"鍛冶師：レベル10","鍛冶師のレベルが10に到達する",5,0,0,35106,3,9,10,0,0,0,0,0,0,0,3,7
63,12,"鍛冶師：レベル20","鍛冶師のレベルが20に到達する",5,0,0,35106,3,9,20,0,0,0,0,0,0,0,3,8
64,12,"鍛冶師：レベル30","鍛冶師のレベルが30に到達する",5,0,0,35106,3,9,30,0,0,0,0,0,0,0,3,9
65,12,"鍛冶師：レベル40","鍛冶師のレベルが40に到達する",5,0,0,35106,3,9,40,0,0,0,0,0,0,0,3,10
66,12,"鍛冶師：レベル50","鍛冶師のレベルが50に到達する",5,0,0,35106,3,9,50,0,0,0,0,0,0,0,3,11
67,12,"甲冑師：レベル10","甲冑師のレベルが10に到達する",5,0,0,35203,3,10,10,0,0,0,0,0,0,0,3,13
68,12,"甲冑師：レベル20","甲冑師のレベルが20に到達する",5,0,0,35203,3,10,20,0,0,0,0,0,0,0,3,14
69,12,"甲冑師：レベル30","甲冑師のレベルが30に到達する",5,0,0,35203,3,10,30,0,0,0,0,0,0,0,3,15
70,12,"甲冑師：レベル40","甲冑師のレベルが40に到達する",5,0,0,35203,3,10,40,0,0,0,0,0,0,0,3,16
71,12,"甲冑師：レベル50","甲冑師のレベルが50に到達する",5,0,0,35203,3,10,50,0,0,0,0,0,0,0,3,17
72,12,"彫金師：レベル10","彫金師のレベルが10に到達する",5,0,0,35301,3,11,10,0,0,0,0,0,0,0,3,19
73,12,"彫金師：レベル20","彫金師のレベルが20に到達する",5,0,0,35301,3,11,20,0,0,0,0,0,0,0,3,20
74,12,"彫金師：レベル30","彫金師のレベルが30に到達する",5,0,0,35301,3,11,30,0,0,0,0,0,0,0,3,21
75,12,"彫金師：レベル40","彫金師のレベルが40に到達する",5,0,0,35301,3,11,40,0,0,0,0,0,0,0,3,22
76,12,"彫金師：レベル50","彫金師のレベルが50に到達する",5,0,0,35301,3,11,50,0,0,0,0,0,0,0,3,23
77,12,"革細工師：レベル10","革細工師のレベルが10に到達する",5,0,0,35404,3,12,10,0,0,0,0,0,0,0,3,25
78,12,"革細工師：レベル20","革細工師のレベルが20に到達する",5,0,0,35404,3,12,20,0,0,0,0,0,0,0,3,26
79,12,"革細工師：レベル30","革細工師のレベルが30に到達する",5,0,0,35404,3,12,30,0,0,0,0,0,0,0,3,27
80,12,"革細工師：レベル40","革細工師のレベルが40に到達する",5,0,0,35404,3,12,40,0,0,0,0,0,0,0,3,28
81,12,"革細工師：レベル50","革細工師のレベルが50に到達する",5,0,0,35404,3,12,50,0,0,0,0,0,0,0,3,29
82,12,"裁縫師：レベル10","裁縫師のレベルが10に到達する",5,0,0,35501,3,13,10,0,0,0,0,0,0,0,3,31
83,12,"裁縫師：レベル20","裁縫師のレベルが20に到達する",5,0,0,35501,3,13,20,0,0,0,0,0,0,0,3,32
84,12,"裁縫師：レベル30","裁縫師のレベルが30に到達する",5,0,0,35501,3,13,30,0,0,0,0,0,0,0,3,33
85,12,"裁縫師：レベル40","裁縫師のレベルが40に到達する",5,0,0,35501,3,13,40,0,0,0,0,0,0,0,3,34
86,12,"裁縫師：レベル50","裁縫師のレベルが50に到達する",5,0,0,35501,3,13,50,0,0,0,0,0,0,0,3,35
87,12,"錬金術師：レベル10","錬金術師のレベルが10に到達する",5,0,0,35604,3,14,10,0,0,0,0,0,0,0,3,37
88,12,"錬金術師：レベル20","錬金術師のレベルが20に到達する",5,0,0,35604,3,14,20,0,0,0,0,0,0,0,3,38
89,12,"錬金術師：レベル30","錬金術師のレベルが30に到達する",5,0,0,35604,3,14,30,0,0,0,0,0,0,0,3,39
90,12,"錬金術師：レベル40","錬金術師のレベルが40に到達する",5,0,0,35604,3,14,40,0,0,0,0,0,0,0,3,40
91,12,"錬金術師：レベル50","錬金術師のレベルが50に到達する",5,0,0,35604,3,14,50,0,0,0,0,0,0,0,3,41
92,12,"調理師：レベル10","調理師のレベルが10に到達する",5,0,0,35704,3,15,10,0,0,0,0,0,0,0,3,43
93,12,"調理師：レベル20","調理師のレベルが20に到達する",5,0,0,35704,3,15,20,0,0,0,0,0,0,0,3,44
94,12,"調理師：レベル30","調理師のレベルが30に到達する",5,0,0,35704,3,15,30,0,0,0,0,0,0,0,3,45
95,12,"調理師：レベル40","調理師のレベルが40に到達する",5,0,0,35704,3,15,40,0,0,0,0,0,0,0,3,46
96,12,"調理師：レベル50","調理師のレベルが50に到達する",5,0,0,35704,3,15,50,0,0,0,0,0,0,0,3,47
97,9,"職人気質な冒険者","木工師、鍛冶師、甲冑師、彫金師、革細工師、裁縫師、錬金術師、調理師のすべてのレベルが50に到達する",20,15,0,1558,2,61,66,71,76,81,86,91,96,0,4,7
98,13,"採掘師：レベル10","採掘師のレベルが10に到達する",5,0,0,38003,3,16,10,0,0,0,0,0,0,0,3,1
99,13,"採掘師：レベル20","採掘師のレベルが20に到達する",5,0,0,38003,3,16,20,0,0,0,0,0,0,0,3,2
100,13,"採掘師：レベル30","採掘師のレベルが30に到達する",5,0,0,38003,3,16,30,0,0,0,0,0,0,0,3,3
101,13,"採掘師：レベル40","採掘師のレベルが40に到達する",5,0,0,38003,3,16,40,0,0,0,0,0,0,0,3,4
102,13,"採掘師：レベル50","採掘師のレベルが50に到達する",5,0,0,38003,3,16,50,0,0,0,0,0,0,0,3,5
103,13,"園芸師：レベル10","園芸師のレベルが10に到達する",5,0,0,38103,3,17,10,0,0,0,0,0,0,0,3,7
104,13,"園芸師：レベル20","園芸師のレベルが20に到達する",5,0,0,38103,3,17,20,0,0,0,0,0,0,0,3,8
105,13,"園芸師：レベル30","園芸師のレベルが30に到達する",5,0,0,38103,3,17,30,0,0,0,0,0,0,0,3,9
106,13,"園芸師：レベル40","園芸師のレベルが40に到達する",5,0,0,38103,3,17,40,0,0,0,0,0,0,0,3,10
