Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd],8 [0x5][0x24],9 [0x5][0x26],10 [0x7][0x10],11 [0x5][0x28],12 [0x7][0x14],13 [0x7][0x18],14 [0x7][0x1c],15 [0x7][0x20],16 [0x19][0x32],17 [0x3][0x30],18 [0x5][0x2a],19 [0x4][0x2c],20 [0x4][0x2e],21 [0x3][0x31]
0,"Ätheryt",6,"Ätheryten",1,0,1,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0
1,"Stadt-Ätheryt",6,"Stadt-Ätheryten",1,0,1,0,0,1,0,65538,1,1360027,3785149,3785150,3785151,true,0,0,0,0,0
2,"",0,"",0,0,1,0,0,52,1384,852004,132,1359064,3661246,3661247,3661248,true,2,2,1560,720,11
3,"",0,"",0,0,1,0,0,94,0,0,148,1359242,3679309,3679310,3679311,true,0,4,1540,820,12
4,"",0,"",0,0,1,0,0,107,0,0,152,1359244,3684583,3684585,3684587,true,0,5,1700,820,13
5,"",0,"",0,0,1,0,0,129,0,0,153,1359648,3684688,3684695,3684710,true,0,6,1580,920,14
6,"",0,"",0,0,1,0,0,123,0,0,153,1359650,3684714,3684715,3684716,true,0,6,1520,980,15
7,"",0,"",0,0,1,0,0,140,0,0,154,1359652,3684633,3684671,3684682,true,0,7,1400,720,16
8,"",0,"",0,0,1,0,0,29,738,852079,129,3693843,3693844,3693848,3693849,true,1,12,640,1200,1
9,"",0,"",0,0,1,0,0,40,1383,852078,130,3693863,3693864,3693865,3693866,true,3,13,1260,1380,21
10,"",0,"",0,0,1,0,0,337,0,0,135,3860373,3860385,3860391,3860399,true,0,16,780,1220,3
11,"",0,"",0,0,1,0,0,206,0,0,137,3961173,3961180,3961183,3961184,true,0,17,820,1120,4
12,"",0,"",0,0,1,0,0,216,0,0,137,3961228,3961229,3961230,3961231,true,0,17,780,1040,5
13,"",0,"",0,0,1,0,0,218,0,0,138,3965407,3965408,3965409,3965410,true,0,18,600,1100,6
14,"",0,"",0,0,1,0,0,223,0,0,138,3965420,3965421,3965422,3965423,true,0,18,540,1100,7
15,"",0,"",0,0,1,0,0,239,0,0,139,4142002,4142044,4142045,4142046,true,0,19,760,1000,8
16,"",0,"",0,0,1,0,0,237,0,0,180,4142062,4142063,4142064,4142065,true,0,30,680,960,9
17,"",0,"",0,0,1,0,0,271,0,0,140,3965476,3965481,3965483,3965484,true,0,20,1120,1260,22
18,"",0,"",0,0,1,0,0,300,0,0,145,3965498,3965499,3965501,3965503,true,0,22,1360,1210,24
19,"",0,"",0,0,1,0,0,313,0,0,146,3965549,3965550,3965551,3965553,true,0,23,1360,1340,25
20,"",0,"",0,0,1,0,0,323,0,0,146,3965584,3965587,3965589,3965590,true,0,23,1360,1440,26
21,"",0,"",0,0,1,0,0,325,0,0,147,3965676,3965684,3965688,3965690,true,0,24,1280,1160,27
22,"",0,"",0,0,1,0,0,331,0,0,147,3965709,3965711,3965712,3965713,true,0,24,1260,1100,28
23,"",0,"",0,0,1,0,0,388,0,0,155,3965792,3965794,3965796,3965797,true,0,53,1180,580,32
24,"",0,"",0,0,1,0,0,411,0,0,156,3965896,3965898,3965899,3965900,true,0,25,1240,860,201
25,"",0,"",0,0,1,0,0,0,782,0,132,2563653,0,0,0,false,2,0,0,0,0
26,"",0,"",0,0,1,0,0,0,783,0,133,2563690,0,0,0,false,2,0,0,0,0
27,"",0,"",0,0,1,0,0,0,784,0,133,2563700,0,0,0,false,2,0,0,0,0
28,"",0,"",0,0,1,0,0,0,785,0,133,2563702,0,0,0,false,2,0,0,0,0
29,"",0,"",0,0,1,0,0,0,786,0,133,2563740,0,0,0,false,2,0,0,0,0
30,"",0,"",0,0,1,0,0,0,787,0,133,2563748,0,0,0,false,2,0,0,0,0
31,"",0,"",0,0,1,0,0,0,597,0,148,2563810,0,0,0,false,2,0,0,0,0
32,"",0,"",0,0,1,0,0,0,598,0,154,2563828,0,0,0,false,2,0,0,0,0
33,"",0,"",0,0,1,0,0,0,772,0,130,4168380,0,0,0,false,3,0,0,0,0
34,"",0,"",0,0,1,0,0,0,773,0,130,4168385,0,0,0,false,3,0,0,0,0
35,"",0,"",0,0,1,0,0,0,774,0,131,4169078,0,0,0,false,3,0,0,0,0
36,"",0,"",0,0,1,0,0,0,775,0,131,4169094,0,0,0,false,3,0,0,0,0
37,"",0,"",0,0,1,0,0,0,776,0,131,4169099,0,0,0,false,3,0,0,0,0
38,"",0,"",0,0,1,0,0,0,779,0,140,4169491,0,0,0,false,3,0,0,0,0
39,"",0,"",0,0,1,0,0,0,780,0,141,4169494,0,0,0,false,3,0,0,0,0
40,"",0,"",0,0,1,0,0,0,781,0,141,4169496,0,0,0,false,3,0,0,0,0
41,"",0,"",0,0,1,0,0,0,764,0,128,4170478,0,0,0,false,1,0,0,0,0
42,"",0,"",0,0,1,0,0,0,765,0,128,4170467,0,0,0,false,1,0,0,0,0
43,"",0,"",0,0,1,0,0,0,769,0,129,4170361,0,0,0,false,1,0,0,0,0
44,"",0,"",0,0,1,0,0,0,768,0,129,4170387,0,0,0,false,1,0,0,0,0
45,"",0,"",0,0,1,0,0,0,770,0,134,4170499,0,0,0,false,1,0,0,0,0
46,"",0,"",0,0,1,0,0,0,771,0,135,4170784,0,0,0,false,1,0,0,0,0
47,"",0,"",0,0,1,0,0,0,777,0,131,4194547,0,0,0,false,3,0,0,0,0
48,"",0,"",0,0,1,0,0,0,766,0,128,4203091,0,0,0,false,1,0,0,0,0
49,"",0,"",0,0,1,0,0,0,767,0,129,4203092,0,0,0,false,1,0,0,0,0
50,"",0,"",0,0,1,0,0,0,788,0,131,4203093,0,0,0,false,3,0,0,0,0
51,"",0,"",0,0,1,0,0,0,778,0,131,4203094,0,0,0,false,3,0,0,0,0
52,"",0,"",0,0,1,0,0,184,0,0,134,4205005,4205006,4205007,4205008,true,0,15,700,1170,2
