Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd]
0,"",0,"",0,0,1,0,0
1,"",0,"",0,0,0,0,0
2,"ルーインランナー",0,"",0,0,1,0,0
3,"アンテロープ・ドゥ",0,"",0,0,1,0,0
4,"アンテロープ・スタッグ",0,"",0,0,1,0,0
5,"オポオポ",0,"",0,0,1,0,0
6,"レミュー",0,"",0,0,1,0,0
7,"ナット",0,"",0,0,1,0,0
8,"ケッド",0,"",0,0,1,0,0
9,"マイトリング",0,"",0,0,1,0,0
10,"ダイアマイト",0,"",0,0,1,0,0
11,"ベーンマイト",0,"",0,0,1,0,0
12,"ヴァルチャー",0,"",0,0,1,0,0
13,"バザード",0,"",0,0,1,0,0
14,"ワイルドホグレット",0,"",0,0,1,0,0
15,"ワイルドホッグ",0,"",0,0,1,0,0
16,"ワイルドボア",0,"",0,0,1,0,0
17,"バルーン",0,"",0,0,1,0,0
18,"ゾンビー",0,"",0,0,1,0,0
19,"ゾンビー・メイジ",0,"",0,0,1,0,0
20,"マジックドボーンズ",0,"",0,0,1,0,0
21,"インプ",0,"",0,0,1,0,0
22,"ローズレット",0,"",0,0,1,0,0
23,"ケッドトラップ",0,"",0,0,1,0,0
24,"トレント",0,"",0,0,1,0,0
25,"ドライアド",0,"",0,0,1,0,0
26,"ギガントード",0,"",0,0,1,0,0
27,"ニクス",0,"",0,0,1,0,0
28,"クァール・パップ",0,"",0,0,1,0,0
29,"デュラハン",0,"",0,0,1,0,0
30,"クレイゴーレム",0,"",0,0,1,0,0
31,"マインドフレア",0,"",0,0,1,0,0
32,"コチュー",0,"",0,0,1,0,0
33,"オチュー",0,"",0,0,1,0,0
34,"アダマンタス",0,"",0,0,1,0,0
35,"トンベリ",0,"",0,0,1,0,0
36,"ウィーヴィル",0,"",0,0,1,0,0
37,"スクウィレル",0,"",0,0,1,0,0
38,"ブラックバット",0,"",0,0,1,0,0
39,"ツリースラッグ",0,"",0,0,1,0,0
40,"シュラウドアリオン",0,"",0,0,1,0,0
41,"サーフィド・スウォーム",0,"",0,0,1,0,0
42,"ヤーゾン",0,"",0,0,1,0,0
43,"チゴー",0,"",0,0,1,0,0
44,"ヂッガ",0,"",0,0,1,0,0
45,"ウィル・オ・ザ・ウィスプ",0,"",0,0,1,0,0
46,"プラズモイド",0,"",0,0,1,0,0
47,"フォレストファンガー",0,"",0,0,1,0,0
48,"トードスツール",0,"",0,0,1,0,0
49,"レディバグ",0,"",0,0,1,0,0
50,"ゴブリン・サグ",0,"",0,0,1,0,0
51,"アルファ・アノール",0,"",0,0,1,0,0
