Index,0 [0x19][0x4],1 [0x0][0x0]
0,false,""
1,false,""
2,false,"いらっしゃいいらっしゃい"
3,true,"やすいよ～"
4,true,"Ｚｚｚ…"
5,false,"帝国の動向は？"
6,false,"間もなく報告が…"
7,false,"ああ、明媚なる田舎都市よ！"
8,false,"愛想のねぇ都市だなぁ"
9,false,"…で、どうだ？"
10,false,"悪くはねぇな"
11,false,"どう、どう…"
12,false,"クェェ～"
13,false,"伝えておこう"
14,false,"頼んだぞ"
15,false,"イクサル族の仕業のようです"
16,false,"ご案内いたしましょう"
17,false,"次の便は…？"
18,false,"おっそいなぁ、アイツ…"
19,false,"…………"
20,false,"…………"
21,false,"…………Ｚｚｚ…"
22,false,"ふん、よそ者に何ができる"
23,false,"よし、イクサル族の姿なし…！"
24,false,"素晴らしい毛並みだ…"
25,false,"この道を上れば商店街よ"
26,false,"…………"
27,false,"にゃ…にゃー？"
28,false,"精霊の力を借りてはどうだ？"
29,false,"我らこそが森を守るのだ"
30,false,"水車が回るよ～くるくるり～♪"
31,false,"休める時に、休まねばな…"
32,false,"キュゥウ…"
33,false,"ん？どうした？"
34,false,"いーち、にーぃ…"
35,false,"心に染み入る…！"
36,false,"Ｚｚｚ…"
37,false,"手がギサール臭い…"
38,false,"このところずっとねぇ"
39,false,"ウォルナットは売り切れだよ"
40,false,"ふんっ"
41,false,"きのこいっぱいにゃ！"
42,false,"き、木屑が…鼻に…"
43,false,"トントントン…っと"
44,false,"げっ、オトナだ…"
45,false,"ふん～ふふん～♪"
46,false,"槍をぶんぶん、きこくたい～"
47,false,"あ、あわわわ…"
48,false,"精霊の導きを信じるのです"
49,false,"いったいどうしたら…"
50,false,"……♪"
51,false,"ふぅ…"
52,false,"育ってきたなぁ"
53,false,"もうちょっと…"
54,false,"森は危ないのよ？"
55,false,"だって…"
56,false,"はいはい、見てってー！"
57,false,"へーい！らっしゃい！"
58,false,"俺たちもやり直そう…！"
59,false,"そうね…"
60,false,"…ようこそ、旅人"
61,false,"キュゥゥ…"
62,false,"も、もうしねぇよ…"
