Index,0 [0x7][0x0],1 [0x7][0x4],2 [0x7][0x8],3 [0x7][0xc],4 [0x7][0x10],5 [0x7][0x14],6 [0x7][0x18],7 [0x7][0x1c],8 [0x7][0x20],9 [0x7][0x24],10 [0x7][0x28],11 [0x7][0x2c],12 [0x7][0x30],13 [0x7][0x34],14 [0x7][0x38],15 [0x7][0x3c]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,60091,71222,71215,71235,71211,71213,71231,71233,71232,71255,0,0,0,0,0
2,71214,71234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,71241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,71201,71221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,71214,71204,71224,71203,71223,0,0,0,0,0,0,0,0,0,0,0
45,71243,71244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,60094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,71205,71225,71245,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
