Index,0 [0x3][0x26],1 [0x19][0x27],2 [0x1a][0x27],3 [0x1b][0x27],4 [0x5][0x0],5 [0x5][0x2],6 [0x5][0x4],7 [0x5][0x6],8 [0x5][0x8],9 [0x5][0xa],10 [0x5][0xc],11 [0x5][0xe],12 [0x5][0x10],13 [0x5][0x12],14 [0x5][0x14],15 [0x5][0x16],16 [0x5][0x18],17 [0x5][0x1a],18 [0x5][0x1c],19 [0x5][0x1e],20 [0x5][0x20],21 [0x5][0x22],22 [0x5][0x24]
0,0,true,true,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,true,true,false,847,32,80,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0
2,0,true,true,false,847,32,170,0,0,0,0,0,0,0,40,220,0,0,0,0,0,0,0
3,0,true,true,false,847,28,330,0,0,0,0,0,0,0,35,420,0,0,0,0,0,0,0
4,0,true,true,false,847,24,520,0,0,0,0,0,0,0,30,650,0,0,0,0,0,0,0
5,0,true,true,false,847,28,360,0,0,0,0,0,0,0,35,450,0,0,0,0,0,0,0
6,0,true,true,false,848,28,60,0,0,0,0,0,0,0,35,80,0,0,0,0,0,0,0
7,0,true,true,false,848,28,120,0,0,0,0,0,0,0,35,160,0,0,0,0,0,0,0
8,0,true,true,false,848,24,270,0,0,0,0,0,0,0,30,340,0,0,0,0,0,0,0
9,0,true,true,false,848,20,420,0,0,0,0,0,0,0,25,530,0,0,0,0,0,0,0
10,0,true,true,false,848,24,290,0,0,0,0,0,0,0,30,370,0,0,0,0,0,0,0
11,0,true,true,false,849,28,360,0,24,290,0,0,0,0,35,450,0,30,370,0,0,0,0
12,0,true,true,false,849,24,560,0,20,460,0,0,0,0,30,700,0,25,580,0,0,0,0
13,0,true,true,false,849,28,330,0,24,270,0,0,0,0,35,420,0,30,340,0,0,0,0
14,0,true,true,false,1055,300,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0
15,0,true,false,false,842,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
16,0,true,false,false,842,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
17,0,true,false,false,842,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
18,0,true,false,false,842,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
19,0,true,false,false,842,18,275,0,0,0,0,0,0,0,18,275,0,0,0,0,0,0,0
20,0,true,false,false,842,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,20,true,false,false,841,314,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0
22,35,true,false,false,841,315,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0
23,50,true,false,false,841,316,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0
24,65,true,false,false,841,317,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0
25,20,true,false,false,841,318,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0
26,35,true,false,false,841,318,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0
27,50,true,false,false,841,318,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0
28,65,true,false,false,841,319,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0
29,20,true,false,false,841,320,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0
30,35,true,false,false,841,320,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0
31,50,true,false,false,841,320,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0
32,65,true,false,false,841,321,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0
33,20,true,false,false,841,322,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0
34,35,true,false,false,841,322,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0
35,50,true,false,false,841,322,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0
36,65,true,false,false,841,323,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0
37,20,true,false,false,841,324,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0
38,35,true,false,false,841,324,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0
39,50,true,false,false,841,324,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0
40,10,true,false,false,841,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
41,0,false,true,false,1053,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,false,true,false,1053,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,false,true,false,1053,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,false,true,false,1053,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,true,true,false,843,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,true,true,false,843,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,true,true,false,843,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,true,true,false,843,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,true,true,false,850,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,true,true,false,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,true,true,true,1767,300,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0
52,0,true,true,true,843,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,true,true,false,844,48,1,1800,0,0,0,0,0,0,48,1,1800,0,0,0,0,0,0
54,0,true,true,false,845,48,1,1800,0,0,0,0,0,0,48,1,1800,0,0,0,0,0,0
55,0,true,true,false,844,48,68,1800,0,0,0,0,0,0,48,68,1800,0,0,0,0,0,0
56,0,true,true,false,844,48,173,1800,0,0,0,0,0,0,48,173,1800,0,0,0,0,0,0
57,0,true,true,false,845,48,77,1800,0,0,0,0,0,0,48,77,1800,0,0,0,0,0,0
