Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x0][0x8],3 [0x0][0xc],4 [0x0][0x10],5 [0x0][0x14],6 [0x0][0x18],7 [0x0][0x1c],8 [0x0][0x20],9 [0x0][0x24],10 [0x0][0x28],11 [0x0][0x2c],12 [0x0][0x30],13 [0x0][0x34],14 [0x0][0x38],15 [0x0][0x3c],16 [0x0][0x40],17 [0x0][0x44],18 [0x0][0x48],19 [0x0][0x4c],20 [0x0][0x50],21 [0x0][0x54],22 [0x0][0x58],23 [0x0][0x5c],24 [0x0][0x60],25 [0x0][0x64],26 [0x0][0x68],27 [0x0][0x6c],28 [0x0][0x70],29 [0x0][0x74],30 [0x0][0x78],31 [0x0][0x7c],32 [0x0][0x80],33 [0x0][0x84],34 [0x0][0x88],35 [0x0][0x8c],36 [0x0][0x90],37 [0x0][0x94],38 [0x0][0x98],39 [0x0][0x9c],40 [0x0][0xa0]
1,"その","それらの","","","","","","","","","","","","","","","","","","","","","","","","un ","des ","du ","","un ","des ","de l'","","une ","des ","de la ","","une ","des ","de l'",""
2,"","あれらの","","","","","","","","","","","","","","","","","","","","","","","","le ","les ","le ","","l'","les ","l'","","la ","les ","la ","","l'","les ","l'",""
3,"","これらの","","","","","","","","","","","","","","","","","","","","","","","mon ","mon ","mes ","mon ","mon ","mon ","mes ","mon ","ma ","ma ","mes ","ma ","mon ","mon ","mes ","mon ",""
4,"","","","","","","","","","","","","","","","","","","","","","","","","ton ","ton ","tes ","ton ","ton ","ton ","tes ","ton ","ta ","ta ","tes ","ta ","ton ","ton ","tes ","ton ",""
5,"","","","","","","","","","","","","","","","","","","","","","","","","son ","son ","ses ","son ","son ","son ","ses ","son ","sa ","sa ","ses ","sa ","son ","son ","ses ","son ",""
6,"","","","","","","","","","","","","","","","","","","","","","","","","ce ","ce ","ces ","ce ","cet ","cet ","ces ","cet ","cette ","cette ","ces ","cette ","cette ","cette ","ces ","cette ",""
7,"","","","","","","","","","","","","","","","","","","","","","","","","à ","au ","aux ","au ","à ","à l'","aux ","à l'","à ","à la ","aux ","à la ","à ","à l'","aux ","à l'",""
8,"","","","","","","","","","","","","","","","","","","","","","","","","de ","de ","de ","de ","d'","d'","d'","d'","de ","de ","de ","de ","d'","d'","d'","d'",""
9,"","","","","","","","","","","","","","","","","","","","","","","","","de ","du ","des ","du ","d'","de l'","des ","de l'","de ","de la ","des ","de la ","d'","de l'","des ","de l'",""
10,"","","","","","","","","","","","","","","","","","","","","","","","","que ","que ","que ","que ","qu'","qu'","que ","qu'","que ","que ","que ","que ","qu'","qu'","que ","qu'",""
11,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
18,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
19,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
21,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
22,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
23,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
26,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
28,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
29,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
36,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
38,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
39,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
