Index,0 [0x0][0x0]
0,""
10000,"【不要】　エラーが発生しました。"
10001,"【不要】　エラーが発生しました。"
10002,"【不要】　エラーが発生しました。"
10003,"【不要】　エラーが発生しました。(<value>)"
10004,"【不要】　エラーが発生しました。(<value>)"
10005,"【不要】　エラーが発生しました。(<value>)"
10006,"【不要】　エラーが発生しました。(<value>)"
11000,"【不要】　FINAL FANTASY XIVのバージョンアップに失敗しました。"
11001,"【不要】　FINAL FANTASY XIVのバージョンチェックに失敗しました。"
11002,"【不要】　FINAL FANTASY XIVのバージョンアップファイルの読み込みに失敗しました。"
11003,"【不要】　FINAL FANTASY XIVのバージョンチェックで問題が発生しました。"
11004,"【不要】　FINAL FANTASY XIVのバージョンチェックで問題が発生しました。"
11005,"【不要】　FINAL FANTASY XIVのバージョンアップに必要なファイルが存在しません。"
11006,"【不要】　FINAL FANTASY XIVのバージョンチェックで問題が発生しました。"
11007,"【不要】　FINAL FANTASY XIVのバージョンチェックで問題が発生しました。"
11008,"【不要】　FINAL FANTASY XIVのバージョンチェックで問題が発生しました。"
11009,"【不要】　FINAL FANTASY XIVのバージョンチェックで問題が発生しました。"
11010,"【不要】　FINAL FANTASY XIVのバージョンアップに必要なファイルが存在しません。"
11011,"【不要】　FINAL FANTASY XIVのバージョンチェックで問題が発生しました。"
11012,"【不要】　FINAL FANTASY XIVのバージョンチェックで問題が発生しました。"
11013,"【不要】　マイドキュメントが存在するドライブのFAT32のファイルシステムは非対応です。\nNTFSのファイルシステムでフォーマットされたドライブに変更して再度お試しください。"
11014,"【不要】　バージョンチェックに失敗しました。"
11015,"【不要】　アップデートファイルのダウンロードに失敗しました。"
11016,"【不要】　UPnPポートマップしたポートの解除に失敗しました。"
11017,"【不要】　アップデートファイルのダウンロード先フォルダを作成できませんでした。"
11018,"【不要】　バージョンチェック中にファイルアクセスに失敗しました。"
11019,"【不要】　ダウンロード中にファイルアクセスに失敗しました。"
11020,"【不要】　アップデート中にファイルアクセスに失敗しました。"
11021,"【不要】　バージョンチェックサーバーにアクセスできません。DNSサーバーの設定を確認してください。"
11022,"【不要】　いくつかのファイルのアップデートに失敗しました。インストール先のファイルが破損しています。"
11023,"【不要】　バージョンチェックサーバーにアクセスできませんでした。"
11024,"【不要】　バージョンチェックがタイムアウトしました。\nしばらく時間をおいてお試しください。"
11025,"【不要】　バージョンチェックサーバーが混雑しています。\nしばらく時間をおいてお試しください。"
11026,"【不要】　FINAL FANTASY XIV Beta Version のサービスは終了しました。"
11027,"【不要】　FINAL FANTASY XIV のサービスは終了しました。"
11028,"【不要】　バージョンアップできません。\n最新のFINAL FANTASY XIV インストーラーで再インストールしてください。"
11029,"【不要】　ダウンロード制御サーバーにアクセスできませんでした。\nFINAL FANTASY XIVを再起動してください。"
11030,"【不要】　アップデートファイルのダウンロードがタイムアウトしました。\nFINAL FANTASY XIVを再起動してください。"
11031,"【不要】　アップデートファイルのダウンロードに必要な空き容量が足りません。\n<value>ドライブに<value> <switch:Byte/KB/MB/GB>以上の空き容量が必要です"
11032,"【不要】　アップデートファイルのダウンロードに必要な空き容量が足りません。\nハードディスクドライブに<value> <switch:Byte/KB/MB/GB>以上の空き容量が必要です。"
11033,"【不要】　アップデートファイルのインストールに必要な空き容量が足りません。\nハードディスクドライブに<value> <switch:Byte/KB/MB/GB>以上の空き容量が必要です。"
11034,"【不要】　FINAL FANTASY XIV Updaterの起動に失敗しました。\nユーザーアカウント制御(UAC)が有効な場合、管理者権限パスワード入力をキャンセルしたか自動的にタイムアウトした可能性があります。もう一度起動しますか？"
11035,"【不要】　FINAL FANTASY XIV Updaterの起動に失敗しました。"
11036,"【不要】　空き容量が足りません。"
11037,"【不要】　前回のバージョンアップが完了していません。\nバージョンアップを完了するにはWindowsを再起動してください。"
11038,"【不要】　新しいバージョンが公開されました。\nFINAL FANTASY XIVを再起動して、バージョンアップしてください。"
11039,"【不要】　アップデートファイルが破損しています。"
12000,"【不要】　スクウェア・エニックス アカウントの認証でエラーが発生しました。"
12001,"【不要】　スクウェア・エニックス アカウントの認証で必要なファイルが見つかりません。<value>"
12002,"【中国版専用】****"
13000,""
13001,"ロビーサーバー接続でエラーが発生しました。"
13002,"ワールドが混雑しています。しばらく時間をおいてからもう一度ログインしてください。"
13003,"ログアウト処理が完了していません。しばらく時間をおいてからもう一度ログインをためしてください。"
13004,"指定した名称は利用できません。他の候補を指定してください。"
13005,""
13006,"ロビーサーバーでエラーが発生しました。"
13007,""
13008,""
13009,""
13010,""
13011,""
13100,"スクウェア・エニックス アカウント認証エラーが発生しました。\n「ファイナルファンタジーXIV」を終了します。"
13101,"バージョンアップが必要です。\n「ファイナルファンタジーXIV」を再起動してください。"
13102,"お使いのサービスアカウントはネットカフェ専用のため、「ファイナルファンタジーXIV」をプレイすることができません。「ファイナルファンタジーXIV: モグステーション」から契約手続きを行ってください。\nファイナルファンタジーXIV: モグステーションURL：\nhttp://sqex.to/Msp"
13103,"お使いのサービスアカウントは、サービス契約状態が「契約なし」のため、「ファイナルファンタジーXIV」をプレイすることができません。\nサービス契約手続きを行う場合は「ファイナルファンタジーXIV: モグステーション」からサービスコース契約手続きを行ってください。\nファイナルファンタジーXIV: モグステーションURL：\nhttp://sqex.to/Msp"
13104,"プレイ可能な残り時間がないため、ゲームを開始できません。"
13200,"サーバーメンテナンス中です。しばらく時間をおいてからログインをお試しください。"
13201,"サーバーから情報を取得できませんでした。しばらく時間をおいてからお試しください。"
13202,"現在このワールドには新規キャラクターを作れません。"
13203,"ご契約いただいているサービスでは、これ以上新規キャラクターを作れません。"
13204,"ご契約いただいているサービスでは、このワールドにこれ以上新規キャラクターを作れません。"
13205,"このワールドは現在ログイン制限がかかっています。人数の空きができるまでお待ちいただく必要があります。しばらく時間をおいてからお試しください。"
13206,"現在サーバーが混み合っています。順次ログイン処理を行っていますのでしばらくお待ちください。（現在<value>人待ちです）"
13207,"以前のログアウト処理が完了していません。しばらく時間をおいてからお試しください。心当たりがない場合にはサポートデスクまでお問い合わせください。"
13208,"キャラクターの名前の仮登録期限が過ぎました。もういちどキャラクターの名前登録からやり直してください。"
13209,"お使いのサービスアカウントは、サービス契約状態が「契約なし」のため「ファイナルファンタジーXIV」をプレイすることができません。\n「ファイナルファンタジーXIV: モグステーション」でゲームをプレイするための各種手続きを行ってください。\nファイナルファンタジーXIV: モグステーションURL：\nhttp://sqex.to/Msp"
13210,"お使いのサービスアカウントは、サービス契約状態が「契約なし」のため、「ファイナルファンタジーXIV」をプレイすることができません。\n有効なサービスアカウントでPlayStation®3版「ファイナルファンタジーXIV」をプレイしたい方は、“PSN”でダウンロード版を購入するか、プロダクトコードを入力してください。\nサービス契約手続きを行う場合は、ゲームを終了して、インターネットブラウザーから「ファイナルファンタジーXIV: モグステーション」からサービスコース契約手続きを行ってください。\nファイナルファンタジーXIV: モグステーションURL：\nhttp://sqex.to/Msp"
13211,"現在、ワールド移転処理中です。しばらくしてからログインしてください。\n※ワールド移転処理は数分から数時間かかる場合があります。"
13212,"1日に作成できるキャラクター数の上限に達しています。"
13213,"お使いのサービスアカウントは、サービス契約状態が「契約なし」のため、「ファイナルファンタジーXIV」をプレイすることができません。\n有効なサービスアカウントでPlayStation®4版「ファイナルファンタジーXIV」をプレイしたい方は、“PSN”でダウンロード版を購入するか、プロダクトコードを入力してください。\nサービス契約手続きを行う場合は、ゲームを終了して、インターネットブラウザーから「ファイナルファンタジーXIV: モグステーション」にアクセスして、サービスコース契約手続きを行ってください。\nファイナルファンタジーXIV: モグステーションURL：\nhttp://sqex.to/Msp"
14000,"システムエラーが発生しました。"
14001,"システムエラーが発生しました。"
15000,"システムエラーが発生しました。"
15001,"システムエラーが発生しました。"
15002,"システムエラーが発生しました。"
16000,"サーバーとの接続が切断されました。"
16001,"システムデータが見つからないためランチャーに戻ります。ゲームを終了する場合はPSボタンを押してください。"
16002,""
