Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x0][0x8]
0,"dummy","Ja, frag nicht lange.","Was?! Warte!"
1,"Photozelle nehmen?","Ja","Nein"
2,"<value> verlassen?","Ja","Nein"
3,"<value> verlassen?","Ja","Nein"
4,"Das Kleinod des Ketzers zerstören?","Ja","Nein"
5,"Photozellen einsetzen?","Ja","Nein"
6,"<value> wirklich verlassen?","Ja","Nein"
7,"<value> wirklich zusammen mit deiner Gruppe verlassen? Der Spielinhalt wird für alle Gruppenmitglieder beendet. Prüft, ob ihr eine Vergütung erhaltet. Unter „Timer“ siehst du, wie lange du vor dem nächsten Versuch noch warten musst.","Ja","Nein"
8,"Zurückkehren?","Ja","Nein"
9,"Die Tür mit dem kleinen Schlüssel öffnen?","Ja","Nein"
10,"Die Winde aktivieren?","Ja","Nein"
11,"Die Sprengung durchführen?","Ja","Nein"
12,"Da ist ein Schalter. Drücken?","Ja","Nein"
13,"Den Schlüssel mitnehmen?","Ja","Nein"
14,"専用鍵Aを取得しますか？","はい","いいえ"
15,"専用鍵Bを取得しますか？","はい","いいえ"
16,"専用鍵Cを取得しますか？","はい","いいえ"
17,"専用鍵Dを取得しますか？","はい","いいえ"
18,"Mit dem kleinen Schlüssel die Tür aufschließen?","Ja","Nein"
19,"Die Misteltür aufschließen?","Ja","Nein"
20,"Die Nelkentür aufschließen?","Ja","Nein"
21,"Die Lilientür aufschließen?","Ja","Nein"
22,"Die Rosentür aufschließen?","Ja","Nein"
23,"Die Flamme löschen?","Ja","Nein"
24,"Den Sphärolithen zerstören?","Ja","Nein"
25,"Die Lampe löschen?","Ja","Nein"
26,"Den Hebel umlegen und das Tor öffnen?","Ja","Nein"
27,"(仮)怪樹の根に触れますか？","はい","いいえ"
28,"(仮)怪樹の実に触れますか？","はい","いいえ"
29,"Das Kleinod des Ketzers benutzen?","Ja","Nein"
30,"Den Magitek-Transporter benutzen?","Ja","Nein"
31,"Das blutige Pergament lesen?","Ja","Nein"
32,"Den Aufzugshebel betätigen?","Ja","Nein"
33,"Den Aufzugshebel betätigen?","Ja","Nein"
34,"Die Sprengvorrichtung aktivieren?","Ja","Nein"
35,"12 Unzen Sprengstoff in die Pulverkammer füllen?","Ja","Nein"
36,"Die Abkürzung nehmen?","Ja","Nein"
37,"Das Versteck-Haupttor öffnen?","Ja","Nein"
38,"<2b?:0xff, 0x16, 0x2> benutzen?","Ja","Nein"
39,"Da ist ein Schalter. Drücken?","Ja","Nein"
40,"In den Magiewirbel springen?","Ja","Nein"
41,"In den Magiewirbel springen?","Ja","Nein"
42,"Die Falle auslösen?","Ja","Nein"
43,"Den Hebel umlegen und das Tor öffnen?","Ja","Nein"
44,"Die Tür der Kapitänsstube öffnen?","Ja","Nein"
45,"Das Wellenfahrer-Tor öffnen?","Ja","Nein"
46,"Die Kerkertür öffnen?","Ja","Nein"
47,"Die Waage des Urteils drücken?","Ja","Nein"
48,"In den Treibsand springen?","Ja","Nein"
49,"Den garleischen Kennschlüssel benutzen, um die Sperre zu entriegeln?","Ja","Nein"
50,"In den Entsorgungsschacht zwängen?","Ja","Nein"
51,"Den nächsten Bereich betreten?","Ja","Nein"
52,"Den garleischen Kennschlüssel benutzen?","Ja","Nein"
53,"Den Sprengstoff Klasse XXXVII benutzen?","Ja","Nein"
54,"Den Echelon-Lift aktivieren?\n※ Alle Gruppenmitglieder begleiten dich.","Ja","Nein"
55,"Die Porta Decumana öffnen?\n※ Alle Gruppenmitglieder begleiten dich.","Ja","Nein"
56,"Den Lift rufen?","Ja","Nein"
57,"Den Lift aktivieren?","Ja","Nein"
58,"Die Magitek-Kampfmaschine besteigen?","Ja","Nein"
59,"Das Laternenöl benutzen?","Ja","Nein"
60,"Teleportieren?","Ja","Nein"
61,"Den nächsten Bereich betreten?","Ja","Nein"
62,"Den Schleichpfad betreten?","Ja","Nein"
63,"Die Bretterbarrikade entriegeln?","Ja","Nein"
64,"Dich der Kristallkugel anvertrauen?","Ja","Nein"
65,"Dich der Kristallkugel anvertrauen?","Ja","Nein"
66,"Die Lilientür aufschließen?","Ja","Nein"
67,"Die Rosentür aufschließen?","Ja","Nein"
68,"Mit dem kleinen Schlüssel die Tür aufschließen?","Ja","Nein"
69,"Zur zweiten Runde weitergehen?","Ja","Nein"
70,"Zur dritten Runde weitergehen?","Ja","Nein"
71,"Die Steintafel auf den Steinsockel legen?","Ja","Nein"
72,"Das Tor zur Hauptvorratskammer aufschließen?","Ja","Nein"
73,"Den Pumpenhebel betätigen?","Ja","Nein"
74,"Den Sonnenstein in die Vertiefung einsetzen?","Ja","Nein"
75,"Das Rad drehen?","Ja","Nein"
76,"Die Zelle öffnen?","Ja","Nein"
77,"Den Mondstein in die Vertiefung einsetzen?","Ja","Nein"
78,"Den Sonnenstein in die Vertiefung einsetzen?","Ja","Nein"
79,"Den Mondstein in die Vertiefung einsetzen?","Ja","Nein"
80,"Den Sternenstein in die Vertiefung einsetzen?","Ja","Nein"
81,"Die Tür zum Häretiker-Steig öffnen?","Ja","Nein"
82,"Die Tür zur Eissäulen-Arena öffnen?","Ja","Nein"
83,"Den nächsten Bereich betreten?","Ja","Nein"
84,"Die Elfenbein-Kapelle verlassen?","Ja","Nein"
85,"","",""
86,"Den Kennschlüssel benutzen?","Ja","Nein"
87,"Den Spielinhalt <value> verlassen?","Ja","Nein"
88,"(仮)本棚に魔道書を挿し込みますか？","はい","いいえ"
89,"Ein Donnerei opfern?","Ja","Nein"
90,"Den Stahlhebel einsetzen und betätigen?","Ja","Nein"
91,"Die Tür zur Kaserne öffnen?","Ja","Nein"
92,"Die Tür zum Kommandozimmer öffnen?","Ja","Nein"
93,"Den Aufzug aktivieren?","Ja","Nein"
