Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0xc],3 [0x3][0x12],4 [0x3][0x13],5 [0x19][0x16],6 [0x3][0x14],7 [0x7][0x8],8 [0x4][0x10],9 [0x3][0x15]
0,"","",0,0,0,false,0,0,0,0
1,"Vitalité améliorée","La vitalité est augmentée de 2 points.",5130,1,8,false,0,0,2,38
2,"Rempart amélioré","La réduction de dégâts monte à 20%.",5201,1,14,false,0,0,0,38
3,"Vitalité améliorée II","La vitalité est augmentée de 4 points.",5131,1,16,false,0,0,4,38
4,"Diligence améliorée","La durée de Diligence monte à 25 secondes.",5208,1,44,false,0,0,0,38
5,"Vitalité améliorée III","La vitalité est augmentée de 6 points.",5132,1,24,false,0,0,6,38
6,"Flash amélioré","Flash inflige également Cécité pour une durée de 12 secondes.",5203,1,20,false,0,0,0,38
7,"Convalescence améliorée","L'effet de Convalescence monte à 30%.",5206,1,32,false,0,0,0,38
8,"Sentinelle améliorée","La réduction de dégâts monte à 40%.",5202,1,48,false,0,0,0,38
9,"Rage de Halone améliorée","Le malus de force de Rage de Halone monte à 10%.",5207,1,40,false,0,0,0,38
10,"Coup de bouclier amélioré","La durée de l'effet Étourdissement de Coup de bouclier monte à 6 secondes.",5204,1,36,false,0,0,0,38
11,"Combat acharné amélioré","La durée de Combat acharné monte à 30 secondes.",5205,1,28,false,0,0,0,38
12,"Vitalité améliorée","La vitalité est augmentée de 2 points.",5130,3,8,false,0,0,2,44
13,"Vitalité améliorée II","La vitalité est augmentée de 4 points.",5131,3,16,false,0,0,4,44
14,"Bain de sang amélioré","La durée de Bain de sang monte à 30 secondes.",5252,3,20,false,0,0,0,44
15,"Aguet amélioré","Le temps de recharge d'Aguet est réduit à 90 secondes.",5251,3,14,false,0,0,0,44
16,"Vitalité améliorée III","La vitalité est augmentée de 6 points.",5132,3,24,false,0,0,6,44
17,"Mutilation améliorée","La durée de Mutilation monte à 24 secondes.",5254,3,48,false,0,0,0,44
18,"Berserk amélioré","La durée de Berserk monte à 20 secondes.",5253,3,36,false,0,0,0,44
19,"Swing brutal amélioré","La durée de Swing brutal monte à 5 secondes.",5255,3,32,false,0,0,0,44
20,"Coup de grâce amélioré","Le temps de recharge de Coup de grâce est réduit à 40 secondes.",5257,3,40,false,0,0,0,44
21,"Fracture améliorée","La durée de Fracture monte à 30 secondes.",5256,3,28,false,0,0,0,44
22,"Frisson de la bataille amélioré","Le bonus de PV de Frisson de la bataille monte à 20%.",5258,3,44,false,0,0,0,44
23,"Force améliorée","La force est augmentée de 2 points.",5110,2,8,false,0,0,2,41
24,"Force améliorée II","La force est augmentée de 4 points.",5111,2,16,false,0,0,4,41
25,"Force améliorée III","La force est augmentée de 6 points.",5112,2,24,false,0,0,6,41
26,"Vitesse de l'éclair améliorée","Vous pouvez cumuler deux effets Vitesse de l'éclair.",5230,2,20,false,0,0,0,41
27,"Relâchement intérieur amélioré","Le bonus de critique de Relâchement intérieur monte à 30%.",5229,2,36,false,0,0,0,41
28,"Pieds légers améliorés","Le bonus d'esquive de Pieds légers monte à 20%.",5227,2,14,false,0,0,0,41
29,"Second souffle amélioré","La puissance curative de Second souffle monte à 650. ",5226,2,32,false,0,0,0,41
30,"Charge d'acier améliorée","Le temps de recharge de Charge d'acier est réduit à 40 secondes.",5232,2,44,false,0,0,0,41
31,"Vitesse de l'éclair améliorée II","Vous pouvez cumuler trois effets Vitesse de l'éclair.",5231,2,40,false,0,0,0,41
32,"Serpents jumeaux améliorés","Le bonus de dégâts de Serpents jumeaux monte à 10%.",5228,2,28,false,0,0,0,41
33,"Mantra amélioré","L'effet de Mantra monte à 20%.",5233,2,48,false,0,0,0,41
