Index,0 [0x0][0x0],1 [0x5][0x4],2 [0x3][0xc],3 [0x5][0x6],4 [0x5][0x8],5 [0x5][0xa]
0,"",1,0,0,0,0
1,"実行",61103,2,80,81,82
2,"実行",61103,2,80,81,82
3,"実行",61103,5,80,81,82
4,"実行",61103,10,80,81,82
5,"実行",61103,15,80,81,82
6,"実行",61103,2,80,81,82
7,"実行",61103,5,80,81,82
8,"実行",61103,10,80,81,82
9,"実行",61103,15,80,81,82
10,"待機",61104,2,175,176,177
11,"待機",61104,2,175,176,177
12,"待機",61104,5,175,176,177
13,"待機",61104,10,175,176,177
14,"実行",61103,2,80,81,82
15,"実行",61103,2,80,81,82
16,"実行",61103,5,80,81,82
17,"実行",61103,10,80,81,82
18,"実行",61103,2,80,81,82
19,"交感",61105,5,169,170,171
20,"探索",61103,1,80,81,82
21,"探索",61103,2,80,81,82
22,"探索",61103,5,80,81,82
23,"探索",61103,1,172,173,174
24,"探索",61103,2,172,173,174
25,"探索",61103,5,172,173,174
26,"救助",61103,2,184,185,186
27,"ホイッスル",61104,2,178,179,180
28,"見張り",61104,10,175,176,177
29,"記録",61103,1,172,173,174
30,"指笛",61103,2,178,179,180
31,"実行",61103,2,181,182,183
32,"実行",61103,5,181,182,183
33,"実行",61103,10,181,182,183
34,"救助",61103,2,184,185,186
35,"救助",61103,5,184,185,186
36,"救助",61103,10,184,185,186
37,"実行",61103,2,178,179,180
38,"救助",61103,2,172,173,174
39,"救助",61103,5,172,173,174
40,"救助",61103,10,172,173,174
41,"見渡す",61104,10,175,176,177
42,"縄をほどく",61103,10,181,182,183
43,"鎮める",61103,10,172,173,174
44,"鎮める",61103,10,184,185,186
45,"実行",61103,2,172,173,174
46,"実行",61103,5,172,173,174
47,"実行",61103,10,172,173,174
48,"イタズラをする",61103,5,181,182,183
49,"バルブを締める",61103,5,181,182,183
50,"見渡す",61104,5,175,176,177
51,"調整弁を開ける",61103,5,181,182,183
52,"実行",61103,1,80,81,82
53,"探索",61103,2,181,182,183
54,"探索",61103,5,181,182,183
55,"探索",61103,10,181,182,183
56,"見張り",61104,5,175,176,177
57,"占拠",61103,2,172,173,174
58,"占拠",61103,5,172,173,174
59,"占拠",61103,10,172,173,174
60,"交感",61103,5,172,173,174
61,"実行",61103,2,0,0,0
