Index,0 [0x9][0x0],1 [0x9][0x4],2 [0x9][0x8],3 [0x9][0xc],4 [0x9][0x10],5 [0x9][0x14],6 [0x9][0x18],7 [0x9][0x1c],8 [0x9][0x20],9 [0x9][0x24],10 [0x3][0x28],11 [0x19][0x2a],12 [0x3][0x29]
0,0.5,1.0,1.0,1.0,2.4,6.0,0.0,0.0,3.0,3.0,0,false,0
1,1.2,2.5,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
2,0.3,0.3,0.7,0.5,1.2,3.7,0.0,0.0,3.0,3.0,0,false,1
3,0.3,1.0,0.75,0.5,2.0,4.0,0.0,0.0,3.0,3.0,0,false,1
4,0.7,0.6,0.8,0.8,1.5,4.5,0.0,0.0,3.0,3.0,0,false,1
5,1.6,4.3,1.5,1.3,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
6,0.4,0.7,0.7,0.3,1.0,4.0,0.0,0.0,3.0,3.0,0,false,1
7,0.6,1.1,0.8,1.0,2.5,5.5,1.1,1.5,8.0,3.0,1,false,1
8,2.0,1.9,1.8,1.5,2.0,6.0,0.0,0.0,3.0,3.0,1,false,1
9,0.4,1.3,0.8,0.8,2.0,4.5,0.0,0.0,3.0,3.0,0,false,1
10,0.4,0.7,0.7,0.5,2.0,4.0,0.0,0.0,3.0,3.0,0,false,1
11,0.6,1.6,0.9,1.0,2.0,5.0,0.2,0.6,8.0,3.0,1,true,1
12,0.6,0.4,1.0,1.0,2.0,6.0,1.2,1.5,8.0,3.0,1,true,1
13,0.3,0.2,0.6,0.2,1.5,4.0,0.0,0.0,3.0,3.0,0,false,1
14,0.4,0.8,0.7,1.0,2.0,4.5,1.3,1.7,8.0,3.0,1,true,1
15,1.3,1.9,1.3,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
16,0.3,0.8,0.7,1.0,2.5,5.5,1.2,1.5,8.0,3.0,1,false,1
17,2.1,2.3,1.5,2.0,2.5,8.0,0.0,0.0,3.0,3.0,1,false,1
18,1.3,2.9,1.8,1.5,2.0,5.0,0.0,0.0,3.0,3.0,0,true,2
19,1.3,2.0,1.0,0.5,5.0,5.0,0.0,0.0,3.0,3.0,0,false,1
20,0.2,0.3,0.7,1.0,2.0,5.0,1.5,1.9,2.0,3.0,1,true,1
21,1.1,2.8,1.8,1.5,2.0,6.0,0.0,0.0,3.0,3.0,0,false,2
22,0.5,1.0,0.7,0.6,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
23,5.0,5.5,4.0,4.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,2
24,1.4,1.5,1.4,1.5,2.0,8.0,0.0,0.0,3.0,3.0,0,false,1
25,0.2,0.3,0.6,1.0,2.0,5.0,1.3,1.7,8.0,3.0,1,true,1
26,0.3,0.4,0.6,1.0,3.0,6.0,1.3,1.7,8.0,3.0,1,true,1
27,3.0,4.4,2.5,2.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,2
28,0.3,0.8,0.6,0.5,2.5,5.5,0.0,0.0,3.0,3.0,0,false,1
29,1.0,2.0,1.3,0.5,3.0,6.0,0.0,0.0,3.0,3.0,0,false,1
30,2.4,2.6,2.2,2.0,2.5,5.5,0.0,0.0,3.0,3.0,1,false,1
31,0.4,1.7,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
32,0.5,0.7,0.7,0.5,1.5,4.0,0.0,0.0,3.0,3.0,0,false,1
33,1.1,1.2,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
34,2.2,3.2,2.5,1.7,2.0,5.5,0.0,0.0,3.0,3.0,0,false,2
35,4.0,4.6,4.5,3.0,3.0,6.0,0.0,0.0,3.0,3.0,1,false,2
36,0.4,1.0,0.4,0.7,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
37,3.5,4.5,2.7,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,2
38,2.0,1.5,1.6,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
39,2.7,1.5,2.2,2.0,2.0,4.5,0.0,0.0,3.0,3.0,0,false,1
