Index,0 [0x0][0x0],1 [0x7][0x4],2 [0x7][0x8]
0,"",0,0
1,"Duty Roulette",61807,0
2,"Dungeons",61801,60831
3,"Guildhests",61803,60833
4,"Trials",61804,60834
5,"Raids",61802,60832
6,"PvP",61806,60836
7,"Quest Battles",61805,0
8,"FATEs",61809,0
9,"Treasure Hunt",61808,0
10,"Levequests",61811,0
11,"Grand Company",61812,0
12,"Companions",61813,0
13,"Beast Tribe Quests",61814,0
14,"Overall Completion",61810,0
15,"Player Commendation",61817,0
16,"Disciples of the Land",61815,0
17,"Disciples of the Hand",61816,0
18,"Retainer Ventures",61818,0
