Index,0 [0x7][0x8],1 [0x7][0xc],2 [0x7][0x10],3 [0x7][0x14],4 [0x5][0x18],5 [0x5][0x1a],6 [0x5][0x1c],7 [0x5][0x1e],8 [0x19][0x20],9 [0x0][0x0],10 [0x0][0x4]
131072,0,0,0,0,1,1,0,0,false,"",""
131073,2040811,0,0,0,2,2,0,0,false,"",""
131074,3884000,590352,590353,0,3,1,0,0,false,"","「神勇隊司令室」へ入りますか？"
131075,3884182,0,0,0,1,1,0,0,false,"","「神勇隊司令室」から出ますか？"
131076,3878860,0,0,0,1,1,0,0,false,"","「不語仙の座卓」から出ますか？"
131077,1381039,590354,590355,0,4,1,0,0,false,"「花蜜桟橋」へ行く","「花蜜桟橋」へ移動しますか？"
131078,1381038,590356,590259,0,4,1,0,0,false,"","「グリダニア旧市街」へ移動しますか？"
131079,4124796,0,0,0,5,3,0,0,false,"",""
131080,1359058,0,0,0,5,4,0,0,false,"",""
131081,4124801,0,0,0,5,5,0,0,false,"",""
131082,4125264,0,0,0,1,1,0,0,false,"","退出しますか？"
131083,2232680,0,0,0,1,1,0,0,false,"","退出しますか？"
131084,4125288,0,0,0,1,1,0,0,false,"","退出しますか？"
131085,4107979,0,0,0,1,1,0,0,false,"","「銀冑団総長室」から出ますか？"
131086,4143657,590441,590620,590448,6,1,0,0,false,"","「クレセントコーヴ」へ移動しますか？\n運賃：40ギル"
131087,4143677,590442,590621,590449,6,1,0,0,false,"","「シルバーバザー」へ移動しますか？\n運賃：40ギル"
131088,4107477,0,590450,0,7,1,0,0,false,"","「砂の家」へ入りますか？"
131089,4132388,0,0,0,1,1,0,0,false,"","「砂の家」から出ますか？"
131090,4148347,0,590564,0,21,1,0,0,false,"","「暁の間」へ入りますか？"
131091,4148350,0,0,0,1,1,0,0,false,"","「暁の間」から出ますか？"
131092,4158063,0,0,0,1,1,0,0,false,"「4F：リムサ・ロミンサ・ランディング」へ行く","「4F：リムサ・ロミンサ・ランディング」へ移動しますか？"
