Index,0 [0x0][0x0],1 [0x2][0x14],2 [0x0][0x4],3 [0x2][0x15],4 [0x2][0x16],5 [0x2][0x17],6 [0x2][0x18],7 [0x2][0x19],8 [0x0][0x8],9 [0x0][0xc],10 [0x0][0x10],11 [0x6][0x58],12 [0x5][0x6c],13 [0x3][0x78],14 [0x3][0x79],15 [0x3][0x7a],16 [0x5][0x6e],17 [0x5][0x70],18 [0x9][0x28],19 [0x9][0x40],20 [0x9][0x2c],21 [0x9][0x44],22 [0x9][0x30],23 [0x9][0x48],24 [0x9][0x34],25 [0x9][0x4c],26 [0x9][0x38],27 [0x9][0x50],28 [0x9][0x3c],29 [0x9][0x54],30 [0x5][0x72],31 [0x0][0x1c],32 [0x0][0x20],33 [0x0][0x24],34 [0x3][0x7b],35 [0x3][0x7c],36 [0x19][0x83],37 [0x6][0x5c],38 [0x6][0x60],39 [0x6][0x64],40 [0x6][0x68],41 [0x2][0x82],42 [0x5][0x74],43 [0x3][0x7d],44 [0x3][0x7e],45 [0x3][0x7f],46 [0x3][0x80],47 [0x3][0x81],48 [0x5][0x76],49 [0x1a][0x83],50 [0x1b][0x83],51 [0x1c][0x83]
0,"",0,"",0,0,1,0,0,"","","",0,0,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,"","","",10,10,true,0,0,0,0,-1,0,0,100,0,0,0,0,false,false,false
1,"company chocobo",0,"company chocobos",0,0,1,0,0,"Summon your Grand Company-issued battle chocobo.","Born and bred in the city-state of Ishgard, the majority of company chocobos are geldings of the rouncey variety; however, massive destriers and miniature Belah'dian jennets are also raised to accommodate the builds of Roegadyn and\nLalafellin riders respectively.","Chocobos are stout-\nhearted creatures, but\nthey have their limits.\n  - Mimigun",1,2,2,45,15,374,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,true,65536,65536,65537,0,0,4401,1,100,0,0,0,0,false,false,false
2,"",0,"",0,0,1,0,0,"","","",1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,61,"","","SE_Bt_Etc_ChocoboBye",20,20,true,65537,65537,65537,65537,-1,0,0,100,0,0,0,0,false,false,false
3,"",0,"",0,0,1,0,0,"","","",1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,61,"","","SE_Bt_Etc_ChocoboBye",2,9,true,65552,65552,65537,0,-1,0,0,100,0,0,0,0,false,false,false
4,"goobbue",0,"goobbues",0,0,1,0,0,"Use the odd-shaped horn gifted to you by the wandering minstrel to call a massive goobbue to your side.","Traded for a song by the High Satrap of a distant land, the secret to taming these creatures once thought to be unbreakable was introduced to Eorzea by a mysterious wandering minstrel who journeyed through the realm in the final\ndays before the Calamity.","Would that I had the\ngirth of a goobbue!\n  - Nanamo Ul Namo",200,4,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,true,0,1,0,0,1,4403,4,100,0,0,0,1,false,true,false
5,"legacy chocobo",0,"legacy chocobos",0,0,1,0,0,"Five years and a realm-shaking Calamity were not enough to break the bonds between you and your loyal steed. A single whistle and he will be at your side once again.","In the five years following your sudden disappearance from the Carteneau Flats, your ever-faithful chocobo spent each waking moment galloping across the realm in search of his lost master. His myriad adventures are nothing less than fantastical\nand heartbreaking...but that is\na story for another day.","Go find the chocobo you\nrode in on, and ride on out.\n  - Sevrin",1,2,2,45,15,374,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,true,65545,65545,65545,65545,2,4402,1,100,0,0,0,0,false,false,false
6,"magitek armor",0,"suits of magitek armor",0,0,1,0,0,"Call into battle your suit of Garlond Ironworks-modified magitek armor.","This suit of Garlean-developed reaper-class magitek battle armor has had its original control systems purged and replaced with a new, modified core built by Cid of the Garlond Ironworks.","At last, our very own\nsuit of magitek armor!\n  - Cid Garlond",2,2,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,262,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,true,0,131073,0,0,3,4406,3,77,0,0,0,2,false,true,false
7,"",0,"",0,0,1,0,0,"","","",311,5,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"","","",0,0,true,0,1,0,0,-1,0,0,100,0,0,0,0,false,false,false
8,"coeurl",0,"coeurls",0,0,1,0,0,"Summon your fleet-footed battle coeurl, trained from a pup to recognize you as a friend...not food.","Native to the jungles of the Near East, coeurls were only recently introduced to Eorzea, brought over from faraway lands such as Thavnair by Ul'dahn nobles who thought to breed them as pets. Now, but a handful of skilled tamers living in recluse on the Pearl are\nsaid to be able to train them.","Hey, good lookin'!\nCatch my coeurl yet?\n  - Swygrael",70,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,121,"SE_Bt_Etc_CuahrWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_CuahrBye",20,10,true,0,1,0,0,4,4405,5,60,0,0,0,0,false,false,false
9,"ahriman",0,"ahrimans",0,1,1,0,0,"Summon forth a riding ahriman, bound to this realm with powerful magicks guaranteed to never fade.","Though little is known of the void and the creatures which call the extra-dimensional realm home, scholars have discovered that there is a strict hierarchy amongst voidsent consisting of twelve distinct tiers. Ahrimans are believed to fall into the fifth, making them formidable foes...\nwhen not enthralled by curses.","Ye'd 'ave t' be blinder'n an\nahriman wi' an eyepatch t'\nmiss the camp.\n  - Baderon Tenfingers",167,2,0,45,15,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,121,"SE_Bt_Etc_AhrimanWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_AhrimanBye",20,10,true,0,1,0,0,5,4404,6,100,0,0,0,0,true,false,false
