Index,0 [0x6][0x0],1 [0x3][0x8],2 [0x3][0x9],3 [0x3][0xa],4 [0x4][0x4],5 [0x4][0x6]
0,0,0,0,0,0,0
1,5291,5,7,10,0,0
2,5318,5,7,10,0,0
3,4794,5,7,10,0,0
4,4850,5,7,10,0,0
5,5434,5,7,10,0,0
6,5492,5,7,10,0,0
7,4758,5,7,10,0,0
8,5292,5,7,10,0,0
9,4759,5,7,10,0,0
10,5442,5,7,10,0,0
11,5548,5,7,10,0,0
12,5319,5,7,10,0,0
13,4760,5,7,10,0,0
14,5556,5,7,10,0,0
15,4761,5,7,10,0,0
16,5550,5,7,10,0,0
17,5495,5,7,10,0,0
18,4773,5,7,10,0,0
19,5551,5,7,10,0,0
20,5435,5,7,10,0,0
21,5446,5,7,10,0,0
22,5454,5,7,10,0,0
23,5552,5,7,10,0,0
24,5557,5,7,10,0,0
25,5296,5,7,10,0,0
26,5355,5,7,10,0,0
27,5456,5,7,10,0,0
28,4765,5,7,10,0,0
29,4771,5,7,10,0,0
30,5496,5,7,10,0,0
31,5345,5,7,10,0,0
32,5436,5,7,10,0,0
33,5493,5,7,10,0,0
34,5444,5,7,10,0,0
35,5499,5,7,10,0,0
36,4766,5,7,10,0,0
37,5320,5,7,10,0,0
38,5300,5,7,10,0,0
39,5528,5,7,10,0,0
40,4774,5,7,10,0,0
41,6149,5,7,10,0,0
42,4770,5,7,10,0,0
43,5455,5,7,10,0,0
44,5468,5,7,10,0,0
45,5447,5,7,10,0,0
46,5549,5,7,10,0,0
47,5554,5,7,10,0,0
48,5497,5,7,10,0,0
49,4767,5,7,10,0,0
50,5321,5,7,10,0,0
51,5303,5,7,10,0,0
52,5306,5,7,10,0,0
53,5347,5,7,10,0,0
54,5494,5,7,10,0,0
55,5308,5,7,10,0,0
56,5526,5,7,10,0,0
57,5322,5,7,10,0,0
58,5555,5,7,10,0,0
59,5558,5,7,10,0,0
60,5263,5,7,10,0,0
61,4768,5,7,10,0,0
62,4775,5,7,10,0,0
63,5348,5,7,10,0,0
64,5553,5,7,10,0,0
65,4769,5,7,10,0,0
66,5310,5,7,10,0,0
67,5349,5,7,10,0,0
68,5439,5,7,10,0,0
69,5106,15,20,30,75,0
70,2,20,40,60,1,0
71,3,20,40,60,2,0
72,4,20,40,60,3,0
73,5,20,40,60,4,0
74,6,20,40,60,5,0
75,7,20,40,60,6,0
76,5488,15,20,30,73,0
77,5432,15,20,30,69,0
78,5107,15,20,30,71,0
79,5128,15,20,30,44,0
80,5133,15,20,30,61,0
81,5433,15,20,30,67,0
82,5110,15,20,30,63,0
83,5124,15,20,30,68,0
84,5513,15,20,30,217,0
85,5267,15,20,30,216,0
86,5268,15,20,30,95,0
87,5518,15,20,30,87,0
88,5228,15,20,30,89,0
89,5111,15,20,30,74,0
90,5269,15,20,30,82,0
91,5519,15,20,30,92,0
92,5130,15,20,30,58,0
93,5131,15,20,30,48,0
94,5132,15,20,30,55,0
95,5230,15,20,30,218,0
96,5129,15,20,30,51,0
97,5465,15,20,30,70,0
98,5524,15,20,30,38,0
99,5599,15,20,30,24,0
100,5229,15,20,30,93,0
101,5155,15,20,30,94,0
102,5270,15,20,30,80,0
103,5152,15,20,30,86,0
104,5153,15,20,30,96,0
105,5491,15,20,30,49,0
106,5154,15,20,30,97,0
107,5156,15,20,30,98,0
108,5113,15,20,30,66,0
109,5157,15,20,30,90,0
110,5528,15,20,30,84,0
111,8,15,20,30,7,0
112,9,15,20,30,8,0
113,10,15,20,30,9,0
114,11,15,20,30,10,0
115,12,15,20,30,11,0
116,13,15,20,30,12,0
117,5523,15,20,30,88,0
118,5125,15,20,30,76,0
119,5814,15,20,30,29,0
120,5815,15,20,30,30,0
121,5816,15,20,30,31,0
122,5817,15,20,30,32,0
123,5818,15,20,30,33,0
124,5819,15,20,30,34,0
125,5820,15,20,30,35,0
126,5527,15,20,30,99,0
127,5600,15,20,30,25,0
128,5231,15,20,30,83,0
129,7758,1,1,1,256,0
130,7761,1,1,1,259,0
131,7764,1,1,1,262,0
132,5134,15,20,30,41,0
133,7008,15,20,30,219,0
134,5137,15,20,30,56,0
135,5135,15,20,30,43,0
136,5136,15,20,30,57,0
137,5271,15,20,30,100,0
138,5114,15,20,30,77,0
139,5138,15,20,30,37,0
140,5139,15,20,30,36,0
141,5142,15,20,30,52,0
142,5144,15,20,30,47,0
143,5141,15,20,30,46,0
144,5168,15,20,30,45,0
145,5525,15,20,30,54,0
146,5526,15,20,30,81,0
147,7759,1,1,1,257,0
148,7762,1,1,1,260,0
149,7765,1,1,1,263,0
150,5145,15,20,30,50,0
151,5272,15,20,30,78,0
152,5115,15,20,30,72,0
153,5143,15,20,30,39,0
154,5140,15,20,30,62,0
155,7010,15,20,30,215,0
156,5263,15,20,30,53,0
157,5116,15,20,30,65,0
158,5458,15,20,30,64,0
159,5439,15,20,30,40,0
160,5601,15,20,30,26,0
161,5509,15,20,30,137,0
162,2,20,40,60,1,0
163,3,20,40,60,2,0
164,4,20,40,60,3,0
165,5,20,40,60,4,0
166,6,20,40,60,5,0
167,7,20,40,60,6,0
168,5050,15,20,30,105,0
169,5498,15,20,30,134,0
170,5380,15,20,30,133,0
171,4828,15,20,30,118,0
172,5516,15,20,30,141,0
173,5396,15,20,30,132,0
174,5534,15,20,30,124,0
175,5351,15,20,30,116,0
176,4809,15,20,30,138,0
177,7725,1,1,1,236,0
178,5383,15,20,30,104,0
179,5402,15,20,30,103,0
180,4803,15,20,30,113,0
181,5352,15,20,30,114,0
182,4831,15,20,30,115,0
183,5341,15,20,30,198,0
184,5538,15,20,30,159,0
185,4795,15,20,30,158,0
186,4808,15,20,30,206,0
187,4823,15,20,30,200,0
188,4824,15,20,30,211,0
189,4829,15,20,30,149,0
190,5385,15,20,30,110,0
191,4777,15,20,30,209,0
192,5539,15,20,30,202,0
193,5342,15,20,30,214,0
194,5560,15,20,30,153,0
195,5514,15,20,30,220,0
196,4778,15,20,30,154,0
197,4779,15,20,30,146,0
198,5540,15,20,30,148,0
199,4782,15,20,30,201,0
200,4804,15,20,30,147,0
201,5343,15,20,30,213,0
202,4783,15,20,30,162,0
203,4830,15,20,30,183,0
204,4780,15,20,30,204,0
205,4781,15,20,30,171,0
206,4784,15,20,30,175,0
207,4832,15,20,30,190,0
208,4785,15,20,30,178,0
209,4810,15,20,30,128,0
210,4834,15,20,30,151,0
211,7715,1,1,1,226,0
212,7727,1,1,1,238,0
213,4811,15,20,30,117,0
214,4820,15,20,30,205,0
215,7728,1,1,1,239,0
216,5541,15,20,30,185,0
217,4786,15,20,30,126,0
218,4787,15,20,30,187,0
219,7720,1,1,1,231,0
220,5386,15,20,30,136,0
221,4796,15,20,30,152,0
222,5405,15,20,30,135,0
223,7029,15,20,30,223,0
224,7030,15,20,30,224,0
225,7031,15,20,30,225,0
226,5563,15,20,30,188,0
227,5599,15,20,30,24,0
228,4812,15,20,30,179,0
229,4806,15,20,30,108,0
230,7729,1,1,1,240,0
231,4797,15,20,30,186,0
232,6145,15,20,30,170,0
233,5535,15,20,30,127,0
234,4835,15,20,30,143,0
235,7738,1,1,1,249,0
236,5388,15,20,30,109,0
237,5542,15,20,30,150,0
238,4836,15,20,30,172,0
239,7739,1,1,1,250,0
240,7740,1,1,1,251,0
241,4819,15,20,30,161,0
242,4821,15,20,30,196,0
243,7721,1,1,1,232,0
244,4822,15,20,30,157,0
245,8,15,20,30,7,0
246,9,15,20,30,8,0
247,10,15,20,30,9,0
248,11,15,20,30,10,0
249,12,15,20,30,11,0
250,13,15,20,30,12,0
251,4788,15,20,30,145,0
252,7722,1,1,1,233,0
253,4789,15,20,30,193,0
254,7723,1,1,1,234,0
255,5814,15,20,30,29,0
256,5815,15,20,30,30,0
257,5816,15,20,30,31,0
258,5817,15,20,30,32,0
259,5818,15,20,30,33,0
260,5819,15,20,30,34,0
261,5820,15,20,30,35,0
262,5359,15,20,30,123,0
263,4813,15,20,30,106,0
264,5559,15,20,30,197,0
265,5600,15,20,30,25,0
266,5346,15,20,30,210,0
267,5409,15,20,30,111,0
268,7741,1,1,1,252,0
269,5390,15,20,30,112,0
270,4790,15,20,30,144,0
271,4837,15,20,30,194,0
272,7742,1,1,1,253,0
273,5543,15,20,30,192,0
274,7011,15,20,30,221,0
275,4798,15,20,30,189,0
276,7743,1,1,1,254,0
277,4791,15,20,30,203,0
278,5360,15,20,30,180,0
279,4839,15,20,30,207,0
280,5562,15,20,30,121,0
281,4838,15,20,30,167,0
282,4843,15,20,30,166,0
283,4814,15,20,30,184,0
284,4807,15,20,30,102,0
285,7730,1,1,1,241,0
286,5391,15,20,30,130,0
287,4840,15,20,30,191,0
288,4793,15,20,30,142,0
289,4792,15,20,30,160,0
290,4841,15,20,30,164,0
291,4844,15,20,30,125,0
292,4842,15,20,30,101,0
293,7744,1,1,1,255,0
294,4845,15,20,30,155,0
295,6146,15,20,30,119,0
296,5564,15,20,30,181,0
297,7731,1,1,1,242,0
298,4815,15,20,30,208,0
299,7732,1,1,1,243,0
300,5536,15,20,30,131,0
301,5054,15,20,30,163,0
302,5393,15,20,30,140,0
303,5414,15,20,30,139,0
304,4846,15,20,30,156,0
305,5055,15,20,30,199,0
306,7012,15,20,30,222,0
307,5601,15,20,30,26,0
308,4925,5,7,10,0,2
309,4871,3,5,7,0,8
310,5460,3,5,7,0,10
311,4930,3,5,7,0,11
312,4931,5,7,10,0,13
313,4932,5,7,10,0,16
314,4933,5,7,10,0,17
315,4876,5,7,10,0,20
316,4935,5,7,10,0,21
317,4936,3,5,7,0,23
318,4879,5,7,10,0,30
319,4880,3,5,7,0,32
320,4881,3,5,7,0,35
321,4882,3,5,7,0,38
322,4949,5,7,10,0,42
323,4884,3,5,7,0,43
324,4886,5,7,10,0,49
325,4955,5,7,10,0,51
326,4958,3,5,7,0,55
327,4959,5,7,10,0,56
328,5461,3,5,7,0,57
329,4891,3,5,7,0,65
330,4892,3,5,7,0,67
331,4893,1,2,3,0,70
332,4895,3,5,7,0,75
