Index,0 [0x6][0x0],1 [0x6][0x4],2 [0x3][0x20],3 [0x6][0x8],4 [0x5][0x18],5 [0x1][0x21],6 [0x6][0xc],7 [0x5][0x1a],8 [0x1][0x22],9 [0x6][0x10],10 [0x5][0x1c],11 [0x1][0x23],12 [0x6][0x14],13 [0x5][0x1e],14 [0x1][0x24]
917504,0,0,0,0,0,false,0,0,false,0,0,false,0,0,false
917505,36,3,0,1823,1,false,0,0,false,0,0,false,0,0,false
917506,37,3,0,2457,1,false,0,0,false,0,0,false,0,0,false
917507,38,6,0,2233,1,false,0,0,false,0,0,false,0,0,false
917508,96,3,0,3017,1,false,0,0,false,0,0,false,0,0,false
917509,97,3,0,3772,1,false,0,0,false,0,0,false,0,0,false
917510,98,6,0,3967,1,false,0,0,false,0,0,false,0,0,false
917511,42,4,0,2703,1,false,0,0,false,0,0,false,0,0,false
917512,43,4,0,2233,1,false,0,0,false,0,0,false,0,0,false
917513,44,6,0,1895,1,false,0,0,false,0,0,false,0,0,false
917514,102,4,0,4097,1,false,0,0,false,0,0,false,0,0,false
917515,103,4,0,3774,1,false,0,0,false,0,0,false,0,0,false
917516,104,6,0,3547,1,false,0,0,false,0,0,false,0,0,false
917517,48,5,0,2408,1,false,0,0,false,0,0,false,0,0,false
917518,49,5,2,1825,1,false,1825,1,false,1825,1,false,0,0,false
917519,50,5,0,5371,3,false,0,0,false,0,0,false,0,0,false
917520,108,5,0,3576,1,false,0,0,false,0,0,false,0,0,false
917521,109,5,2,1688,1,false,1688,1,false,1688,1,false,0,0,false
917522,110,5,0,3043,1,false,0,0,false,0,0,false,0,0,false
917523,33,6,0,1998,1,false,0,0,false,0,0,false,0,0,false
917524,34,6,0,2406,1,false,0,0,false,0,0,false,0,0,false
917525,35,3,0,5364,3,false,0,0,false,0,0,false,0,0,false
917526,39,6,0,1825,1,false,0,0,false,0,0,false,0,0,false
917527,40,6,0,2000,1,false,0,0,false,0,0,false,0,0,false
917528,41,4,0,5367,3,false,0,0,false,0,0,false,0,0,false
917529,45,6,0,2004,1,false,0,0,false,0,0,false,0,0,false
917530,46,6,2,2703,1,false,2703,1,false,2703,1,false,0,0,false
917531,47,5,0,1827,1,false,0,0,false,0,0,false,0,0,false
917532,93,6,0,3771,1,false,0,0,false,0,0,false,0,0,false
917533,94,6,0,3537,1,false,0,0,false,0,0,false,0,0,false
917534,95,3,0,5276,3,false,0,0,false,0,0,false,0,0,false
917535,99,6,0,4308,1,false,0,0,false,0,0,false,0,0,false
917536,100,6,0,2672,1,false,0,0,false,0,0,false,0,0,false
