Index,0 [0x7][0x38],1 [0x0][0x0],2 [0x0][0x4],3 [0x0][0x8],4 [0x0][0xc],5 [0x7][0x10],6 [0x7][0x14],7 [0x7][0x18],8 [0x7][0x1c],9 [0x7][0x20],10 [0x7][0x24],11 [0x7][0x28],12 [0x7][0x2c],13 [0x5][0x30],14 [0x5][0x32],15 [0x1][0x34],16 [0x1][0x35]
0,0,"","","","",0,0,0,0,0,0,0,0,0,0,false,false
1,1004746,"Knöpft euch ein Monster nach dem anderen vor!","Mehrere Monster derselben Art schließen sich zu Gruppen zusammen. Achtet auf ihre Sichtfelder, um nicht zu viel Aufmerksamkeit zu erregen!\nEinige Monster können euch allerdings durch die Gegend schleudern und euch so einen Strich durch die Rechnung machen.","Sobald euch die Goobbue bemerkt, greifen euch alle Monster an!\nErledigt erst die außen stehenden Monster, ohne dabei von der aufmerksamen Goobbue entdeckt zu werden!","Bei dieser militärischen Übung wird der Gruppenkampf gegen Monster trainiert. Um die ohne Pause erscheinenden Monster zu besiegen, müsst ihr gut zusammenarbeiten und eure jeweiligen Stärken ausspielen!\n\nSobald die Monster euch bemerken, greifen sie an. Wenn ihr einen unkoordinierten Kampf gegen eine Übermacht vermeiden wollt, solltet ihr euch geschickt einen Gegner nach dem anderen vornehmen.",3280,660,1120,50,0,0,0,0,0,0,false,false
2,1004742,"Besiegt Bockmann, bevor er Verstärkung ruft!","Wenn Bockmann schwächer wird, ruft er nach Unterstützung. Schützt euch, indem ein Gruppenmitglied (Verteidiger oder „Tank“), das viel einstecken kann, alle Feinde auf sich lenkt.","Meidet zu lange Gefechte gegen eine Vielzahl von Feinden! Jemand mit hohem Attackewert sollte die Gegner so schnell wie möglich dezimieren!","Besiegt den furchteinflößenden Bockmann! Achtet dabei auf seine enorme Reichweite! Außerdem ruft er Verstärkung, wenn er in Bedrängnis kommt, also seid flink!",3420,680,1160,50,0,0,0,0,0,0,false,false
3,1004744,"Öffnet die Tore und besiegt Kliffspringer!","Grundsätzlich öffnen sich die Tore, sobald ihr alle Monster davor aus dem Weg geräumt habt, doch manchmal müssen dafür Schalter betätigt werden.","In der hintersten Höhle versuchen Yarzons durch Felswände zu brechen, um über euch herzufallen. Das wird ein Wettlauf gegen die Zeit!","Bei dieser militärischen Übung wird die Erstürmung feindlicher Befestigungsanlagen erprobt. Bahnt euch einen Weg durch die von Monstern bewachten Tore und erschlagt die Kröte Kliffspringer, die hinter dem dritten Tor hockt!\n\nVerliert euer Ziel nicht aus den Augen und beeilt euch, bevor sich die an den Felswänden lauernden Yarzons auf euch stürzen!",7260,1450,1740,80,0,0,0,0,0,0,false,false
4,1004744,"Schwächt, betäubt und fangt die Gilkröte!","Die Räuber heilen die Gilkröte kontinuierlich, also solltet ihr das Reptil von den Halunken weglocken!","Besiegt die Feuer-Exergone und entzündet mit ihren Essenzen das Schlafkraut. Daraufhin lockt ihr die Kröte in das Schlafgas, um sie zu betäuben und dann einzufangen.","Das Lieblingstier des ebenso wohlhabenden wie einflussreichen Republikaners Teledji Adeledji wurde von gierigen Räubern entführt, um für sie Lösegeld zu fordern. Macht den Halunken einen Strich durch die Rechnung und bringt das geliebte Kriechtier unversehrt zurück!\n\nFür diesen Einsatz haben wir ein Kraut besorgt, das bei Verbrennung ein einschläferndes Gas verströmt. Um die Gilkröte lebend zu fangen, geht ihr wie folgt vor:  Zuerst schwächt ihr sie, dann entzündet ihr das Kraut mit einer Feuer-Exergon-Essenz und schläfert mit dem so produzierten Schlafgas das kostbare Tier ein.",7560,1510,1810,80,0,0,0,0,0,0,false,false
5,1004742,"Bleibt den Pollen der Staubgefäße fern!","Pollen fügen anhaltenden Giftschaden zu!","Lockt Feinde, die sich in giftigen Pollenwolken befinden, hervor und bekämpft sie an einem sicheren Ort!","Aggressive Karnivoren bedrohen die Tier- und Pflanzenwelt der Gegend mit ihren hochgiftigen Pollen.\n\nBesiegt die giftige Fledermausfalle! Sie wird sich erst zeigen, wenn ihr das kleinere Unkraut beseitigt habt. Doch nehmt euch vor den Staubgefäßen in Acht. Bleibt in sicherer Entfernung, sodass ihr nicht in eine Pollenwolke geratet!",8770,1750,2280,110,0,0,0,0,0,0,false,false
6,1004742,"Besiegt den Anführer der Banditen!","Sobald die Wachen euch bemerken, werden sie euch angreifen! Sorgt dafür, dass es nicht zu viele werden, sondern knüpft euch kleine Gruppen vor.","Wenn sich die Gegner heilen können, zieht sich die Schlacht in die Länge. Beseitigt daher zuerst die Druiden!","Bekämpft die Räuberbande der Rotbauch-Wespen, die sich in der Nähe von Toto-Rak ein neues Nest gesucht hat!\n\nWenn der Kopf der Bande angegriffen wird, ruft er Verstärkung, also beseitigt zuerst die Wachen und Druiden. Kämpft immer nur gegen eine kleine Zahl von Feinden!",10150,2030,2500,120,0,0,0,0,0,0,false,false
7,1004742,"Besiegt Briaxio und lasst euch nicht verhexen!","Negative Status von Gruppenmitgliedern können mit Gegenständen oder dem Zauber Medica aufgehoben werden.","Es könnte helfen, deine Gruppe in zwei Einheiten aufzuteilen - eine, die es mit Briaxio aufnimmt, während die andere sich um die verhexten Kreaturen kümmert.","Bösartige Sylphen, die eher den Wald der Einkehr abfackeln würden, ehe sie Frieden mit den Gridaniern schließen, setzen ihre verbotenen Zauber ein, um die Kreaturen des Waldes zu unterwerfen. Diese sind dadurch in der Lage, weitreichende Angriffe auszuführen und ihre Opfer zu vergiften.\n\nDie Kreaturen können nur befreit werden, indem der abtrünnige Anführer Briaxio besiegt wird.",10280,2060,2800,140,0,0,0,0,0,0,false,false
8,1004742,"Durchbrecht die Barrikaden!","Die Bomben explodieren nach einigen Sekunden. Seid flink!","Ihr könnt die Barrikaden wie normale Gegner angreifen. Bringt die LP auf Null, um sie zu durchbrechen. ","Goblin-Banditen haben Nophicas Lethe besetzt. Durchbrecht ihre Barrikaden und besiegt die Gesetzlosen!\n\nDie hinterhältigen Goblins wehren sich mit Bomben, die mit einigen Sekunden Verzögerung explodieren. Weicht aus und nutzt die Explosionen zum Sprengen der Barrikaden!",10710,2140,2920,140,0,0,0,0,0,0,false,false
9,1004746,"Besiegt Toxin-Tamlyn!","Aus den blauen „ranzigen Blubberblasen“ schlüpfen Monster, wenn ihr sie nicht rechtzeitig zerstört.","Die lila Säure-Blubberblasen verspritzen ätzende Säure, wenn sie angegriffen werden.","Am Narrenfall verseucht der riesige Morbol Toxin-Tamlyn das sonst so klare Wasser. Haltet ihn auf, bevor sich die Verpestung weiter ausbreitet!\n\nGebt jedoch gut Acht! Die Blasen aus der verunreinigten Wasserquelle können Säure oder Monster enthalten.",17780,3560,3480,180,0,0,0,0,0,0,false,false
