Index,0 [0x5][0x8],1 [0x0][0x0],2 [0x0][0x4],3 [0x5][0xa],4 [0x3][0xc]
0,0,"","",0,0
1,0,"姿なき声","",1,109
2,1,"碧海の宝","",2,109
3,2,"リムレーンの伝説","",3,109
4,3,"別想","",4,109
5,4,"降り注ぐ光","",5,109
6,5,"眠れる鬼","",6,109
7,6,"那由他の精霊","",7,109
8,7,"招かれざる客","",8,109
9,8,"ほむらの日","",9,109
10,9,"太陽の都","",10,109
11,10,"小さな犠牲","",11,109
12,11,"災厄来たれり","",12,109
13,12,"ある始まり","",13,109
14,13,"決死の救出作戦","",14,109
15,14,"利害の調停者","",15,109
16,15,"異質なるもの","",16,109
17,16,"炎獄の神","",17,109
18,17,"アラミゴ解放軍","",18,109
19,18,"重なる未来","",19,109
20,59,"債鬼繁盛記","",20,111
21,60,"守護者の旅立ち","",21,111
22,61,"コインの裏と表と","",22,111
23,79,"噛ませ犬","",23,111
24,80,"自由の権利","",24,111
25,81,"興奮の代償","",25,111
26,99,"断罪党の洗礼","",26,111
27,100,"俺たちの海賊","",27,111
28,101,"笑って見てろ","",28,111
29,139,"バデロンのお勧め","",29,111
30,140,"ミューヌのお勧め","",30,111
31,141,"モモディのお勧め","",31,111
32,143,"相棒を変更したい","",32,111
33,159,"神勇隊","",33,111
34,160,"昏い森","",34,111
35,161,"過去より伸びる手","",35,111
36,179,"鬼哭隊","",36,111
37,180,"石と黄金","",37,111
38,181,"したたかに","",38,111
39,239,"復讐依頼","",39,111
40,240,"やっつけ伝道師","",40,111
41,241,"ナル・ザル教団特約","",41,111
42,259,"木霊が務め","",42,111
43,260,"竜騎士の夢","",43,111
44,261,"呼び声","",44,111
45,299,"小さな先生","",45,111
46,300,"小さな鬼","",46,111
47,301,"精霊たちの贈り物","",47,111
48,319,"左耳の男","",48,111
49,320,"セイレーンの歌声","",49,111
50,321,"魅惑の島","",50,111
51,359,"貴方のかたち","",51,111
52,360,"フ・ラミンの花","",52,111
53,361,"心の臓の刃","",53,111
54,379,"物言わぬもの","",54,111
55,380,"第二のアトリエ","",55,111
56,381,"師弟評価制度","",56,111
57,399,"赤の章","",57,111
58,400,"灰の章","",58,111
59,401,"白の章","",59,111
60,419,"眠りの淵","",60,111
61,420,"ドラゴンになった少年","",61,111
62,421,"夢か現か","",62,111
63,439,"プルプル対決","",63,111
64,440,"消えた美食家","",64,111
65,441,"湯けむり毒殺事件","",65,111
66,459,"時のかけら","",66,111
67,460,"とっておき大作戦","",67,111
68,461,"彼女の逃避行","",68,111
69,479,"グリダニアの根っこ","",69,111
70,480,"憧れの大都会","",70,111
71,481,"モーグリの花畑","",71,111
72,499,"サハギン族をやっつけろ","",72,111
73,500,"いけすのヌシ","",73,111
74,501,"うはうは期間","",74,111
75,626,"業火の試練","",75,110
76,632,"メルヴァン税関公社の失敗","",76,110
77,633,"希望の橋","",77,110
78,635,"バラクーダの復讐","",78,110
79,637,"愛情たっぷり","",79,110
80,638,"海賊うっかり","",80,110
81,639,"息子の消息","",81,110
82,640,"気合がっつり","",82,110
83,641,"さざなみの音色","",83,110
84,642,"お魚革命","",84,110
85,643,"月の胸騒ぎ","",85,110
86,645,"黒い関係","",86,110
87,647,"彫刻家の野望","",87,110
88,652,"バラクーダ騎士団特務","",88,110
89,653,"夜道に注意","",89,110
90,654,"猛る炎","",90,110
91,655,"お野菜革命","",91,110
92,657,"いたずらの序曲","",92,110
93,658,"伝説のシクサ","",93,110
94,659,"いたずらの輪舞曲","",94,110
95,661,"息子の苦闘","",95,110
96,662,"失われた日記","",96,110
97,663,"秘められた想い","",97,110
98,664,"誰がための祈り","",98,110
99,665,"原初の呼応","",99,110
100,666,"森に仇なす者","",100,110
101,667,"商機を握る豆","",101,110
102,668,"盗まれし魂","",102,110
103,673,"三重の幻術皇","",103,110
104,674,"扉を叩くモノ","",104,110
105,675,"眠れない冒険者たち","",105,110
106,676,"お偉い呪術士先生","",106,110
107,678,"すべてはお客様のために","",107,110
108,679,"ミリオンシード","",108,110
109,680,"汚点","",109,110
110,681,"さらわれた呪術士","",110,110
111,682,"かなしみの呪術士","",111,110
112,683,"泣きっ面に花","",112,110
113,684,"キャンプ・ホライズンからの伝令","",113,110
114,685,"背徳の名","",114,110
115,686,"わさわさコブラン","",115,110
116,689,"新商品で巻き返せ","",116,110
117,694,"つわものなる者たち","",117,110
118,705,"安らぎのゆくえ","",118,110
119,706,"生命の境界","",119,110
120,707,"最後の群民","",120,110
121,725,"黄金の加護","",121,110
122,726,"呪剣に秘められし盟約","",122,110
123,727,"海霧にひそむ闇市","",123,110
124,733,"突撃！　噂の魔物！","",124,110
125,734,"収穫奉納祭事","",125,110
126,735,"定めにあらがう乙女","",126,110
127,736,"銀波に消えた秘宝","",127,110
128,743,"海風の警告","",128,110
129,744,"荒波を撃ち抜く弾丸","",129,110
130,745,"潮騒が運ぶ幸福","",130,110
131,752,"その賢者アルドバル","",131,110
132,753,"アマルジャの血","",132,110
133,754,"隣は何を掘る人ぞ","",133,110
134,755,"アマルジャの刃","",134,110
135,761,"マルセットの「スプリガンのひみつ」","",135,110
136,762,"神々の声はかく語りき","",136,110
137,763,"良薬口に苦し","",137,110
