Index,0 [0x2][0x2a],1 [0x0][0x0],2 [0x0][0x4],3 [0x3][0x8],4 [0x3][0x9],5 [0x3][0xa],6 [0x3][0xb],7 [0x3][0xc],8 [0x3][0xd],9 [0x3][0xe],10 [0x3][0xf],11 [0x3][0x10],12 [0x3][0x11],13 [0x3][0x12],14 [0x3][0x13],15 [0x3][0x14],16 [0x3][0x15],17 [0x3][0x16],18 [0x3][0x17],19 [0x3][0x18],20 [0x3][0x19],21 [0x3][0x1a],22 [0x3][0x1b],23 [0x3][0x1c],24 [0x3][0x1d],25 [0x3][0x1e],26 [0x3][0x1f],27 [0x3][0x20],28 [0x3][0x21],29 [0x3][0x22],30 [0x3][0x23],31 [0x3][0x24],32 [0x3][0x25],33 [0x3][0x26],34 [0x3][0x27],35 [0x3][0x28],36 [0x3][0x29]
0,-1,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
1,0,"STR","片手剣・両手斧・格闘武器・両手槍・幻具・呪具・魔道書・両手剣・天球儀による近接物理攻撃力に影響を与えます。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,90,100,100,100,70,70,70,100,70,100,100,70,70
2,1,"DEX","双剣による近接物理攻撃力、弓・銃による射撃物理攻撃力に影響を与えます。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,90,70,70,70,100,70,70,100,70,100,70,100,100
3,2,"VIT","最大HPに影響を与えます。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,90,100,100,100,100,90,90,100,90,100,100,100,100
4,3,"INT","攻撃魔法威力に影響を与えます。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,90,70,70,70,70,100,70,70,100,100,70,70,70
5,4,"MND","回復魔法威力に影響を与えます。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,90,70,70,70,70,70,100,70,100,100,70,70,70
6,5,"PIE","最大MPに影響を与えます。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,90,70,70,70,70,70,100,70,70,100,70,70,70
7,6,"HP","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
8,7,"MP","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
9,8,"TP","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
10,9,"GP","",2,2,2,2,2,2,2,2,25,25,25,13,2,2,4,8,0,4,10,6,6,100,100,100,100,100,100,100,100,100,100,100,100,100
11,10,"CP","",2,2,2,2,2,2,2,2,25,25,25,13,2,2,4,8,0,4,10,6,6,100,100,100,100,100,100,100,100,100,100,100,100,100
12,-1,"物理基本性能","",100,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,0,0,0,100,100,100,100,90,100,100,100,100,50,100,100,100
13,-1,"魔法基本性能","",100,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,0,0,0,50,50,50,50,50,100,100,50,100,30,50,50,50
14,11,"攻撃間隔","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
15,-1,"追加効果","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
16,-1,"攻撃回数","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
17,-1,"ブロック発動力","",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,50,50,100,50,100,100,100,100
18,-1,"ブロック性能","",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,50,50,100,50,100,100,100,100
19,12,"受け流し発動力","受け流しの発生率に影響を与えます。\n受け流し発動力が高いほど、受け流しが発生しやすくなります。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
20,13,"物理攻撃力","物理攻撃によるダメージ量に影響を与えます。\n物理攻撃力が高いほど、物理攻撃で与えるダメージが大きくなります。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
21,14,"物理防御力","物理攻撃を受けた際のダメージを軽減します。\n物理防御力が高いほど、物理攻撃によって受けるダメージが小さくなります。",0,0,15,21,15,13,21,15,0,0,0,0,0,0,36,72,0,36,87,57,57,66,100,70,55,55,40,40,55,40,33,55,55,55
22,15,"命中力","物理、魔法を命中させる能力を表します。\n命中力が高いほど、攻撃を当てやすくなります。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
23,16,"回避力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
24,17,"魔法防御力","攻撃魔法を受けた際のダメージを軽減します。\n魔法防御力が高いほど、魔法攻撃によって受けるダメージが小さくなります。",0,0,15,21,15,13,21,15,0,0,0,0,0,0,36,72,0,36,87,57,57,33,100,55,55,55,70,70,55,70,66,55,55,55
25,-1,"クリティカル攻撃力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
26,-1,"クリティカル防御力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
27,18,"クリティカル","物理、魔法のクリティカルヒットの発生率と、与えるダメージ量、回復量に影響を与えます。\nクリティカルが高いほど、クリティカルヒットが発生しやすくなり、ダメージ量と回復量が増加します。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
28,-1,"クリティカル回避力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
29,19,"斬耐性","斬属性のダメージを軽減します。",0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
30,20,"突耐性","突属性のダメージを軽減します。",0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
31,21,"打耐性","打属性のダメージを軽減します。",0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
32,-1,"射耐性","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
33,22,"攻撃魔法威力","攻撃魔法によるダメージ量に影響を与えます。\n攻撃魔法威力が高いほど、魔法攻撃で与えるダメージが大きくなります。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
34,23,"回復魔法威力","回復魔法による回復量に影響を与えます。\n回復魔法威力が高いほど、回復魔法による回復量が大きくなります。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
35,-1,"強化魔法威力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
36,-1,"弱体魔法威力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
37,24,"火","火属性のダメージを軽減します。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
38,25,"氷","氷属性のダメージを軽減します。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
39,26,"風","風属性のダメージを軽減します。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
