Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x7][0x8]
0,"Empty","Your chocobo is not carrying a race item.\nOpen a treasure coffer on the course to obtain one.",70101
1,"Choco Potion","Instantly restores stamina by 10%.",70102
2,"Stamina Tablet","Prevents stamina reduction for 10 seconds.",70104
3,"Sprint Shoes","Summons a quick burst of speed.",70105
4,"Choco Aether","Allows a previously used race ability to be executed again.",70108
5,"Bacchus's Water","Sends the forerunning chocobo into a Frenzied state.",70107
6,"Graviball","Inflicts the forerunning chocobo with Heavy.",70109
7,"Briar Caltrop","Surrounds your chocobo with a ring of thorns which will sap the stamina of any chocobos that enter.",70103
8,"Hero Tonic","Invigorates your chocobo for 15 seconds, increasing its overall performance while nullifying any enfeeblements.",70106
9,"Choco Meteor","Summons a meteor from the heavens to wreak havoc on all other chocobos.",70110
10,"","",0
