Index,0 [0x7][0x18],1 [0x0][0x0],2 [0x0][0x4],3 [0x0][0x8],4 [0x0][0xc],5 [0x0][0x10],6 [0x0][0x14]
0,0,"Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe","Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe"
1,10,"Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe","Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe"
2,40,"Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe","Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe"
3,100,"Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe","Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe"
4,190,"Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe","Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe"
5,310,"Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe","Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe"
6,490,"Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe","Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe"
7,730,"Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe","Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe"
8,1030,"Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe","Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe"
9,1390,"Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe","Mahlstrom-Welpe","Ordens-Welpe","Legions-Welpe"
10,1810,"Mahlstom-Winsler","Ordens-Winsler","Legions-Winsler","Mahlstom-Winslerin","Ordens-Winslerin","Legions-Winslerin"
11,2350,"Mahlstom-Winsler","Ordens-Winsler","Legions-Winsler","Mahlstom-Winslerin","Ordens-Winslerin","Legions-Winslerin"
12,3010,"Mahlstom-Winsler","Ordens-Winsler","Legions-Winsler","Mahlstom-Winslerin","Ordens-Winslerin","Legions-Winslerin"
13,3790,"Mahlstom-Winsler","Ordens-Winsler","Legions-Winsler","Mahlstom-Winslerin","Ordens-Winslerin","Legions-Winslerin"
14,4690,"Mahlstom-Winsler","Ordens-Winsler","Legions-Winsler","Mahlstom-Winslerin","Ordens-Winslerin","Legions-Winslerin"
15,5710,"Mahlstom-Winsler","Ordens-Winsler","Legions-Winsler","Mahlstom-Winslerin","Ordens-Winslerin","Legions-Winslerin"
16,6910,"Mahlstom-Winsler","Ordens-Winsler","Legions-Winsler","Mahlstom-Winslerin","Ordens-Winslerin","Legions-Winslerin"
17,8290,"Mahlstom-Winsler","Ordens-Winsler","Legions-Winsler","Mahlstom-Winslerin","Ordens-Winslerin","Legions-Winslerin"
18,9850,"Mahlstom-Winsler","Ordens-Winsler","Legions-Winsler","Mahlstom-Winslerin","Ordens-Winslerin","Legions-Winslerin"
19,11590,"Mahlstom-Winsler","Ordens-Winsler","Legions-Winsler","Mahlstom-Winslerin","Ordens-Winslerin","Legions-Winslerin"
20,13510,"Mahlstrom-Knurrer","Ordens-Knurrer","Legions-Knurrer","Mahlstrom-Knurrerin","Ordens-Knurrerin","Legions-Knurrerin"
21,15670,"Mahlstrom-Knurrer","Ordens-Knurrer","Legions-Knurrer","Mahlstrom-Knurrerin","Ordens-Knurrerin","Legions-Knurrerin"
22,18070,"Mahlstrom-Knurrer","Ordens-Knurrer","Legions-Knurrer","Mahlstrom-Knurrerin","Ordens-Knurrerin","Legions-Knurrerin"
23,20710,"Mahlstrom-Knurrer","Ordens-Knurrer","Legions-Knurrer","Mahlstrom-Knurrerin","Ordens-Knurrerin","Legions-Knurrerin"
24,23590,"Mahlstrom-Knurrer","Ordens-Knurrer","Legions-Knurrer","Mahlstrom-Knurrerin","Ordens-Knurrerin","Legions-Knurrerin"
25,26710,"Mahlstrom-Knurrer","Ordens-Knurrer","Legions-Knurrer","Mahlstrom-Knurrerin","Ordens-Knurrerin","Legions-Knurrerin"
26,30130,"Mahlstrom-Knurrer","Ordens-Knurrer","Legions-Knurrer","Mahlstrom-Knurrerin","Ordens-Knurrerin","Legions-Knurrerin"
27,33850,"Mahlstrom-Knurrer","Ordens-Knurrer","Legions-Knurrer","Mahlstrom-Knurrerin","Ordens-Knurrerin","Legions-Knurrerin"
28,37870,"Mahlstrom-Knurrer","Ordens-Knurrer","Legions-Knurrer","Mahlstrom-Knurrerin","Ordens-Knurrerin","Legions-Knurrerin"
29,42190,"Mahlstrom-Knurrer","Ordens-Knurrer","Legions-Knurrer","Mahlstrom-Knurrerin","Ordens-Knurrerin","Legions-Knurrerin"
30,46810,"Mahlstrom-Heuler","Ordens-Heuler","Legions-Heuler","Mahlstrom-Heulerin","Ordens-Heulerin","Legions-Heulerin"
31,51790,"Mahlstrom-Heuler","Ordens-Heuler","Legions-Heuler","Mahlstrom-Heulerin","Ordens-Heulerin","Legions-Heulerin"
32,57130,"Mahlstrom-Heuler","Ordens-Heuler","Legions-Heuler","Mahlstrom-Heulerin","Ordens-Heulerin","Legions-Heulerin"
33,62830,"Mahlstrom-Heuler","Ordens-Heuler","Legions-Heuler","Mahlstrom-Heulerin","Ordens-Heulerin","Legions-Heulerin"
34,68890,"Mahlstrom-Heuler","Ordens-Heuler","Legions-Heuler","Mahlstrom-Heulerin","Ordens-Heulerin","Legions-Heulerin"
35,75310,"Mahlstrom-Heuler","Ordens-Heuler","Legions-Heuler","Mahlstrom-Heulerin","Ordens-Heulerin","Legions-Heulerin"
36,82150,"Mahlstrom-Heuler","Ordens-Heuler","Legions-Heuler","Mahlstrom-Heulerin","Ordens-Heulerin","Legions-Heulerin"
37,89410,"Mahlstrom-Heuler","Ordens-Heuler","Legions-Heuler","Mahlstrom-Heulerin","Ordens-Heulerin","Legions-Heulerin"
38,97090,"Mahlstrom-Heuler","Ordens-Heuler","Legions-Heuler","Mahlstrom-Heulerin","Ordens-Heulerin","Legions-Heulerin"
39,105190,"Mahlstrom-Heuler","Ordens-Heuler","Legions-Heuler","Mahlstrom-Heulerin","Ordens-Heulerin","Legions-Heulerin"
40,113710,"Mahlstrom-Pirscher","Ordens-Pirscher","Legions-Pirscher","Mahlstrom-Pirscherin","Ordens-Pirscherin","Legions-Pirscherin"
41,122710,"Mahlstrom-Pirscher","Ordens-Pirscher","Legions-Pirscher","Mahlstrom-Pirscherin","Ordens-Pirscherin","Legions-Pirscherin"
42,132190,"Mahlstrom-Pirscher","Ordens-Pirscher","Legions-Pirscher","Mahlstrom-Pirscherin","Ordens-Pirscherin","Legions-Pirscherin"
43,142150,"Mahlstrom-Pirscher","Ordens-Pirscher","Legions-Pirscher","Mahlstrom-Pirscherin","Ordens-Pirscherin","Legions-Pirscherin"
44,152590,"Mahlstrom-Pirscher","Ordens-Pirscher","Legions-Pirscher","Mahlstrom-Pirscherin","Ordens-Pirscherin","Legions-Pirscherin"
45,163510,"Mahlstrom-Pirscher","Ordens-Pirscher","Legions-Pirscher","Mahlstrom-Pirscherin","Ordens-Pirscherin","Legions-Pirscherin"
46,174970,"Mahlstrom-Pirscher","Ordens-Pirscher","Legions-Pirscher","Mahlstrom-Pirscherin","Ordens-Pirscherin","Legions-Pirscherin"
47,186970,"Mahlstrom-Pirscher","Ordens-Pirscher","Legions-Pirscher","Mahlstrom-Pirscherin","Ordens-Pirscherin","Legions-Pirscherin"
48,199510,"Mahlstrom-Pirscher","Ordens-Pirscher","Legions-Pirscher","Mahlstrom-Pirscherin","Ordens-Pirscherin","Legions-Pirscherin"
49,212590,"Mahlstrom-Pirscher","Ordens-Pirscher","Legions-Pirscher","Mahlstrom-Pirscherin","Ordens-Pirscherin","Legions-Pirscherin"
50,226210,"Mahlstrom-Hetzer","Ordens-Hetzer","Legions-Hetzer","Mahlstrom-Hetzerin","Ordens-Hetzerin","Legions-Hetzerin"
51,0,"Mahlstrom-Hetzer","Ordens-Hetzer","Legions-Hetzer","Mahlstrom-Hetzerin","Ordens-Hetzerin","Legions-Hetzerin"
52,0,"Mahlstrom-Hetzer","Ordens-Hetzer","Legions-Hetzer","Mahlstrom-Hetzerin","Ordens-Hetzerin","Legions-Hetzerin"
53,0,"Mahlstrom-Hetzer","Ordens-Hetzer","Legions-Hetzer","Mahlstrom-Hetzerin","Ordens-Hetzerin","Legions-Hetzerin"
54,0,"Mahlstrom-Hetzer","Ordens-Hetzer","Legions-Hetzer","Mahlstrom-Hetzerin","Ordens-Hetzerin","Legions-Hetzerin"
55,0,"Mahlstrom-Hetzer","Ordens-Hetzer","Legions-Hetzer","Mahlstrom-Hetzerin","Ordens-Hetzerin","Legions-Hetzerin"
56,0,"Mahlstrom-Hetzer","Ordens-Hetzer","Legions-Hetzer","Mahlstrom-Hetzerin","Ordens-Hetzerin","Legions-Hetzerin"
57,0,"Mahlstrom-Hetzer","Ordens-Hetzer","Legions-Hetzer","Mahlstrom-Hetzerin","Ordens-Hetzerin","Legions-Hetzerin"
58,0,"Mahlstrom-Hetzer","Ordens-Hetzer","Legions-Hetzer","Mahlstrom-Hetzerin","Ordens-Hetzerin","Legions-Hetzerin"
59,0,"Mahlstrom-Hetzer","Ordens-Hetzer","Legions-Hetzer","Mahlstrom-Hetzerin","Ordens-Hetzerin","Legions-Hetzerin"
60,0,"Mahlstrom-Reißer","Ordens-Reißer","Legions-Reißer","Mahlstrom-Reißerin","Ordens-Reißerin","Legions-Reißerin"
