Index,0 [0x7][0x18],1 [0x0][0x0],2 [0x0][0x4],3 [0x0][0x8],4 [0x0][0xc],5 [0x0][0x10],6 [0x0][0x14]
0,0,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
1,10,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
2,40,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
3,100,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
4,190,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
5,310,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
6,490,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
7,730,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
8,1030,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
9,1390,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
10,1810,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
11,2350,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
12,3010,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
13,3790,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
14,4690,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
15,5710,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
16,6910,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
17,8290,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
