Index,0 [0x5][0x4],1 [0x5][0x6],2 [0x5][0x8],3 [0x5][0xa],4 [0x5][0xc],5 [0x5][0xe],6 [0x5][0x10],7 [0x5][0x12],8 [0x0][0x0]
1179648,1,0,0,0,0,0,0,0,"イベント君１行き"
1179649,0,0,0,0,0,0,0,0,"イベント君２行き"
1179650,16,2,4,18,8,12,0,0,"グリダニア"
1179651,6,0,0,0,0,0,0,0,"ホウソーン家の山塞"
1179652,21,24,0,0,0,0,0,0,"酒房「バスカロンドラザーズ」"
1179653,10,25,23,0,0,0,0,0,"クォーリーミル"
1179654,14,20,22,108,0,0,0,0,"キャンプ・トランキル"
1179655,17,27,0,0,0,0,0,0,"ハーストミル"
1179656,19,26,94,0,0,0,0,0,"フォールゴウド"
1179657,3,0,0,0,0,0,0,0,"ベントブランチ牧場"
1179658,42,32,44,30,48,52,38,28,"ウルダハ"
1179659,33,36,34,0,0,0,0,0,"ホライズン"
1179660,31,37,0,0,0,0,0,0,"べスパーベイ"
1179661,29,35,0,0,0,0,0,0,"シルバーバザー"
1179662,43,0,0,0,0,0,0,0,"ブラックブラッシュ停留所"
1179663,46,56,110,0,0,0,0,0,"キャンプ・ドライボーン"
1179664,50,58,0,0,0,0,0,0,"リトルアラミゴ"
1179665,54,59,0,0,0,0,0,0,"忘れられたオアシス"
1179666,40,60,0,0,0,0,0,0,"キャンプ・ブルーフォグ"
1179667,57,0,0,0,0,0,0,0,"ゴールドバザー"
1179668,61,0,0,0,0,0,0,0,"青燐精製所"
1179669,62,88,64,86,68,72,76,0,"リムサ・ロミンサ"
1179670,63,0,0,0,0,0,0,0,"サマーフォード庄"
1179671,66,93,0,0,0,0,0,0,"スウィフトパーチ入植地"
1179672,70,0,0,0,0,0,0,0,"エールポート"
1179673,74,0,0,0,0,0,0,0,"ワインポート"
1179674,79,0,0,0,0,0,0,0,"キャンプ・ブロンズレイク"
1179675,87,90,0,0,0,0,0,0,"モラビー造船廠"
1179676,89,91,0,0,0,0,0,0,"レッドルースター農場"
1179677,84,0,0,0,0,0,0,0,"コルタ・デル・ソル"
1179678,0,0,0,0,0,0,0,0,"（空き）"
1179679,98,0,0,0,0,0,0,0,"アドネール占星台"
1179680,99,101,102,96,0,0,0,0,"キャンプ・ドラゴンヘッド"
1179681,100,0,0,0,0,0,0,0,"ホワイトブリム前哨地"
1179682,104,106,0,0,0,0,0,0,"レヴナンツトール"
1179683,107,0,0,0,0,0,0,0,"聖コイナク財団の調査地"
1179684,140,0,0,0,0,0,0,0,"イシュガルド：下層"
1179685,141,112,114,0,0,0,0,0,"ファルコンネスト"
1179686,113,118,0,0,0,0,0,0,"聖フィネア連隊の露営地"
1179687,116,120,122,124,0,0,0,0,"テイルフェザー"
1179688,123,128,0,0,0,0,0,0,"不浄の三塔"
1179689,126,130,0,0,0,0,0,0,"ショートストップ野営地"
1179690,132,134,0,0,0,0,0,0,"モグモグホーム"
1179691,135,136,0,0,0,0,0,0,"アサー天空廊"
1179692,137,133,0,0,0,0,0,0,"白亜の宮殿"
1179693,138,0,0,0,0,0,0,0,"オク・ズンド"
1179694,139,0,0,0,0,0,0,0,"キャンプ・クラウドトップ"
