Index,0 [0x5][0x38],1 [0x9][0x0],2 [0x9][0x4],3 [0x9][0x8],4 [0x9][0xc],5 [0x9][0x10],6 [0x9][0x14],7 [0x9][0x18],8 [0x9][0x1c],9 [0x9][0x20],10 [0x9][0x24],11 [0x9][0x28],12 [0x9][0x2c],13 [0x9][0x30],14 [0x9][0x34]
0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,0.0,0.05,1.1,1.0,0.7,0.9,1.1,1.1,1.0,1.0,0.7,0.9,1.1,0.8
2,1,0.0,0.05,-1.5,1.0,0.7,0.9,1.3,1.1,1.0,1.0,0.7,0.9,1.3,0.8
3,1,-1.3,0.05,0.0,1.0,0.7,0.9,1.2,1.1,1.0,1.0,0.7,0.9,1.2,0.8
4,1,1.3,0.05,0.0,1.0,0.7,0.9,1.2,1.1,1.0,1.0,0.7,0.9,1.2,0.8
5,1,-0.8,-0.05,0.8,1.0,0.7,0.9,1.1,1.1,1.0,1.0,0.7,0.9,1.1,0.8
6,1,0.8,-0.05,0.8,1.0,0.7,0.9,1.1,1.1,1.0,1.0,0.7,0.9,1.1,0.8
7,1,-0.9,-0.05,-1.1,1.0,0.7,0.9,1.3,1.1,1.0,1.0,0.7,0.9,1.3,0.8
8,1,0.9,-0.05,-1.1,1.0,0.7,0.9,1.3,1.1,1.0,1.0,0.7,0.9,1.3,0.8
9,2,0.0,0.05,0.6,0.95,0.8,0.95,1.2,1.1,1.15,1.0,0.8,1.1,1.1,1.0
10,2,0.0,0.05,-0.8,0.95,0.9,0.95,1.3,1.2,1.2,1.05,0.9,1.1,1.2,1.0
11,2,-0.7,0.05,0.0,0.95,0.9,0.95,1.25,1.2,1.15,1.05,0.9,1.1,1.15,1.0
12,2,0.7,0.05,0.0,0.95,0.9,0.95,1.25,1.2,1.15,1.05,0.9,1.1,1.15,1.0
13,2,-0.4,-0.05,0.4,0.95,0.9,0.95,1.25,1.2,1.2,1.05,0.9,1.1,1.15,1.0
14,2,0.4,-0.05,0.4,0.95,0.9,0.95,1.25,1.2,1.2,1.05,0.9,1.1,1.15,1.0
15,2,-0.4,-0.05,-0.7,1.0,0.9,0.95,1.3,1.2,1.2,1.1,0.9,1.1,1.2,1.0
