Index,0 [0x5][0x8],1 [0x5][0xa],2 [0x5][0xc],3 [0x5][0xe],4 [0x3][0x10],5 [0x3][0x11],6 [0x3][0x12],7 [0x3][0x13],8 [0x7][0x4],9 [0x0][0x0]
10001,1,0,0,0,3,0,0,0,75,"Gladiator 01"
10002,206,0,0,0,3,0,0,0,180,"Gladiator 02"
10003,208,0,0,0,3,0,0,0,360,"Gladiator 03"
10004,209,0,0,0,3,0,0,0,410,"Gladiator 04"
10005,211,0,0,0,3,0,0,0,530,"Gladiator 05"
10006,213,0,0,0,3,0,0,0,980,"Gladiator 06"
10007,210,0,0,0,3,0,0,0,1100,"Gladiator 07"
10008,217,0,0,0,3,0,0,0,1300,"Gladiator 08"
10009,220,0,0,0,3,0,0,0,1600,"Gladiator 09"
10010,223,224,0,0,3,3,0,0,1700,"Gladiator 10"
10011,228,229,0,0,3,3,0,0,2300,"Gladiator 11"
10012,227,0,0,0,3,0,0,0,3200,"Gladiator 12"
10013,230,0,0,0,3,0,0,0,4000,"Gladiator 13"
10014,232,0,0,0,3,0,0,0,4500,"Gladiator 14"
10015,234,0,0,0,3,0,0,0,5000,"Gladiator 15"
10016,235,0,0,0,3,0,0,0,5300,"Gladiator 16"
10017,237,0,0,0,3,0,0,0,5500,"Gladiator 17"
10018,240,0,0,0,3,0,0,0,5700,"Gladiator 18"
10019,238,0,0,0,3,0,0,0,5900,"Gladiator 19"
10020,242,244,0,0,3,3,0,0,6100,"Gladiator 20"
10021,32,137,0,0,4,3,0,0,6300,"Gladiator 21"
10022,245,0,0,0,4,0,0,0,6500,"Gladiator 22"
10023,138,0,0,0,4,0,0,0,6700,"Gladiator 23"
10024,34,0,0,0,4,0,0,0,6900,"Gladiator 24"
10025,150,0,0,0,4,0,0,0,7100,"Gladiator 25"
10026,252,0,0,0,4,0,0,0,7600,"Gladiator 26"
10027,255,0,0,0,4,0,0,0,8600,"Gladiator 27"
10028,158,0,0,0,4,0,0,0,9400,"Gladiator 28"
10029,161,0,0,0,4,0,0,0,9700,"Gladiator 29"
10030,37,38,0,0,4,3,0,0,10000,"Gladiator 30"
10031,165,42,0,0,4,3,0,0,11000,"Gladiator 31"
10032,39,166,0,0,4,3,0,0,12000,"Gladiator 32"
10033,265,0,0,0,4,0,0,0,12500,"Gladiator 33"
10034,171,0,0,0,4,0,0,0,13000,"Gladiator 34"
10035,64,0,0,0,4,0,0,0,13500,"Gladiator 35"
10036,271,0,0,0,4,0,0,0,14000,"Gladiator 36"
10037,294,0,0,0,4,0,0,0,14500,"Gladiator 37"
10038,176,0,0,0,4,0,0,0,15000,"Gladiator 38"
10039,301,0,0,0,4,0,0,0,16000,"Gladiator 39"
10040,306,66,0,0,4,3,0,0,16500,"Gladiator 40"
10041,67,72,0,0,5,2,0,0,17000,"Gladiator 41"
10042,179,184,0,0,5,2,0,0,17500,"Gladiator 42"
10043,73,187,0,0,5,2,0,0,18000,"Gladiator 43"
10044,319,0,0,0,5,0,0,0,18500,"Gladiator 44"
10045,311,0,0,0,5,0,0,0,19000,"Gladiator 45"
10046,313,0,0,0,3,0,0,0,19500,"Gladiator 46"
10047,280,0,0,0,5,0,0,0,20000,"Gladiator 47"
10048,200,0,0,0,5,0,0,0,20500,"Gladiator 48"
10049,290,0,0,0,5,0,0,0,21000,"Gladiator 49"
10050,332,90,0,0,5,5,0,0,21500,"Gladiator 50"
20001,207,0,0,0,4,0,0,0,75,"Faustkämpfer 01"
20002,206,0,0,0,4,0,0,0,180,"Faustkämpfer 02"
20003,208,0,0,0,4,0,0,0,360,"Faustkämpfer 03"
20004,209,0,0,0,4,0,0,0,410,"Faustkämpfer 04"
20005,214,0,0,0,4,0,0,0,530,"Faustkämpfer 05"
20006,9,0,0,0,4,0,0,0,980,"Faustkämpfer 06"
20007,217,0,0,0,4,0,0,0,1100,"Faustkämpfer 07"
20008,218,0,0,0,4,0,0,0,1300,"Faustkämpfer 08"
20009,219,0,0,0,4,0,0,0,1600,"Faustkämpfer 09"
20010,225,226,222,0,2,2,2,0,1700,"Faustkämpfer 10"
20011,228,0,0,0,4,0,0,0,2300,"Faustkämpfer 11"
20012,227,0,0,0,4,0,0,0,3200,"Faustkämpfer 12"
20013,233,0,0,0,4,0,0,0,4000,"Faustkämpfer 13"
20014,232,0,0,0,4,0,0,0,4500,"Faustkämpfer 14"
20015,115,234,235,0,2,2,2,0,5000,"Faustkämpfer 15"
20016,237,0,0,0,4,0,0,0,5300,"Faustkämpfer 16"
20017,241,0,0,0,4,0,0,0,5500,"Faustkämpfer 17"
20018,239,0,0,0,4,0,0,0,5700,"Faustkämpfer 18"
20019,238,0,0,0,4,0,0,0,5900,"Faustkämpfer 19"
20020,243,242,244,0,2,2,2,0,6100,"Faustkämpfer 20"
20021,134,0,0,0,5,0,0,0,6300,"Faustkämpfer 21"
20022,136,0,0,0,5,0,0,0,6500,"Faustkämpfer 22"
20023,33,0,0,0,5,0,0,0,6700,"Faustkämpfer 23"
20024,34,0,0,0,5,0,0,0,6900,"Faustkämpfer 24"
20025,139,149,258,0,3,3,3,0,7100,"Faustkämpfer 25"
20026,157,0,0,0,5,0,0,0,7600,"Faustkämpfer 26"
20027,260,0,0,0,5,0,0,0,8600,"Faustkämpfer 27"
20028,156,0,0,0,5,0,0,0,9400,"Faustkämpfer 28"
20029,160,0,0,0,5,0,0,0,9700,"Faustkämpfer 29"
20030,37,169,167,0,3,3,3,0,10000,"Faustkämpfer 30"
20031,41,0,0,0,5,0,0,0,11000,"Faustkämpfer 31"
20032,264,0,0,0,5,0,0,0,12000,"Faustkämpfer 32"
20033,269,0,0,0,5,0,0,0,12500,"Faustkämpfer 33"
20034,171,0,0,0,5,0,0,0,13000,"Faustkämpfer 34"
20035,51,56,58,0,3,3,3,0,13500,"Faustkämpfer 35"
20036,64,0,0,0,5,0,0,0,14000,"Faustkämpfer 36"
20037,296,0,0,0,5,0,0,0,14500,"Faustkämpfer 37"
20038,298,0,0,0,5,0,0,0,15000,"Faustkämpfer 38"
20039,300,0,0,0,5,0,0,0,16000,"Faustkämpfer 39"
20040,303,177,178,0,3,3,3,0,16500,"Faustkämpfer 40"
20041,275,0,0,0,6,0,0,0,17000,"Faustkämpfer 41"
20042,73,0,0,0,6,0,0,0,17500,"Faustkämpfer 42"
20043,189,0,0,0,2,0,0,0,18000,"Faustkämpfer 43"
20044,190,0,0,0,6,0,0,0,18500,"Faustkämpfer 44"
20045,334,309,317,0,3,3,3,0,19000,"Faustkämpfer 45"
20046,312,0,0,0,6,0,0,0,19500,"Faustkämpfer 46"
20047,321,0,0,0,6,0,0,0,20000,"Faustkämpfer 47"
20048,193,0,0,0,6,0,0,0,20500,"Faustkämpfer 48"
20049,326,0,0,0,6,0,0,0,21000,"Faustkämpfer 49"
20050,282,290,88,0,3,3,4,0,21500,"Faustkämpfer 50"
30001,1,0,0,0,3,0,0,0,75,"Marodeur 01"
30002,2,0,0,0,3,0,0,0,180,"Marodeur 02"
30003,3,0,0,0,3,0,0,0,360,"Marodeur 03"
30004,7,0,0,0,3,0,0,0,410,"Marodeur 04"
30005,6,0,0,0,3,0,0,0,530,"Marodeur 05"
30006,8,0,0,0,3,0,0,0,980,"Marodeur 06"
30007,11,0,0,0,3,0,0,0,1100,"Marodeur 07"
30008,12,0,0,0,3,0,0,0,1300,"Marodeur 08"
30009,15,0,0,0,3,0,0,0,1600,"Marodeur 09"
30010,17,0,0,0,3,0,0,0,1700,"Marodeur 10"
30011,18,0,0,0,4,0,0,0,2300,"Marodeur 11"
30012,20,0,0,0,4,0,0,0,3200,"Marodeur 12"
30013,21,0,0,0,4,0,0,0,4000,"Marodeur 13"
30014,22,0,0,0,4,0,0,0,4500,"Marodeur 14"
30015,23,0,0,0,4,0,0,0,5000,"Marodeur 15"
30016,24,0,0,0,4,0,0,0,5300,"Marodeur 16"
30017,25,26,27,0,4,3,2,0,5500,"Marodeur 17"
30018,29,0,0,0,4,0,0,0,5700,"Marodeur 18"
30019,28,0,0,0,4,0,0,0,5900,"Marodeur 19"
30020,30,0,0,0,4,0,0,0,6100,"Marodeur 20"
30021,32,0,0,0,4,0,0,0,6300,"Marodeur 21"
30022,135,0,0,0,4,0,0,0,6500,"Marodeur 22"
30023,246,0,0,0,4,0,0,0,6700,"Marodeur 23"
30024,145,0,0,0,4,0,0,0,6900,"Marodeur 24"
30025,149,0,0,0,4,0,0,0,7100,"Marodeur 25"
30026,252,0,0,0,4,0,0,0,7600,"Marodeur 26"
30027,150,251,257,0,4,3,2,0,8600,"Marodeur 27"
30028,256,0,0,0,4,0,0,0,9400,"Marodeur 28"
30029,159,0,0,0,4,0,0,0,9700,"Marodeur 29"
30030,165,0,0,0,4,0,0,0,10000,"Marodeur 30"
30031,168,0,0,0,4,0,0,0,11000,"Marodeur 31"
30032,166,269,48,0,4,3,2,0,12000,"Marodeur 32"
30033,46,0,0,0,4,0,0,0,12500,"Marodeur 33"
30034,52,0,0,0,4,0,0,0,13000,"Marodeur 34"
30035,56,0,0,0,4,0,0,0,13500,"Marodeur 35"
30036,294,0,0,0,4,0,0,0,14000,"Marodeur 36"
30037,297,296,300,0,4,3,2,0,14500,"Marodeur 37"
30038,302,0,0,0,4,0,0,0,15000,"Marodeur 38"
30039,303,0,0,0,4,0,0,0,16000,"Marodeur 39"
30040,66,0,0,0,4,0,0,0,16500,"Marodeur 40"
30041,178,0,0,0,5,0,0,0,17000,"Marodeur 41"
30042,275,73,187,0,5,3,2,0,17500,"Marodeur 42"
30043,186,0,0,0,1,0,0,0,18000,"Marodeur 43"
30044,190,0,0,0,5,0,0,0,18500,"Marodeur 44"
30045,309,0,0,0,5,0,0,0,19000,"Marodeur 45"
30046,322,0,0,0,5,0,0,0,19500,"Marodeur 46"
30047,78,192,278,0,5,3,2,0,20000,"Marodeur 47"
30048,202,0,0,0,5,0,0,0,20500,"Marodeur 48"
30049,283,0,0,0,5,0,0,0,21000,"Marodeur 49"
30050,93,0,0,0,5,0,0,0,21500,"Marodeur 50"
40001,1,0,0,0,3,0,0,0,75,"Pikenier 01"
40002,95,0,0,0,3,0,0,0,180,"Pikenier 02"
40003,96,0,0,0,3,0,0,0,360,"Pikenier 03"
40004,97,0,0,0,3,0,0,0,410,"Pikenier 04"
40005,100,0,0,0,3,0,0,0,530,"Pikenier 05"
40006,102,0,0,0,3,0,0,0,980,"Pikenier 06"
40007,103,104,0,0,3,3,0,0,1100,"Pikenier 07"
40008,105,0,0,0,3,0,0,0,1300,"Pikenier 08"
40009,108,111,0,0,3,3,0,0,1600,"Pikenier 09"
