Index,0 [0x6][0x8],1 [0x0][0x0],2 [0x0][0x4]
0,0,"",""
1,60201,"Klar","klar"
2,60202,"Heiter","heiter"
3,60203,"Wolkig","wolkig"
4,60204,"Neblig","nebelig"
5,60205,"Windig","windig"
6,60206,"Stürmisch","stürmisch"
7,60207,"Regnerisch","regnerisch"
8,60208,"Wolkenbruch","wolkenbruchartig"
9,60209,"Gewittrig","gewittrig"
10,60210,"Gewitter","gewittrig"
11,60211,"Staubig","staubig"
12,60212,"Sandsturm","sandstürmisch"
13,60213,"Heiß","heiß"
14,60214,"Gluthitze","glutheiß"
15,60215,"Schnee","verschneit"
16,60216,"Schneesturm","schneestürmisch"
17,60218,"Unheimlich","unheimlich"
18,60217,"Aurora","aurorenhaft"
19,60251,"Dunkel","dunkel"
20,60255,"Düsternis","düster"
21,60203,"Wolkig","wolkig"
22,60259,"Wetterleuchten","wetterleuchtend"
23,60258,"Tosend","tosend"
24,60258,"Tosend","tosend"
25,60257,"Finster","finster"
26,60252,"Gluthitze","glutheiß"
27,60256,"Unheimlich","unheimlich"
28,60253,"Stürmisch","stürmisch"
29,60254,"Rauchschwaden","rauchig"
30,60202,"Heiter","heiter"
31,60202,"Heiter","heiter"
32,60202,"Heiter","heiter"
33,60202,"Heiter","heiter"
34,60202,"Heiter","heiter"
35,60260,"Blendend","blendend"
36,60261,"Kernstrahlung","radioaktiv"
37,60261,"Kernstrahlung","radioaktiv"
38,60261,"Kernstrahlung","radioaktiv"
39,60261,"Kernstrahlung","radioaktiv"
40,60262,"Wolkenschleier","unnatürlich wolkig"
41,60262,"Wolkenschleier","unnatürlich wolkig"
42,60262,"Wolkenschleier","unnatürlich wolkig"
43,60262,"Wolkenschleier","unnatürlich wolkig"
44,60264,"Bedrückend","bedrückend"
45,60264,"Bedrückend","bedrückend"
46,60264,"Bedrückend","bedrückend"
47,60264,"Bedrückend","bedrückend"
48,60264,"Bedrückend","bedrückend"
49,60219,"Schattenwind","schattenwindig"
50,60220,"Schattengewitter","schattengewittrig"
51,60263,"Qualm","qualmig"
52,60202,"Heiter","heiter"
53,60226,"Königsgewitter","königlich gewittrig"
54,60227,"Hochspannung","hochspannend"
55,60226,"Königsgewitter","königlich gewittrig"
