Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8],9 [0x6][0x14],10 [0x6][0x18],11 [0x6][0x1c],12 [0x3][0x26],13 [0x5][0x20],14 [0x5][0x22],15 [0x5][0x24]
0,"レザーサドル",0,"",0,0,1,0,0,"レザーサドル",0,0,0,0,0,0,0
1,"ロミンサン・サドル",0,"",0,0,1,0,0,"ロミンサン・サドル",65538,65541,65538,1,49049,49053,49051
2,"ロミンサン・ハーフバード",0,"",0,0,1,0,0,"ロミンサン・ハーフバード",65542,65542,65542,1,49001,49002,49003
3,"ロミンサン・バード",0,"",0,0,1,0,0,"ロミンサン・バード",131078,131078,131078,1,49004,49005,49006
4,"ロミンサン・クレステッドバード",0,"",0,0,1,0,0,"ロミンサン・クレステッドバード",196614,196614,196614,1,49007,49008,49009
5,"グリダニアン・サドル",0,"",0,0,1,0,0,"グリダニアン・サドル",65538,131077,65538,2,49049,49056,49051
6,"グリダニアン・ハーフバード",0,"",0,0,1,0,0,"グリダニアン・ハーフバード",65543,65543,65543,2,49010,49011,49012
7,"グリダニアン・バード",0,"",0,0,1,0,0,"グリダニアン・バード",131079,131079,131079,2,49013,49014,49015
8,"グリダニアン・クレステッドバード",0,"",0,0,1,0,0,"グリダニアン・クレステッドバード",196615,196615,196615,2,49016,49017,49018
9,"ウルダハン・サドル",0,"",0,0,1,0,0,"ウルダハン・サドル",65538,196613,65538,3,49049,49059,49051
10,"ウルダハン・ハーフバード",0,"",0,0,1,0,0,"ウルダハン・ハーフバード",65544,65544,65544,3,49019,49020,49021
11,"ウルダハン・バード",0,"",0,0,1,0,0,"ウルダハン・バード",131080,131080,131080,3,49022,49023,49024
12,"ウルダハン・クレステッドバード",0,"",0,0,1,0,0,"ウルダハン・クレステッドバード",196616,196616,196616,3,49025,49026,49027
13,"パラディン・バード",0,"",0,0,1,0,0,"パラディン・バード",65546,65546,65546,0,49028,49029,49030
14,"ドラグーン・バード",0,"",0,0,1,0,0,"ドラグーン・バード",65547,65547,65547,0,49031,49032,49033
15,"ホワイトメイジ・バード",0,"",0,0,1,0,0,"ホワイトメイジ・バード",65549,65549,65549,0,49034,49035,49036
16,"スレイプニル・バード",0,"",0,0,1,0,0,"スレイプニル・バード",65550,65550,65550,0,49037,49038,49039
17,"ベヒーモス・バード",0,"",0,0,1,0,0,"ベヒーモス・バード",65551,65551,65551,0,49040,49041,49042
18,"フライヤー・バード",0,"",0,0,1,0,0,"フライヤー・バード",65555,0,0,0,49043,0,0
19,"ブラックメイジ・バード",0,"",0,0,1,0,0,"ブラックメイジ・バード",65548,65548,65548,0,49046,49047,49048
20,"チョコキング・バード",0,"",0,0,1,0,0,"チョコキング・バード",65553,0,0,0,49061,0,0
21,"スターライト・バード",0,"",0,0,1,0,0,"スターライト・バード",65540,65540,65540,0,49064,49065,49066
22,"リヴァイアサン・バード",0,"",0,0,1,0,0,"リヴァイアサン・バード",65556,65556,65556,0,49067,49068,49069
23,"バード・オブ・ライト",0,"",0,0,1,0,0,"バード・オブ・ライト",65557,65557,65557,0,49070,49071,49072
24,"エッガー・バード",0,"",0,0,1,0,0,"エッガー・バード",65558,0,0,0,49073,0,0
25,"ラムウ・バード",0,"",0,0,1,0,0,"ラムウ・バード",65560,65560,65560,0,49076,49077,49078
26,"プルームド・バード",0,"",0,0,1,0,0,"プルームド・バード",65559,0,0,0,49079,0,0
27,"イアリ・バード",0,"",0,0,1,0,0,"イアリ・バード",65561,65561,65561,0,49082,49083,49084
28,"シヴァ・バード",0,"",0,0,1,0,0,"シヴァ・バード",65562,65562,65562,0,49085,49086,49087
29,"ギャンブラー・バード",0,"",0,0,1,0,0,"ギャンブラー・バード",65565,65565,65565,0,49091,49092,49093
30,"パラムール・バード",0,"",0,0,1,0,0,"パラムール・バード",65566,65566,65566,0,49088,49089,49090
31,"イシュガルディアン・ハーフバード",0,"",0,0,1,0,0,"イシュガルディアン・ハーフバード",65567,65567,65567,0,49094,49095,49096
32,"イシュガルディアン・バード",0,"",0,0,1,0,0,"イシュガルディアン・バード",131103,131103,131103,0,49097,49098,49099
33,"",0,"",0,0,0,0,0,"",0,0,0,0,0,0,0
34,"ビスマルク・バード",0,"",0,0,1,0,0,"ビスマルク・バード",65568,65568,65568,0,49103,49104,49105
35,"ラーヴァナ・バード",0,"",0,0,1,0,0,"ラーヴァナ・バード",65569,65569,65569,0,49106,49107,49108
36,"ノーブル・バード",0,"",0,0,1,0,0,"ノーブル・バード",65570,65570,65570,0,49109,49110,49111
37,"オーソドックスバード",0,"",0,0,1,0,0,"オーソドックスバード",131106,131106,131106,0,49112,49113,49114
38,"ハイランド・バード",0,"",0,0,1,0,0,"ハイランド・バード",65571,65571,65571,0,49115,49116,49117
39,"ワイルドローズバード",0,"",0,0,1,0,0,"ワイルドローズバード",65573,65573,65573,0,49118,49119,49120
