Index,0 [0x5][0x40],1 [0x0][0x0],2 [0x1][0x48],3 [0x1][0x4c],4 [0x9][0x10],5 [0x9][0x20],6 [0x9][0x30],7 [0x5][0x42],8 [0x0][0x4],9 [0x1][0x49],10 [0x1][0x4d],11 [0x9][0x14],12 [0x9][0x24],13 [0x9][0x34],14 [0x5][0x44],15 [0x0][0x8],16 [0x1][0x4a],17 [0x1][0x4e],18 [0x9][0x18],19 [0x9][0x28],20 [0x9][0x38],21 [0x5][0x46],22 [0x0][0xc],23 [0x1][0x4b],24 [0x1][0x4f],25 [0x9][0x1c],26 [0x9][0x2c],27 [0x9][0x3c]
0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0
1,266,"atr_parts_tail",true,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0
2,642,"",false,true,0.0,0.0,0.0,642,"",false,true,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0
3,1507,"atr_parts_heart",false,false,0.0,1.5,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0
4,1508,"atr_parts_heart",false,false,0.0,1.5,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0
5,1509,"atr_parts_heart",false,false,0.0,1.5,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0
6,2042,"atr_parts_breast",true,false,0.0,0.5,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0
7,2689,"",false,false,0.0,0.5,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0
8,2766,"",false,false,0.0,2.4,0.0,2767,"",false,false,0.0,2.4,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0
9,3350,"atr_parts_a",true,false,1.5,0.0,0.0,3351,"atr_parts_b",true,false,0.0,0.3,0.0,3352,"atr_parts_c",true,false,-0.9,-0.8,0.0,0,"",false,false,0.0,0.0,0.0
10,3604,"",false,true,0.8,2.7,3.0,3603,"",false,true,-0.7,2.7,3.0,3605,"",false,true,0.7,2.0,3.0,3606,"",false,true,-0.7,2.0,3.0
11,4106,"atr_parts_c",true,false,7.0,-7.0,3.0,4105,"atr_parts_d",true,false,-7.0,-7.0,3.0,4104,"atr_parts_a",true,false,7.0,7.0,3.0,4103,"atr_parts_b",true,false,-7.0,7.0,3.0
12,4110,"atr_parts_c",true,false,7.0,-7.0,3.0,4109,"atr_parts_d",true,false,-7.0,-7.0,3.0,4108,"atr_parts_a",true,false,7.0,7.0,3.0,4107,"atr_parts_b",true,false,-7.0,7.0,3.0
13,4229,"",false,true,0.0,0.0,0.0,4230,"",false,true,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0
14,4421,"atr_parts_a",true,false,-1.3,0.6,3.0,4422,"",false,false,-1.3,0.6,3.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0
15,4423,"atr_parts_a",true,false,-1.3,0.6,3.0,4424,"",false,false,-1.3,0.6,3.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0
16,4657,"atr_parts_breast",true,false,0.0,0.5,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0
17,4276,"",false,false,3.2,0.0,3.0,4277,"",false,false,-3.2,0.9,3.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0
18,2667,"atr_parts_heart",false,false,0.0,1.5,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0,0,"",false,false,0.0,0.0,0.0
