Index,0 [0x7][0xc],1 [0x0][0x8],2 [0x0][0x0],3 [0x0][0x4]
100,1,"@","【Langues】","Langues."
101,1,"","Utilisez la traduction automatique.","-"
102,1,"","Japonais","-"
103,1,"","Anglais","-"
104,1,"","Français","-"
105,1,"","Allemand","-"
106,1,"","Parlez-vous japonais ?","-"
107,1,"","Parlez-vous anglais ?","-"
108,1,"","Parlez-vous français ?","-"
109,1,"","Parlez-vous allemand ?","-"
110,1,"","Je ne parle pas anglais.","-"
111,1,"","Je ne parle pas japonais.","-"
112,1,"","Je ne parle pas français.","-"
113,1,"","Je ne parle pas allemand.","-"
114,1,"","Veuillez écouter.","-"
115,1,"","M'entendez-vous ?","-"
116,1,"","Je parle un peu.","-"
117,1,"","Je comprends un peu.","-"
118,1,"","Utilisez des mots simples.","-"
119,1,"","Évitez les abréviations.","-"
120,1,"","J'ai besoin de temps pour répondre.","-"
121,1,"","Quelle est votre langue maternelle ?","-"
200,2,"@","【Salutations】","Salutations."
201,2,"","Enchanté(e).","-"
202,2,"","Bonjour !","-"
203,2,"","Salut !","-"
204,2,"","Bonsoir !","-"
205,2,"","Bonne nuit !","-"
206,2,"","Au revoir !","-"
207,2,"","Je me suis bien amusé(e).","-"
208,2,"","À la prochaine !","-"
209,2,"","Rejouons ensemble une prochaine fois.","-"
210,2,"","Je suis de retour.","-"
211,2,"","Ça fait plaisir de vous revoir.","-"
212,2,"","Félicitations !","-"
213,2,"","Bien joué !","-"
214,2,"","Bon courage !","-"
215,2,"","Super !","-"
216,2,"","Merci.","-"
217,2,"","De rien.","-"
218,2,"","Prenez soin de vous.","-"
219,2,"","Je suis désolé(e).","-"
220,2,"","Pardonnez-moi.","-"
221,2,"","C'est dommage.","-"
222,2,"","Excusez-moi, vous avez un instant ?","-"
223,2,"","Bonne continuation !","-"
224,2,"","C'est la première fois que je viens ici.","-"
225,2,"","J'ai hâte !","-"
226,2,"","C'était génial !","-"
227,2,"","Faisons de notre mieux !","-"
228,2,"","Merci pour tout, et à bientôt peut-être.","-"
229,2,"","Allons nous amuser !","-"
230,2,"","Je ferai de mon mieux !","-"
300,3,"@","【Questions】","Questions."
301,3,"","Qui ?","-"
302,3,"","Lequel ?","-"
303,3,"","Comment faire ?","-"
304,3,"","Qu'est-ce que c'est ?","-"
305,3,"","Quand ?","-"
306,3,"","Combien ?","-"
307,3,"","Où ?","-"
308,3,"","Pourquoi ?","-"
309,3,"","Pour quelle raison ?","-"
310,3,"","Où allez-vous ?","-"
311,3,"","Pouvez-vous le faire ?","-"
312,3,"","Avez-vous besoin d'aide ?","-"
313,3,"","Quelle mission voulez-vous faire ?","-"
314,3,"","Quelles missions pouvez-vous faire ?","-"
315,3,"","L'avez-vous ?","-"
316,3,"","Quelles armes possédez-vous ?","-"
317,3,"","Quelles autres classes pouvez-vous jouer ?","-"
318,3,"","Quels autres rôles pouvez-vous jouer ?","-"
319,3,"","Avez-vous enregistré toutes vos actions ?","-"
320,3,"","Quel est le plan de bataille ?","-"
321,3,"","Puis-je t'ajouter à ma liste d'amis ?","-"
322,3,"","Pouvons-nous faire une pause ?","-"
323,3,"","Voulez-vous que je répare ?","-"
324,3,"","Pouvez-vous réparer quelque chose pour moi ?","-"
325,3,"","Voulez-vous que je sertisse une matéria ?","-"
326,3,"","Pouvez-vous sertir une matéria pour moi ?","-"
327,3,"","Voulez-vous rejoindre mon équipe ?","-"
328,3,"","Pourriez-vous m'ajouter dans votre équipe ?","-"
329,3,"","Est-ce qu'on dissout l'équipe ?","-"
330,3,"","Voulez-vous rejoindre ma linkshell ?","-"
331,3,"","Puis-je rejoindre votre linkshell ?","-"
332,3,"","Voulez-vous rejoindre ma compagnie libre ?","-"
333,3,"","Puis-je rejoindre votre compagnie libre ?","-"
334,3,"","Que faites-vous ?","-"
335,3,"","Voulez-vous jouer à Triple Triade ?","-"
336,3,"","Peut-on changer les règles ?","-"
337,3,"","Voulez-vous faire un match de tournoi ?","-"
338,3,"","Avez-vous assez de PM ?","-"
339,3,"","Y a-t-il quelque chose que vous voulez savoir ?","-"
340,3,"","Vous l'avez vu(e) ?","-"
341,3,"","Quelle est la stratégie ?","-"
400,4,"@","【Réponses】","Reponses."
401,4,"","Je ne comprends pas.","-"
402,4,"","Non, merci.","-"
403,4,"","Oui, s'il vous plaît.","-"
404,4,"","Je vous en prie, s'il vous plaît.","-"
405,4,"","Compris.","-"
406,4,"","Je regrette. Je suis occupé(e) pour l'instant.","-"
407,4,"","Je veux jouer en solo pour l'instant.","-"
408,4,"","Je ne sais pas répondre à cette question.","-"
409,4,"","Je vois.","-"
410,4,"","Merci de l'offre, mais je dois refuser.","-"
411,4,"","C'est intéressant.","-"
412,4,"","Euh...","-"
413,4,"","Hein !?","-"
414,4,"","Vraiment ?","-"
415,4,"","Hmmm.","-"
416,4,"","J'ai quelque chose à faire bientôt.","-"
417,4,"","J'aimerais refaire une partie.","-"
418,4,"","Arrêtons-nous là.","-"
